program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_thousand	grapes2800	POST	pym0n_f-w1q8		2011-08-22	천번 천번의 입맞추다 윤두준나온다tagquestion tagsmile 예전부터알고 화 봐써욯 tagsmile 꼭보세 꼭보세요 조금바께안나오지만뭐 tagsmile
mbc_thousand	mu-u	POST	pym0x6h-5w5rl		2011-08-22	천번 천번의 입맞추다 축구왕 윤기준
mbc_thousand	fic123	POST	pym157v-i_63		2011-08-22	토렌트다운 천 번 입맞추다 회
mbc_thousand	buks2	POST	pym16u7-_3cex		2011-08-23	천 번 입맞추다 천 번 입맞추다
mbc_thousand	junes26	POST	pym1ab1-yxvov		2011-08-22	천번 천번의 입맞추다 회 월 일 방송 보기 보다
mbc_thousand	holldin	POST	pym1na6-_mnfs		2011-08-22	드라마 추천 순위 천번 천번의 입맞추다 윤두준 출연tagquestion tagexclamation 내용소개 키스신
mbc_thousand	wingsadd	POST	pym1pen-_5e9s		2011-08-22	천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일 천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일
mbc_thousand	buks2	POST	pym1_nb-_3cex		2011-08-23	천 번 입맞추다 김소은 천 번 입맞추다 김소은
mbc_thousand	kjk6391	POST	pym80c8-17g7		2011-08-27	천번의입맞춤 봐야 봐야되는데 아부지 리모콘을가져간다tagsmile 아이씐 tagexclamation
mbc_thousand	dod4373	POST	pym8dea-5b3q4		2011-08-23	천번의입맞춤 역시 재미 재미 레알 짱
mbc_thousand	ar6702	POST	pym8kz1-_m2pr		2011-08-23	김소은 숏팬츠 정보 천번 천번의 입맞추다
mbc_thousand	wjdwn0011	POST	pym8myp-yfzc3		2011-08-26	윤두준 나오다 천번 천번의 입맞추다 보고시픈데 진짜 보고싶은데 보다 보 보다 보
mbc_thousand	adlgpwl	POST	pym8xbe-yin_m		2011-08-23	minute언니 빡빡 공연 일정 불구 다하다 천 번 입맞추다 을 꼼꼼 모니터하 모니터하며 지현언니 응원 현아언니 소속사 통하다 멤버 같다 드라마 보다 좋아하다 언니 그런지 내 내다 눈 다 이뻐보 이뻐보이더 이뻐보이더라 고 했는데요 이게 바 우정 tagexclamation
mbc_thousand	adlgpwl	POST	pym8xoj-yin_m		2011-08-23	소속사측 남지현 천 번 입맞추다 임하다 각오 남다르다 드라마 안 포미닛 남지현 아니다 신인 신 연기자 남지현 보 위해 위하다 연기 연습 매진 멤버 이러하다 상황 알다 때문 때문에 함 모니터해주 응원 있다 고 전했답니다 지현언니 tagexclamation ㅡ
mbc_thousand	adlgpwl	POST	pym8xwk-yin_m		2011-08-23	소현언니 트윗 트윗에 응원 물론 본방사수 메다 메시지 직접 남다 남기다 열의 보 소현언니 천 번 입맞추다 재미 우리 남지현 언니 나오다 재미 재미있 보다 다들 많이많 많이많이 시청 지현 언니 수아 역 나오다 연기자 남지현 tagexclamation 이 글 올렸답니다
mbc_thousand	buks2	POST	pymbo4j-_3cex		2011-08-23	천 번 입맞추다 김소은 천 번 입맞추다 김소은
mbc_thousand	buks2	POST	pymbol5-_3cex		2011-08-23	천 번 입맞추다 서영희 천 번 입맞추다 서영희
mbc_thousand	buks2	POST	pymbrsl-_3cex		2011-08-23	천번의입맞춤 천번의입맞춤
mbc_thousand	miss_cmo	POST	pymbxto-5ty3o		2011-08-22	kstarstyle 천 번 입맞추다 서영희 우주영 블라우스
mbc_thousand	soso2290	POST	pymb_2n-h00o		2011-08-22	그대 천번 천번의 입맞추다 입맞춤 아십니까tagquestion 꺄아아악 거기 거다 윤두준이 윤두준이가 나오다 뷰티 뷰티들의 마음 두준두준 하다 말들었대 천번 천번의 입맞추다 윤두준
mbc_thousand	hosunahn	POST	pymc1v6-hntn		2011-08-25	지현우 지현우가 집 앞 기다렸답니다 tagsmile 천 번 입맞추다
mbc_thousand	cheer3907	POST	pymc2j5-5_wni		2011-08-26	mbc천번 입맞추다 방송분 멋지다 편집인네 tagsmile 민솔맘 daum카페
mbc_thousand	kmediabox	POST	pymcfw_-_1l70		2011-08-27	토도우 천번 천번의 입맞추다 회 월 일 다시보기
mbc_thousand	rahmiemy	POST	pymedz0-58ner		2011-08-22	천번의입맞춤 김소은 류진 두근두근 첫만 첫만남 눈 하트 뿅뿅 뉴스 뉴스스크랩
mbc_thousand	sksgml7326	POST	pymee9b-y68qu		2011-08-22	천번 천번의 입맞추다 윤두준 윤두준이 남지현 나오다 난 나다 날다 못봣네
mbc_thousand	aa3099	POST	pymffer-yghqm		2011-08-22	비스트 비스트가 뷰티 보내다 안부메세지 천번의입맞춤 두 tagcry 감동
mbc_thousand	gtfun	POST	pymfwik-hbr6		2011-08-22	드라마 천 번 입맞추다 캐딜락타 캐딜락타고 산뜻 출발 e ok com n 웹
mbc_thousand	leeeun30	POST	pymg004-bsxx		2011-08-27	천번의입맞춤천번의입맞춤 회 예고 예 보기 보다
mbc_thousand	leeeun30	POST	pymg0b6-bsxx		2011-08-27	천번의입맞춤 회 예고보기
mbc_thousand	leeeun30	POST	pymg0rn-bsxx		2011-08-27	천번 천번의 입맞추다 회 예고 예 보기 보다
mbc_thousand	3120kjh	POST	pymg15s-9i03		2011-08-27	천번 천번의 입맞추다 회 예고 예
mbc_thousand	3120kjh	POST	pymgbaw-9i03		2011-08-27	천번의입맞춤 윤기준편 윤두준
mbc_thousand	leeeun30	POST	pymgdfu-bsxx		2011-08-27	천번 천번의 입맞춤천번 입맞춤천번의 입맞추다 회 예고 예 보기 보다
mbc_thousand	leeeun30	POST	pymgf66-bsxx		2011-08-27	천번의입맞춤 회 예고보기
mbc_thousand	dolcevita247	POST	pymgnt6-yp1ic		2011-08-27	천번에입맞춤 일본여가수의hello라는노래가나왓어 tagsmile 이름이생각이안 tagcry 그통기타치고엠스테나왔는데 tagcry
mbc_thousand	eunijun	POST	pymgv51-c8ez		2011-08-27	빅마마 소울 사랑 미안 네이버앱 음악검색 천 번 입맞추다 ost part
mbc_thousand	blognawa1	POST	pymhcmz-l5f		2011-08-27	블로그 뉴스 천번 천번의 입맞추다 블로그 천번 천번의 입맞추다
mbc_thousand	2011ysb	POST	pymj6b0-5w5cs		2011-08-23	천번의입맞춤 김소은 패션 천번의입맞춤 김소은 스커트 티어드 스커트
mbc_thousand	wingsadd	POST	pymjh7m-_5e9s		2011-08-23	천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일 천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일
mbc_thousand	sungjunfive	POST	pymjiim-_s12q		2011-08-23	천번의입맞춤 의 김소은 매력탐구
mbc_thousand	sshl2004	POST	pymmc77-58crb		2011-08-27	오늘 천번의입맞춤 tagexclamation 윤리더님봐야징
mbc_thousand	wg3163	POST	pymmcum-v2e7		2011-08-27	천번 천번의 입맞추다 본방사수 tagexclamation 해야징 taglove 두준두준 tagsmile
mbc_thousand	ssh990524	POST	pymmffq-yf04a		2011-08-24	쨔잔 tagexclamation 꺄악 tagcry 요즘 패션왕 촬영 천번 천번의 입맞춤촬영하느라고생 tagcry 힘내다 tagexclamation 멋지다 축구를되게잘하쬬 tagexclamation 진짜 누군지 모르다 삐칠꺼 삐칠꺼야
mbc_thousand	117904	POST	pymmp0b-_y7u7		2011-08-25	천번 천번의 입맞추다 천번 천번의 입맞추다
mbc_thousand	fc-seoul	POST	pymmp8s-_ohor		2011-08-25	mbc주말드라마 천번 천번의 입맞추다 우리 fc서울 경기장 나오다 tagexclamation tagsmile 잠깐 지나가다 우리선수 누구일까 tagquestion tagsmile 동영상보러가기 천 번 입맞추다
mbc_thousand	sylee705	POST	pymoq4z-_g9t1		2011-08-25	윤두준이말 윤두준이말하길 시트콤도어느덧마지막주를달리고 벌써끝나는거야tagquestion헐 내가생각하기에천번에입맞춤 조연인듯
mbc_thousand	0826yujin	POST	pymp7uk-eq5m		2011-08-24	무사 백동수 버디버디 계백 보스 지키다 스파이 명월 그리다 아무튼 이제 천번 천번의 입맞춤만보면 tagsmile 대박 런닝맨 런닝맨하 무한도전 뽀너스
mbc_thousand	faketoy	POST	pympeuy-5jp56		2011-08-22	천번 천번의 입맞추다 토렌트
mbc_thousand	insos02	POST	pympjpv-_8lnw		2011-08-22	천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일 천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일
mbc_thousand	sss6670	POST	pympll7-7d47		2011-08-22	두준두준 천 번 입맞춤멋있었다우 비록 특별출연
mbc_thousand	carmaster000	POST	pympny7-ydfu8		2011-08-24	천번의입맞춤 남편 뻔뻔 불륜 동생 의붓오빠 사랑 사
mbc_thousand	dreamgrapher	POST	pympq97-p4y1		2011-08-22	천번 천번의 입맞춤천번의입맞춤 회 주인공 우연 만나다 만남 인물소개
mbc_thousand	eratoskin	POST	pympqcv-ybst1		2011-08-22	천번 천번의 입맞추다 류진 엄마 제사 문제 갈등 드러내다
mbc_thousand	cogiry	POST	pympqtp-9gmi		2011-08-22	천번 천번의 입맞추다 회 첫방 완전 집중중이에
mbc_thousand	squirrel46	POST	pympv7x-_y2pi		2011-08-25	윤두준 천번 천번의 입맞추다
mbc_thousand	thehei	POST	pymq96d-8w0t		2011-08-27	천번의입맞춤 류진현장직찍 류진 류진의 한강 촬영현장 모습 천번의입맞춤 회 tagexclamation
mbc_thousand	jiruhecom	POST	pymrckk-_50e_		2011-08-22	천번의입맞춤 회 월 일 토도우
mbc_thousand	carmaster000	POST	pymrf04-ydfu8		2011-08-24	천번 천번의 입맞추다 서영희씨 꽃 치마 치다
mbc_thousand	cnsekf	POST	pymrf0z-55r32		2011-08-24	천 번 입맞추다 시청소감 이벤트 진행 tagexclamation
mbc_thousand	dbxhvi2	POST	pymrhss-_w3wz		2011-08-22	천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일 천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일
mbc_thousand	musicstore1	POST	pymrpwt-_fnof		2011-08-24	천 번 입맞추다 특별출연 비스트 윤두준 레알 돌벅지 과시 화제
mbc_thousand	puppy0119	POST	pymrymj-ymxvs		2011-08-22	어제 천 번 입맞추다 봤어요tagquestion완전 재밌었는데 두준 두준이 이르다 이름 기준잌 tagsmile 윤기준이래욬 tagsmile
mbc_thousand	hyominmeto	POST	pymteiy-_gq42		2011-08-27	피곤 보다 보 드라마 천번 천번의 입맞추다 tagexclamation 기준 수아 수아가 짱 짱이 tagexclamation tagsmile 뷰티 포니아 지다 지 tagexclamation 그렇죠tagquestiontagsmile tagsmile
mbc_thousand	smy2166	POST	pymtgow-qq8l		2011-08-27	천번의입맞춤 회 주영 이혼결심
mbc_thousand	3120kjh	POST	pymtnvo-9i03		2011-08-27	천번의입맞춤 류진김소은 우진 주미 주미를 구하다 tagexclamation
mbc_thousand	khjoon32	POST	pymtolb-5t7o2		2011-08-27	나 나다 계정바꺼야되는디 tagcry 천번의입맞춤보느 천번의입맞춤보느라 tagsmile 근데 안 tagcry tagcry
mbc_thousand	adlgpwl	POST	pymw67t-yin_m		2011-08-22	천번 천번의 입맞추다 촬영 모두 마친 두준오빠 오다 오 일 일본 도쿄 부도칸 열리다 유나이티드 큐브 콘서트 소속 되어 되어있는 minute언니 g na언니 beast오빠 등가수 멋지다 모습 선보이다 예정이래 ㅡ
mbc_thousand	wingsadd	POST	pymwdda-_5e9s		2011-08-25	천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일 천번의입맞춤 제 회 다시보기 서영희 지현우 류진 김소은 월 일
mbc_thousand	chamnamu4	POST	pymwdfa-55ypt		2011-08-23	장현승 윤두준 비둘기 싫어 현승 기타치는현승 천번 천번의 입맞추다 회 두준 cut
mbc_thousand	thehei	POST	pymwnt6-8w0t		2011-08-23	천번의입맞춤 천번의입맞춤 윤두준 시크 시크남 화면샷 모음 모으다 tagexclamation
mbc_thousand	karicos01	POST	pymwqwj-yinub		2011-08-23	천 번 입맞추다 특별출연 비스트 윤두준 레알 돌벅지 과시 화제 재경일보 뉴스스크랩
