program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_happytogether	nunurigo121	POST	pym15vg-_9tci		2011-08-22	해피투게더 유리 춤출때 나오다 클럽노래 ybey
sbs_happytogether	rkdnjs0902	POST	pym1awr-ycumu		2011-08-22	팬픽 해피투게더 다운
sbs_happytogether	nunurigo121	POST	pym1yka-_9tci		2011-08-22	해피투게더 재방송 jxmz
sbs_happytogether	elimen	POST	pym8q7w-_au9_		2011-08-24	아영 세리 세다 해피투게더 역시 쵝오tagsmile 퍼왔어요tagsmile
sbs_happytogether	yura_me2day	POST	pym8t1q-_ogmw		2011-08-26	해피투게더 tagexclamation tagsmile 재밌네 ㅇㅅㅇ
sbs_happytogether	iyousens	POST	pym8tjz-yq85k		2011-08-26	해피투게더 회 다시보기 월 일 방송분 다시보기
sbs_happytogether	mjjeje81264	POST	pym8u47-_tp1q		2011-08-26	tagcry 해피투게더 완전 재밌다니깐 tagcry 하이킥 늘다 그걸 왜 외다 배끼 배끼고 ㅈㄹ ㅈㄹ이 ㅈㄹ ㅈㄹ은
sbs_happytogether	mbcmudo	POST	pym8w4l-0q5l		2011-08-27	덕정중으로와주세 덕정중으로와주세요 친구가정말유재석을너무좋아 전에너무보고싶어서해피투게더촬영지를갔엇는데하필그때여름특집으로제주도가서촬영해서못보고 정말친구에게힘이되고싶습니
sbs_happytogether	banggujjang	POST	pym914o-tm04		2011-08-22	매달 한번씩 나르다 나 설레게 설레게하 설레게하는 반가운 손님 d 이번달 표지쵝오 tagexclamation 네네치킨 해피투게더
sbs_happytogether	nunurigo121	POST	pym9nif-_9tci		2011-08-23	해피투게더 회 tagquestion 지연 효민 다시보기 gunp
sbs_happytogether	nuly3821	POST	pymb4zl-wu7y		2011-08-22	태현횽아 태현횽아가 영화 찍다 막 나오네tagquestion 광고찍 광고찍을 때 티비 등장 해야하나tagquestion tagsmile 자주 좀 조다 나오다 tagcry 짱 좋다 tagsmile 오늘 런닝맨 tagsmile 웃기다 tagsmile 해피투게더 해피투게더는 재방 봐야겠다 다음주도 다음주 런닝맨 기대 기대다 차태현 짜세응 tagsmile
sbs_happytogether	kbj2658	POST	pymb884-_w8b0		2011-08-23	해피투게더 년 월 일 박보영 김원준 박 백도빈
sbs_happytogether	buks2	POST	pymbll7-_3cex		2011-08-23	해피투게더 해피투게더
sbs_happytogether	sylee705	POST	pymc02_-_g9t1		2011-08-25	아이유가비스트보다선배인거안사람 tagexclamation 그리고잘하면비오 금없앨수있겠다 tagsmile 오늘해피투게더에나모르는사람밖에안나오넴 안봐야지
sbs_happytogether	jisiklog	POST	pymc0fm-_rcxy		2011-08-25	오늘해피투게더게스트어떻게 그리고달고나언제폐지 해피투게더
sbs_happytogether	jisiklog	POST	pymc0qv-_rcxy		2011-08-25	오늘해피투게더누구나오나요tagquestion 해피투게더
sbs_happytogether	jisiklog	POST	pymc3_h-_rcxy		2011-08-25	오늘해피투게더출연진누구에 해피투게더
sbs_happytogether	jisiklog	POST	pymcd9h-_rcxy		2011-08-25	해피투게더오늘의게스트 해피투게더
sbs_happytogether	jisiklog	POST	pymce0v-_rcxy		2011-08-25	해피투게더 출연자 해피투게더
sbs_happytogether	jisiklog	POST	pymcewd-_rcxy		2011-08-25	오늘해피투게더에누구나와요tagquestion 해피투게더
sbs_happytogether	rlawhddud7	POST	pymcja0-fpa1		2011-08-26	오늘 해피투게더 최은경 아나운서 쌍수저 울트라맨 정말 배 터지다 웃다 다시보기 해서 하다 배꼽 붙잡다 tagsmile tagsmile 웹
sbs_happytogether	qoralswn1220	POST	pymcjz8-bv5s		2011-08-26	해피투게더끝 해피투게더끝나 해피투게더끝나고 내꺼하자나옴 tagsmile
sbs_happytogether	jisiklog	POST	pymcp3r-_rcxy		2011-08-26	해피투게더손병호게임시즌 게임소재몇개만좀말해주세 tagsmile 예를들면경찰청창살 이런거 이런거요 해피투게더
sbs_happytogether	kamiu09	POST	pymcqcu-5tib2		2011-08-26	하이킥 출연진 안내 하이킥 하이킥 짧은다리의역습 하이킥촬영포스터 몽땅내사랑 몽땅내사 하이킥 해피투게더 드림 드림하 드림하이
sbs_happytogether	mho1840	POST	pymcrcp-_gk3n		2011-08-25	예능 무한도전 런닝맨 박 일 출발드림팀 강심장 밤밤 해피투게더드라마 몽땅내사랑 몽땅내사 무사백동수 계백 보스를지켜 공주의남자음악프로 뮤직뱅크 쇼음악중심 인기가요 나는가수 불후의명곡 중에하나라도보는사람미투 taglove
sbs_happytogether	aguzzim0505	POST	pymcrcx-_drvw		2011-08-26	해피투게더 최은경아 최은경아나 숟가락으로마스카 보호 tagsmile
sbs_happytogether	jisiklog	POST	pymcyl8-_rcxy		2011-08-25	해피투게더 출연자가어떻게되나요tagquestion 해피투게더
sbs_happytogether	jisiklog	POST	pymcyr4-_rcxy		2011-08-25	해피투게더출연자 해피투게더
sbs_happytogether	jisiklog	POST	pymc_ue-_rcxy		2011-08-25	오늘해피투게더출연자들좀알려주세 해피투게더
sbs_happytogether	jisiklog	POST	pymc_zh-_rcxy		2011-08-25	오늘해피투게더 게스트 해피투게더
sbs_happytogether	97jangsi	POST	pymf1sg-yazkq		2011-08-25	해피투게더 재방 정용화나 정용화나와 tagexclamation 감격 tagsmile
sbs_happytogether	alsco5200	POST	pymfnvz-n_l0		2011-08-22	설리 설리의 보디가드 어디서 만났을까용tagquestion엘레베이터 tagexclamation 보디가드분 자다 자기 지켜줬대요 설리 설리는 보디가드 분만 분 찾다 있대 있대요 ㅂㄲㅂㄲ해피투게더 나오다 tagexclamation 우하항 tagexclamation 해피투게더 만나다 good bye good bye tagexclamation 톡 tagexclamation 톡 tagexclamation 튀다 시간 올거에용 tagexclamation 우하핳 tagexclamation
sbs_happytogether	chewbg	POST	pymfx9t-_aqmk		2011-08-22	tagsmile 차태현 해피투게더 예능감
sbs_happytogether	starmotion	POST	pymg82x-_1uj8		2011-08-26	해피투게더 임성민 프러포즈 임성민약혼반지
sbs_happytogether	spastar7	POST	pymg93r-5x8tg		2011-08-26	해피투게더 최은경 해피투게더 최은경 마스카 마스카라 사수 위하다 최후 수단 tagexclamation
sbs_happytogether	sang0018	POST	pymgds5-_r4ms		2011-08-26	해피투게더 방송인 방송 특집 이상벽 임성민 최은경 박지윤 김성주 임성민 약혼반지 자랑tagquestion 임성민 강호동 소개팅 최은경 고추왕 이장님 소개 중 웃음 웃다 김성주 빵 사다 사 뉴스 진행 못하다 최은경 개그맨tagquestion 김성주 통아저씨 보고 보다 보 생방송 중 웃음 웃다 김성주 mbc 퇴
sbs_happytogether	sch8736	POST	pymgdt8-5hl69		2011-08-26	해피투게더 다시보기해피투게더 회 이상벽 임성민 최은경 박지윤 김성주 토렌트다운 다시보기
sbs_happytogether	starmotion	POST	pymgf2j-_1uj8		2011-08-26	해피투게더 최은경 마스카 마스카라 사수 울트라맨
sbs_happytogether	starmotion	POST	pymgw3k-_1uj8		2011-08-26	해피투게더 김성주 퇴사이유 김성주 탈모
sbs_happytogether	starmotion	POST	pymgwlm-_1uj8		2011-08-26	해피투게더 임성민 강호동소개팅
sbs_happytogether	eratoskin	POST	pymgymt-ybst1		2011-08-27	해피투게더 이상벽 생방송 중 사회지도층 폭력 남편 등장
sbs_happytogether	jina1712	POST	pymg_cg-5ypq7		2011-08-27	미취것네 슈퍼스타케 보다 잠 안오 안오고 지금 해피투게더 보고 보다 보 있다 잠 안오 안오고
sbs_happytogether	asy5688	POST	pymhd7v-_8w_w		2011-08-27	해피투게더 회
sbs_happytogether	angeldos8548	POST	pymhgem-_t93e		2011-08-27	달샤벳중 달샤벳중에 아는사람 수빈 지율 지율밖 없다능 tagsmile 해피투게더 해피투게더에 나와가지공 tagsmile
sbs_happytogether	itoss	POST	pymi29v-q177		2011-08-25	임성민박지윤최은경김성주이상벽해피투게더
sbs_happytogether	wlahtalsu	POST	pymi2a1-57gjn		2011-08-25	나가 나가께 ㅃㅃ 해피투게더 보다
sbs_happytogether	21dara	POST	pymi4j7-_tbs5		2011-08-26	해피투게더
sbs_happytogether	search_now	POST	pymia8q-5y0f5		2011-08-25	리쌍 여성부 나다 놈 답 한소희 김준엽 해피투게더 최지우 최한빛 하림 스티브잡스 네이버 실시 급상승 검색어
