program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_scent	europeanism	POST	pym0242-_1y5w		2011-08-22	후아 여인의향기 못본거 다운 보고 보다 보 있다 잼따 tagsmile 둘 둘이 텐트안 키스 므흣 tagsmile 날씨 꾸리꾸리 이번주 이번주는 많다 일 있다 tagcry ㅅ tagcry 으흑 병원 가다 실타말 실타말이
sbs_scent	qorseo0307	POST	pym0a_w-y9n7b		2011-08-22	손꼽다 기다리다 놓치다 본방 시간 잠못들고 가슴찌릿 설레이다 맘 부여잡다 여인 향기 시청 중 중이 독고 독고의 여운 사라질쯤 찾아오다 지석 순수매력 아 설레어 설레어하 설레어하는 눈빛 입술 넘 매력적 어뜩 어뜩해 야심 밤 아줌마 주책이라하겠다tagsmile 어쨋든 콩닥거리다 가슴 쓸어 쓸어내 쓸어내며 이젠 잠자리 고우
sbs_scent	goongga	POST	pym0nnu-y5mk8		2011-08-22	여인의향기 taglove 아 진짜 어제 폭풍오열 tagcry 감동 여인의향기
sbs_scent	anminheart	POST	pym0s_i-yj3ey		2011-08-22	드라마는사람을망친다 tagsmile 여인의향기봐봐 tagsmile 현실적인드라마를좀보여줘라고 tagsmile 성남에서소연언니가이야기 우리축구장 현실 tagsmile
sbs_scent	buks2	POST	pym0u2f-_3cex		2011-08-22	여인의향기 여인의향기
sbs_scent	chaeyeon-0_0	POST	pym0xdg-_datf		2011-08-22	슬퍼 슬프다 죽다 tagcry 여인의향기 tagcry ㅂ tagcry
sbs_scent	jisu95942002	POST	pym10j3-cn_j		2011-08-22	kimjunsu 여인의향기 tango ver
sbs_scent	jisu95942002	POST	pym11kx-cn_j		2011-08-22	여인 향기 ost 버킷리스트 jk김동욱
sbs_scent	jisu95942002	POST	pym11of-cn_j		2011-08-22	여인 향기 시한부 인생 김선 김선아 살고싶다 폭풍오열
sbs_scent	gurwns0412	POST	pym18er-yg_xx		2011-08-23	아 대박 여인 향기 콘서트 이영현 이영현도 나오다 가고싶다 tagcry
