program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_strongheart	soyeon0916	POST	pym1409-vojr		2011-08-23	강심장 본방사수 taglove
sbs_strongheart	nunurigo121	POST	pym154o-_9tci		2011-08-22	강심장 강심장에 대한 대하다 의문점 aydw
sbs_strongheart	syj_1004_	POST	pym17rn-5xglm		2011-08-23	tagsmile 떡볶이가잇는게더신기 강심장볼라다가안봄 미투알림대매못자겟어 tagsmile
sbs_strongheart	kkh7698	POST	pym17wa-_c0vo		2011-08-23	최민수 카리스마다 최민수 폐가 폐 경험 강심장 공개 tagexclamation
sbs_strongheart	rudnfdl99	POST	pym18f9-w8qd		2011-08-22	붐 일 제대 강심장 일 녹화 예능 컴백
sbs_strongheart	juniorzz	POST	pym19ih-_at8r		2011-08-23	강심장 tagexclamation
sbs_strongheart	supersuperjr	POST	pym1czg-5lvfk		2011-08-23	오늘 강심장 기대 tagexclamation 오빠 연애사 tagquestion tagexclamation
sbs_strongheart	higoh13	POST	pym1f9m-yzbki		2011-08-23	오늘 강심장 슈퍼주니어 나오다
sbs_strongheart	dudfhr5673	POST	pym1gd4-_tfbg		2011-08-23	오 늘다 강 심 시다 장 씨 볼 보다 거 거다 임 강심장
sbs_strongheart	sks3915	POST	pym1hco-_hq7j		2011-08-23	아 피곤 자고싶은데 강심장봐야되 tagcry
sbs_strongheart	eachto	POST	pym1l0u-j4xv		2011-08-23	강심장 볼려 볼려고 준비중 인 tagsmile
sbs_strongheart	jessica98215	POST	pym1lk6-ysiu0		2011-08-23	저지금컴터로잠깐들어왔어 강심장하기전 강심장하기전에 taglove 아근데 숙제완전많아서 tagcry 아어떡 아어떡하지 tagcry 쎄씨쪼금 쎄씨쪼금보 b버전다 b버전다보 taglove 사진 찍다 다음 올릴게 올릴게요 tagsmile tagsmile
sbs_strongheart	red800726	POST	pym1lll-47d_		2011-08-23	강심장보러 나가 나가여 빠잉
sbs_strongheart	cindy2104	POST	pym1lqs-yyyvn		2011-08-22	붐아카데미 붐아카데미의 붐 드디어 전역 하다 강심장 출연 라디오 굉장
sbs_strongheart	pink991122	POST	pym1ni7-_msg2		2011-08-23	원래 강심장 보고 보다 보 잘다 잘리다 구랫는뎁 엄마 자램 tagexclamation 난 나다 날다 이쯤 굿나잇
sbs_strongheart	eachto	POST	pym1v26-j4xv		2011-08-23	오늘 강심장아시죠tagquestion tagsmile 슈주 오빠 taglove
sbs_strongheart	netamijr	POST	pym1x5q-ygrkr		2011-08-23	으 강심장보고싶은데 숙제 많다
sbs_strongheart	nakukuku	POST	pym1xao-5kapq		2011-08-23	으잉 이제 자다 자 할 하다 시간 오늘 강심장 강심장은 보지못 한채 한채로 빠 빠 늘다 무슨 엄마 욕할때 버티다
sbs_strongheart	suyn84	POST	pym1xde-5rtbz		2011-08-23	왔츰 강심장할때까지미투하다다시갈꺼얌
sbs_strongheart	sujumx1991	POST	pym1xdy-_y163		2011-08-23	지금 강심장방송 시간 맞아요tagquestionkbs
sbs_strongheart	kate97129	POST	pym1xf8-bmq_		2011-08-23	강심장 편집 이상 하다 죽여버리겠어
sbs_strongheart	rlask1313	POST	pym1xgz-5nkgj		2011-08-23	강심장 강심장한다
sbs_strongheart	eachto	POST	pym1xh6-j4xv		2011-08-23	이제강심장시작 tagsmile
sbs_strongheart	eachto	POST	pym1xn1-j4xv		2011-08-23	강심장 강심장에 집중하기위 tagsmile 난 나다 날다 바 tagsmile 친구한태 내용물어봐야되서 tagsmile
