"","tf"
"이승기",48
"박찬호",33
"강호동",31
"성시경",28
"여행",26
"시청자투어",24
"좋다",17
"종영",16
"친구",15
"타다",15
"나pd",13
"부산",13
"일로",13
"전현무",13
"제작비",13
"폭포",12
"개월",11
"다녀오다",11
"많다",11
"무한도전",11
"정말",11
"주말",11
"주왕산",11
"싶다",10
"하차",10
"신나다",9
"어디",9
"제기",9
"차다",9
"최고",9
"캠프",9
"가평",8
"기분",8
"나도",8
"놀다",8
"다시보기",8
"마지막",8
"백지영",8
"사라지다",8
"사람",8
"시작",8
"의혹",8
"이수근",8
"행복",8
"http",7
"ttalk",7
"t토크",7
"고맙다",7
"그리다",7
"떠나다",7
"마치",7
"못하다",7
"사용처",7
"시간",7
"시청자",7
"아니다",7
"완전",7
"재미",7
"재회",7
"진짜",7
"폭포특집",7
"한번",7
"kbs",6
"가늘다",6
"공개",6
"그럼",6
"방송",6
"서울",6
"스포츠",6
"엄태웅",6
"엔터테",6
"엔터테인",6
"역시",6
"오센",6
"우리",6
"이렇게",6
"일요일",6
"주다",6
"촬영",6
"추천",6
"출처한국",6
"폐지",6
