"","tf"
"최한빛",59
"ost",37
"다시보기",34
"문채원",28
"수양대군",26
"박시후",25
"세령",20
"승유",20
"사랑",19
"트렌스젠더",19
"좋다",17
"kbs",16
"보스",16
"세령이",15
"김승유",14
"완전",14
"거다",11
"등장",11
"사극",11
"출연",11
"보스를지켜",10
"본방사수",10
"죽이다",10
"지키다",10
"bgm",9
"뭔가",9
"수목드라마",9
"기생",8
"백지영",8
"트랜스젠더",8
"김종서",7
"단종",7
"많다",7
"생각",7
"신다",7
"아니다",7
"인물",7
"정말",7
"화제",7
"기다리다",6
"대박",6
"마음",6
"모델",6
"무사",6
"미투",6
"엄마",6
"여인",6
"여자",6
"역시",6
"재밌어",6
"진짜",6
"최고",6
"하지",6
"daum블로그",5
"listening",5
"기대",5
"끝나다",5
"댓글",5
"불쌍",5
"시청률",5
"신면",5
"아버지",5
"안되다",5
"어디서",5
"연기",5
"우리",5
"이정",5
"재미",5
"재밌다",5
"재방송",5
"지다",5
"챙기다",5
"촬영",5
"하동균",5
