"","tf"
"널다",376
"ost",100
"넌내게반",65
"정용화",65
"끝나다",33
"이신",33
"박신혜",27
"book",26
"규원",20
"영상만화",16
"좋다",16
"eyes",13
"넌내반",13
"노래",12
"사랑",12
"빠지다",11
"달콤",10
"둘리커플",10
"이규원",10
"취해버렸어",10
"가사",9
"네이버뮤직",9
"듣다",9
"아쉽다",9
"황홀",9
"그립다",8
"내사랑",8
"노랗다",8
"녹아버렸어",8
"듣기",8
"마지막",8
"싶다",8
"씨엔블루",8
"여러분",8
"우리",8
"지다",8
"진짜",8
"movie",7
"강민혁",7
"곰돌",7
"곰돌이",7
"내사랑에",7
"이신의",7
"종영",7
"music",6
"내눈빛",6
"내눈빛에",6
"네이버앱",6
"사진",6
"완전",6
"음악검색",6
"현장스케치",6
