"","tf"
"사랑",75
"사람",30
"그대",25
"32회",17
"다시보기",13
"20110821",10
"love",9
"노래",8
"떠나다",8
"못하다",8
"싶다",8
"baby",7
"슬프다",7
"행복",7
"그사람",6
"나르다",6
"마음",6
"많다",6
"고맙다",5
"널다",5
"당신",5
"아끼다",5
"아니다",5
"언제",5
"영원",5
"원하다",5
"정말",5
"주님",5
"주다",5
"하지",5
"향하다",5
"힘들다",5
"그녀",4
"나도",4
"내맘",4
"너르다",4
"눈물",4
"다르다",4
"멀다",4
"생각",4
"이기적",4
"잊다",4
"제일",4
"하루",4
"8월21",3
"거다",3
"그녀를",3
"그댈",3
"그때",3
"그리다",3
"김현식",3
"노랗다",3
"누다",3
"머물다",3
"모두",3
"모르다",3
"빠지다",3
"서다",3
"세상",3
"아름답다",3
"아무",3
"안다",3
"안되다",3
"울다",3
"이소연",3
"있다는것",3
"잠시",3
"좋다",3
"지키다",3
"차다",3
"찾다",3
"처음",3
"필요",3
"하늘",3
"110821",2
"가슴",2
"감다",2
"감동",2
"걸다",2
"그것",2
"그게",2
"그댄",2
"그렇다",2
"기대",2
"나중",2
"남자",2
"내곁엔",2
"내마음",2
"내맘이",2
"내심장",2
"누가",2
"누군가",2
"늘다",2
"늦다",2
"듣다",2
"들어보다",2
"떠나가다",2
"만나다",2
"몰다",2
"물론",2
"믿다",2
"바라다",2
"바라보다",2
"버리다",2
"보지",2
"상황",2
"생기다",2
"서글프다",2
"선물",2
"소중",2
"시간",2
"시작",2
"아무도",2
"어깨",2
"어디",2
"언제까지",2
"언제나",2
"얼굴",2
"여인",2
"오직",2
"욕심",2
"우린",2
"위하다",2
"위해",2
"의지",2
"있죠",2
"잠들다",2
"존재",2
"줄수",2
"지나가다",2
"지다",2
"진리",2
"축하",2
"친손자",2
"토렌트",2
"평생",2
"향기",2
"헤어지다",2
