program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_sundaynight_nagasoo	hymom79	POST	pyc07xu-xn2p		2011-09-09	추석특집 나도 나다 나 가수 시비킴 전도현 등장 불량캐릭터 특유 음색 완벽 재현 시비킴 유희열의스케치북 리쌍 첫방 첫방이자 막방
mbc_sundaynight_nagasoo	mentalistsj	POST	pyc09fd-_gu_h		2011-09-09	뮤직뱅크 뮤직뱅크를 보고 보다 보 있다 기계음 묘 거슬리다 역시 나가수 나가수의 영향 큰건가
mbc_sundaynight_nagasoo	bos231	POST	pyc0d1l-mpxv		2011-09-07	흠 그렇다 나 나다 요즘 왜이렇게 나가수 나가수가 머릿속 맴돌다 tagquestion tagsmile 이번 추석 방영 나가수 6라운드 2차경연 순위 예상 점쳐볼까 점쳐볼까나 점쳐볼까나요 tagquestion tagsmile
mbc_sundaynight_nagasoo	poup	POST	pyc0hj4-23fc		2011-09-08	이번주 나가수 스포 스포주 스포주의 tagexclamation
mbc_sundaynight_nagasoo	minbang0531	POST	pyc0huq-_sahp		2011-09-09	나 나다 ggf ggf의 팬스탭 회장이긔 이건 엄연 언니 가수 나다 나서다 나서 적용 된다능 tagsmile
mbc_sundaynight_nagasoo	mystar26	POST	pyc0kkh-y93dx		2011-09-09	우 추석 tagexclamation 미친분 tagexclamation 해피 추석되시기 tagexclamation 애플걸 애플걸이 카닉 카닉이 카닉이는 추석때 보다 보자꾸 tagexclamation 윤느님 추석때 추석때도 나가수 찍는다고 찍는다고요 tagquestion 될수 있다 보러갈게 보러갈게여 tagexclamation 자우림 홧팅
mbc_sundaynight_nagasoo	mystar26	POST	pyc0m4h-y93dx		2011-09-09	1박2 일 털리다 카닉 카닉아 tagexclamation 1박2 일 강호동 땜 털리다 나가수 나가수를 시청 tagexclamation 안그러면 페인네이터 페인네이터를 쏴드리겠쓰 협박네이터 쏘는중
mbc_sundaynight_nagasoo	mocg_rom	POST	pyc0nyf-_hoco		2011-09-08	나다움tv 방송안내 방송안 지난 지나다 지 주 사정 방송 못하다 김형철 아나운서 music 2000년대 여자 솔로가수 특집 3시 3시에 방송 많다 시청 대화참여 대화참 부탁
mbc_sundaynight_nagasoo	8110abcd	POST	pyc0s8j-5skcl		2011-09-08	좀쉬 올라가다 다분주한 이맘때가족기리 즐기다 조상은덕형제 생각 그게어딘데 만 잘정돈 잘정돈하 잠 자고 자다 자 뭐 일없수 근 다살다보면 이러한일 있다 제미삼 제미삼아 별일 내 올리다 즉각대답 이 서울가서 뵈다 연휴 나오겟네 누 누가 먹었어 나가수
mbc_sundaynight_nagasoo	blacku5	POST	pyc0uld-_q2ob		2011-09-09	나두 가수 유명 ㅇㅇ tagcry 제발 오디션붙길비는중 tagsmile
mbc_sundaynight_nagasoo	hjk7847	POST	pyc0ve2-wzbv		2011-09-09	윤민수 윤민수가 사랑 사 쓸쓸 대하다 대하 로 다르다 가수 긴장 4 4일 방송 mbc 예능프로그램 우리 일밤 서바이벌 나다 나 가수 나가수 에서 에서는 6라운드 2차 경연 앞서다 중간 평가 진행 제 미친중 오복 아짐 아짐이 저사람 저사람이 나 닮았다네요
mbc_sundaynight_nagasoo	ldooj	POST	pyc0zj0-y09dz		2011-09-08	벅스 독점 이벤트 투표 나가수 보러가자 tagexclamation bugs 나는가수 나가수 벅스 index
mbc_sundaynight_nagasoo	ngmaroo9	POST	pyc11bp-_dx4j		2011-09-09	나가수 재방중 음악 취하다 취하 술 취하다 취하 맨 맨날 헤롱 인생 블랙홀 tagsmile
mbc_sundaynight_nagasoo	qplay85	POST	pyc1cms-_2617		2011-09-10	웃다 또 웃다 나도 나다 나 가수 29회
mbc_sundaynight_nagasoo	may27seed	POST	pyc1hoa-y53w5		2011-09-10	j special 나다 나 가수 만들다 스타 예능pd 김영희 조인스 뉴스 스크랩
mbc_sundaynight_nagasoo	jinhee203	POST	pyc1tix-_mn7l		2011-09-10	샤 샤이 music station 일본 생방송 일본어 관련 쪽 일하다 관계 요즘 한류 뭐 한국 가수 일본 거다 다 넘어가다 모습 좀 조다 민망 하다 하 일본친구 티비 티비만 틀다 한국가수 이 하다 하지 크다 무대서 완벽 모습 보다 보 정말 뿌듯 tagexclamation 금요일 금요 생방송 뮤직스테이션 뮤직스테이션의 juliette tagexclamation 특별 아이돌 아이돌의 팬 아니다 대표적 음악 방송 샤이니 샤이니나 저번주 2ne1 저저번주 저저번주의 2pm 등 나오다 나도 나다 나 모르다 한국 사람 응원 되다 한국 힘 보여주라구
mbc_sundaynight_nagasoo	tmsk_gkdl	POST	pyc1vlq-p5d7		2011-09-10	난 나다 날다 니들 니들이 투피엠근거없는이유로 깔때 나도 나다 나 니들 니들이 좋아하는가수 못까는거아냐 근데 거기서 니들 니들이 좋아하는가수까면 결국 나도 나다 나 똑같아지는거잖 똑같아지는거잖아 니들 니들이 다른가수까는건되 남다 남 니들가수까는건 안되다 tagquestion 니가 니가하면 로맨스 남이하면 남이 불륜 tagquestion 제발 니가수 니가수는 죽어라애끼면서 남 나다 가수는죽어 까다
mbc_sundaynight_nagasoo	subin_byul	POST	pyc30h6-5p0_2		2011-09-07	오늘 수업시간 졸다 졸 언뜻 들다 들 이야기 너네 너네가 지금 남자친구사귀 가수 쫓아다니다 그럴때 그럴때가 아니다 tagquestion 가수 쫓아다니다 tagquestion 나 또 있다 tagquestion 이학교 이학교에 tagquestion tagsmile 뭐짘 tagsmile
mbc_sundaynight_nagasoo	ttghy11	POST	pyc3dfe-5a_on		2011-09-08	jyj jyj는 노래 아무리 좋다 들어주기싫당 낵 ㅏ 유일 싫어 싫다 하다 하 가수 강인 강 jyj 헤헤헤헤헤헤헤헤헤헤헤헤헤헤헤헤헤 자 자다 나를까러와봐
mbc_sundaynight_nagasoo	amykj1101	POST	pyc3hj9-_aq3s		2011-09-07	아웅 가수 일본 가다 부럽부럽 tagcry 나도 나다 나 가고싶다 tagexclamation 근데 스나미 일본 이제 괜찮다 괜찮 tagquestion 정상적 돌아왔겟징 tagquestion
mbc_sundaynight_nagasoo	72vusen	POST	pyc3juz-5oa3o		2011-09-07	김경호 소찬휘 나다 나 가수 tagexclamation 김경호 소찬휘 김경호 소찬휘 나는가수 대기중 김경호 소찬휘 나는가수 다음주자 tagquestion 김경호 나는가수 러브콜 받다 출연 tagquestion
mbc_sundaynight_nagasoo	tourismvic	POST	pyc3qh2-o597		2011-09-07	나가수 호주 멜버른 나는가수 청중평가단 되다 호주 멜번 여행 여행 법
