program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_three	anipen2	POST	pyc3b62-c4d5		2011-09-07	목표 높다 계획 치밀 실천 확실 tagexclamation 한비 한비야 1
mbc_three	psy0646	POST	pyc5mv2-yv7u3		2011-09-10	세바퀴 보시 분 tagexclamation now 써비 오빠 tagexclamation 오빠 틴탑 사랑 해 하다 tagsmile
mbc_three	mumujiwon	POST	pyc5yyk-ym7ep		2011-09-05	있냐고 있냐고요 tagsmile 세바퀴샤이니출연할때키 tagsmile
mbc_three	ddmboy	POST	pyc63cd-_ylck		2011-09-05	간만 간 917 세바퀴 pu 40
mbc_three	dy1dy2	POST	pycbafh-twv5		2011-09-10	헐 드라마볼라고햇는데 세바퀴 세바퀴에 동호 동호랑 수현이가나 수현이가나와 미아내민죠 taglove
mbc_three	jisiklog	POST	pycbq09-_rcxy		2011-09-10	오늘세바퀴에누구나오나 tagquestion 출연진좀알려주세 세바퀴
mbc_three	jisiklog	POST	pycbsa3-_rcxy		2011-09-10	세바퀴출연진좀알려주세 세바퀴
mbc_three	990621girl	POST	pycbstc-5f_jb		2011-09-10	세바퀴보고올게 세바퀴보고올게여 잠시
mbc_three	wlsk7229	POST	pycbz37-yeo9x		2011-09-10	지금 세바퀴보고 taglove
mbc_three	bcnssb000	POST	pycbz6z-yhksu		2011-09-10	남자둘 남자둘이 베스킨 아이스크림먹으 세바퀴 세바퀴를 보다 보 실실거리고 이뭔 시츄에이션 ㄱㅡ
mbc_three	jihyun1201	POST	pyce50i-y4p4n		2011-09-07	요새 세바퀴 하다 하 선택퀴즈 재밌던데 우리 한번 해 하다 보다 tagquestion 음 뭐좀 물어보다 대답 안하다 과묵 남자 남다 vs 24시 절 절대 입다물다 않다 무한수다 무한수 남자 남다 어떠세 tagquestion
mbc_three	gazilla	POST	pycetj5-yrncx		2011-09-10	아침 선유 선유도 한바퀴 두바퀴 아니 아 세바퀴 세바퀴는 돈듯 드뎌 사진 사다 모아보 모아보는 편집기 사용중 뭔가 조금 부족
mbc_three	em010405	POST	pycj3vq-yksp1		2011-09-10	이제 슬슬 세바퀴 세바퀴나 봐야죠 오늘 누구누구 어떤 분들 나오실까 나오실까나 tagquestion 트로트 남매 남다 장윤정박현빈 가수분 명절 고정 나오실꺼 나오실꺼고 tagsmile
mbc_three	parksr9810	POST	pycjese-_ggkt		2011-09-10	맞다 세바퀴보러가야지
mbc_three	search_now	POST	pycjktp-5y0f5		2011-09-10	강호동닷컴 new 유병재 new 신지수 87 아저씨 135 치루 387 봉천동귀신 실제사진 90 그것 알고싶다 90 세바퀴 147 추석특선영화 45 아스 아스날 스완지 381 네이버 실시 급상승 검색어
mbc_three	ma2646	POST	pyck15j-rwog		2011-09-10	세바퀴보는중인데동호나왔다귀염둥이동호 tagquestion 네버랜드
mbc_three	girl_9605	POST	pyckbj1-5w_8d		2011-09-10	여인의향기 tagcry tagcry 연재죽으면안되 너무슬프단말 tagcry 오늘도울컥울컥 tagcry 세바퀴봐야지 아정말 tagcry 여인의향기 taglove
mbc_three	kmediabox	POST	pyckznu-_1l70		2011-09-10	토도우 세바퀴 120회 9월10 일 다시보기
mbc_three	zxo2900	POST	pycyb1s-a86e		2011-09-10	세바퀴 120회 세바퀴 특집회
