"","tf"
"강호동",22
"은퇴",13
"강심장은",12
"1박2",11
"이승기",10
"스타킹",9
"컴백",8
"강호동씨",5
"돌아오다",5
"많다",5
"무릎팍",5
"붐광댄스",5
"사랑",5
"대박",4
"무릎팍도사",4
"사람",4
"소녀시대",4
"써니",4
"어쩌다",4
"예능",4
"전혜빈",4
"1인자",3
"booms",3
"sbs",3
"국민",3
"그럼",3
"등등",3
"모습",3
"무릎팍은",3
"생각",3
"서현",3
"아쉽다",3
"아찌",3
"완전",3
"우리",3
"잠정",3
"좋다",3
"효연",3
"11",2
"1위",2
"2월",2
"9일",2
"bnt",2
"via",2
"강심장도",2
"강심장이",2
"검색어",2
"기다리다",2
"기대",2
"녹화",2
"뉴스",2
"다음",2
"드디어",2
"따다",2
"모르다",2
"발도장",2
"보여주다",2
"본방사수",2
"세금",2
"솔직",2
"시간",2
"시청",2
"실시",2
"싶다",2
"아니다",2
"아임in",2
"양세형",2
"어떻게",2
"어떻다",2
"어쩌구",2
"연예",2
"연예계",2
"옥택연",2
"웃다",2
"은퇴선언",2
"인가",2
"일본",2
"자리",2
"재미",2
"좋아하다",2
"지다",2
"진행",2
"탈세",2
"특집",2
"하나",2
"호동",2
"화요일",2
"힘들다",2
