program_id,start_date,end_date,site,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date,positive_post_rate,negative_post_rate,positive_post_user_rate,negative_post_user_rate,negative_positive_post_rate,negative_positive_post_user_rate,nation,category,channel,air_cycle
kbs1_greatking,20110815,20110821,me2day,weekly,12,31,12,12,1,,,2,,,,2,,,,2011-09-06 19:20,2011-09-06 19:20,,,,,,,KO,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110822,20110828,me2day,weekly,8,4,7,3,0,1,,2,,1,,2,,,,2011-09-06 19:20,2011-09-06 19:20,0.125,,0.1429,,,,KO,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110905,20110911,me2day,weekly,50,42,34,17,0,,1,1,1,,1,1,1,,,2011-09-19 17:05,2011-09-19 17:05,,0.02,,0.0294,,,KO,drama,KBS1,"SAT,SUN"
kbs2_gagcon,20110815,20110821,me2day,weekly,811,9438,644,66,289,62,15,3,3,61,15,3,3,,,2011-09-06 19:20,2011-09-06 19:20,0.0764,0.0185,0.0947,0.0233,0.2419,0.2459,KO,entertain,KBS2,SUN
kbs2_gagcon,20110822,20110828,me2day,weekly,855,6936,678,110,347,77,6,21,3,74,6,16,2,,,2011-09-06 19:20,2011-09-06 19:20,0.0901,0.007,0.1091,0.0088,0.0779,0.0811,KO,entertain,KBS2,SUN
kbs2_gagcon,20110905,20110911,me2day,weekly,200,537,157,47,96,18,,17,1,18,,13,1,,,2011-09-19 17:05,2011-09-19 17:05,0.09,,0.1146,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110815,20110821,me2day,weekly,813,2253,707,183,354,71,10,29,4,67,10,22,4,,,2011-09-06 19:20,2011-09-06 19:20,0.0873,0.0123,0.0948,0.0141,0.1408,0.1493,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110822,20110828,me2day,weekly,442,1870,354,48,161,33,1,9,,28,1,8,,,,2011-09-06 19:20,2011-09-06 19:20,0.0747,0.0023,0.0791,0.0028,0.0303,0.0357,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110905,20110911,me2day,weekly,63,103,59,24,47,4,1,3,,4,1,2,,,,2011-09-19 17:05,2011-09-19 17:05,0.0635,0.0159,0.0678,0.0169,0.25,0.25,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110815,20110821,me2day,weekly,80,1845,69,1,15,4,,,,4,,,,,,2011-09-06 19:20,2011-09-06 19:20,0.05,,0.058,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110822,20110828,me2day,weekly,45,364,44,148,140,2,,22,3,2,,14,2,,,2011-09-06 19:20,2011-09-06 19:20,0.0444,,0.0455,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110905,20110911,me2day,weekly,43,117,39,,25,4,2,,,4,2,,,,,2011-09-19 17:05,2011-09-19 17:05,0.093,0.0465,0.1026,0.0513,0.5,0.5,KO,entertain,KBS2,SUN
kbs2_ojakkyo,20110815,20110821,me2day,weekly,71,44,54,,7,3,1,,,3,1,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0423,0.0141,0.0556,0.0185,0.3333,0.3333,KO,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110822,20110828,me2day,weekly,65,138,54,,45,1,1,,,1,1,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0154,0.0154,0.0185,0.0185,1,1,KO,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110905,20110911,me2day,weekly,54,9,36,,4,2,,,,2,,,,,,2011-09-19 17:05,2011-09-19 17:05,0.037,,0.0556,,,,KO,drama,KBS2,"SAT,SUN"
kbs2_princess,20110815,20110821,me2day,weekly,597,2121,421,92,197,40,11,6,3,40,11,6,3,,,2011-09-06 19:20,2011-09-06 19:20,0.067,0.0184,0.095,0.0261,0.275,0.275,KO,drama,KBS2,"WED,THU"
kbs2_princess,20110822,20110828,me2day,weekly,440,1376,347,,184,33,6,,,32,6,,,,,2011-09-06 19:20,2011-09-06 19:20,0.075,0.0136,0.0922,0.0173,0.1818,0.1875,KO,drama,KBS2,"WED,THU"
kbs2_princess,20110905,20110911,me2day,weekly,64,3299,56,,47,13,,,,13,,,,,,2011-09-19 17:05,2011-09-19 17:05,0.2031,,0.2321,,,,KO,drama,KBS2,"WED,THU"
kbs2_spy,20110815,20110821,me2day,weekly,1246,3930,872,107,508,81,38,9,5,67,38,9,5,,,2011-09-06 19:20,2011-09-06 19:20,0.065,0.0305,0.0768,0.0436,0.4691,0.5672,KO,drama,KBS2,"MON,TUE"
kbs2_spy,20110822,20110828,me2day,weekly,361,424,264,50,153,25,4,2,,22,3,2,,,,2011-09-06 19:20,2011-09-06 19:20,0.0693,0.0111,0.0833,0.0114,0.16,0.1364,KO,drama,KBS2,"MON,TUE"
kbs_homewomen,20110815,20110821,me2day,weekly,80,541,51,108,23,4,1,24,1,4,1,15,1,,,2011-09-06 19:20,2011-09-06 19:20,0.05,0.0125,0.0784,0.0196,0.25,0.25,KO,drama,KBS1,MON~FRI
kbs_homewomen,20110822,20110828,me2day,weekly,71,152,49,46,10,4,2,7,1,4,2,4,1,,,2011-09-06 19:20,2011-09-06 19:20,0.0563,0.0282,0.0816,0.0408,0.5,0.5,KO,drama,KBS1,MON~FRI
kbs_homewomen,20110905,20110911,me2day,weekly,51,230,25,,1,3,,,,3,,,,,,2011-09-19 17:05,2011-09-19 17:05,0.0588,,0.12,,,,KO,drama,KBS1,MON~FRI
mbc_challenge,20110815,20110821,me2day,weekly,601,15956,504,19,2450,71,9,,,68,9,,,,,2011-09-06 19:20,2011-09-06 19:20,0.1181,0.015,0.1349,0.0179,0.1268,0.1324,KO,entertain,MBC,SAT
mbc_challenge,20110822,20110828,me2day,weekly,448,68883,356,8,1940,90,18,1,,80,11,1,,,,2011-09-06 19:20,2011-09-06 19:20,0.2009,0.0402,0.2247,0.0309,0.2,0.1375,KO,entertain,MBC,SAT
mbc_challenge,20110905,20110911,me2day,weekly,275,3263,214,31,1779,39,8,3,,35,4,3,,,,2011-09-19 17:05,2011-09-19 17:05,0.1418,0.0291,0.1636,0.0187,0.2051,0.1143,KO,entertain,MBC,SAT
mbc_fallinlove,20110815,20110821,me2day,weekly,1092,1989,759,58,707,131,26,9,,122,26,9,,,,2011-09-06 19:20,2011-09-06 19:20,0.12,0.0238,0.1607,0.0343,0.1985,0.2131,KO,drama,MBC,"WED,THU"
mbc_fallinlove,20110822,20110828,me2day,weekly,416,745,285,48,270,40,3,7,2,36,3,6,1,,,2011-09-06 19:20,2011-09-06 19:20,0.0962,0.0072,0.1263,0.0105,0.075,0.0833,KO,drama,MBC,"WED,THU"
mbc_gyebaek,20110815,20110821,me2day,weekly,473,54328,329,42,112,17,4,6,1,15,4,6,1,,,2011-09-06 19:20,2011-09-06 19:20,0.0359,0.0085,0.0456,0.0122,0.2353,0.2667,KO,drama,MBC,"MON,TUE"
mbc_gyebaek,20110822,20110828,me2day,weekly,265,8329,192,8,201,14,1,,,13,1,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0528,0.0038,0.0677,0.0052,0.0714,0.0769,KO,drama,MBC,"MON,TUE"
mbc_gyebaek,20110905,20110911,me2day,weekly,24,30,21,2,21,,1,1,,,1,1,,,,2011-09-19 17:05,2011-09-19 17:05,,0.0417,,0.0476,,,KO,drama,MBC,"MON,TUE"
mbc_sundaynight_house,20110815,20110821,me2day,weekly,4,0,2,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20,,,,,,,KO,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110815,20110821,me2day,weekly,719,12390,568,14,859,110,13,,,103,13,,,,,2011-09-06 19:20,2011-09-06 19:20,0.153,0.0181,0.1813,0.0229,0.1182,0.1262,KO,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110822,20110828,me2day,weekly,729,16560,593,55,410,108,17,5,,104,17,5,,,,2011-09-06 19:20,2011-09-06 19:20,0.1481,0.0233,0.1754,0.0287,0.1574,0.1635,KO,entertain,MBC,SUN
mbc_sundaynight_nagasoo,20110905,20110911,me2day,weekly,229,11678,195,20,94,36,3,1,,36,3,1,,,,2011-09-19 17:05,2011-09-19 17:05,0.1572,0.0131,0.1846,0.0154,0.0833,0.0833,KO,entertain,MBC,SUN
mbc_thousand,20110815,20110821,me2day,weekly,66,34,53,,27,3,1,,,3,1,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0455,0.0152,0.0566,0.0189,0.3333,0.3333,KO,drama,MBC,"SAT,SUN"
mbc_thousand,20110822,20110828,me2day,weekly,71,48,54,,18,5,,,,3,,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0704,,0.0556,,,,KO,drama,MBC,"SAT,SUN"
mbc_thousand,20110905,20110911,me2day,weekly,41,19,28,,17,1,,,,1,,,,,,2011-09-19 17:05,2011-09-19 17:05,0.0244,,0.0357,,,,KO,drama,MBC,"SAT,SUN"
mbc_three,20110815,20110821,me2day,weekly,61,212,55,,25,3,2,,,3,2,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0492,0.0328,0.0545,0.0364,0.6667,0.6667,KO,entertain,MBC,SAT
mbc_three,20110822,20110828,me2day,weekly,53,185,47,,73,4,,,,4,,,,,,2011-09-06 19:20,2011-09-06 19:20,0.0755,,0.0851,,,,KO,entertain,MBC,SAT
mbc_three,20110905,20110911,me2day,weekly,19,17,18,,7,,,,,,,,,,,2011-09-19 17:05,2011-09-19 17:05,,,,,,,KO,entertain,MBC,SAT
mbc_urpretty,20110815,20110821,me2day,weekly,29,55,11,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20,,,,,,,KO,drama,MBC,MON~FRI
mbc_urpretty,20110822,20110828,me2day,weekly,31,1,14,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20,,,,,,,KO,drama,MBC,MON~FRI
mbc_urpretty,20110905,20110911,me2day,weekly,38,8,11,,0,,,,,,,,,,,2011-09-19 17:05,2011-09-19 17:05,,,,,,,KO,drama,MBC,MON~FRI
mbc_wedding,20110815,20110821,me2day,weekly,281,10192,243,68,209,42,5,6,1,42,5,5,1,,,2011-09-06 19:20,2011-09-06 19:20,0.1495,0.0178,0.1728,0.0206,0.119,0.119,KO,entertain,MBC,SAT
