program_id,start_date,end_date,duration_type,watch_rate,register_date,update_date
kbs1_greatking,20110815,20110821,weekly,0.171,,
kbs1_greatking,20110822,20110828,weekly,0.161,,
kbs2_gagcon,20110815,20110821,weekly,0.156,,
kbs2_gagcon,20110822,20110828,weekly,0.167,,
kbs2_happysunday_1bak2il,20110815,20110821,weekly,0.147,,
kbs2_happysunday_1bak2il,20110822,20110828,weekly,0.175,,
kbs2_happysunday_men,20110815,20110821,weekly,0.147,,
kbs2_happysunday_men,20110822,20110828,weekly,0.175,,
kbs2_ojakkyo,20110815,20110821,weekly,0.227,,
kbs2_ojakkyo,20110822,20110828,weekly,0.21,,
kbs2_princess,20110815,20110821,weekly,0.172,,
kbs2_princess,20110822,20110828,weekly,0.169,,
kbs2_spy,20110815,20110821,weekly,0.058,,
kbs2_spy,20110822,20110828,weekly,0.077,,
kbs_homewomen,20110815,20110821,weekly,0.217,,
kbs_homewomen,20110822,20110828,weekly,0.222,,
mbc_challenge,20110815,20110821,weekly,0.153,,
mbc_challenge,20110822,20110828,weekly,0.146,,
mbc_fallinlove,20110815,20110821,weekly,0.055,,
mbc_gyebaek,20110815,20110821,weekly,0.106,,
mbc_gyebaek,20110822,20110828,weekly,0.118,,
mbc_sundaynight_house,20110815,20110821,weekly,0.102,,
mbc_sundaynight_house,20110822,20110828,weekly,0.093,,
mbc_sundaynight_nagasoo,20110815,20110821,weekly,0.102,,
mbc_sundaynight_nagasoo,20110822,20110828,weekly,0.093,,
mbc_thousand,20110815,20110821,weekly,0.084,,
mbc_thousand,20110822,20110828,weekly,0.08,,
mbc_three,20110815,20110821,weekly,0.111,,
mbc_three,20110822,20110828,weekly,0.121,,
mbc_urpretty,20110815,20110821,weekly,0.12,,
mbc_urpretty,20110822,20110828,weekly,0.135,,
mbc_wedding,20110815,20110821,weekly,0.087,,
mbc_wedding,20110822,20110828,weekly,0.079,,
sbs_baekdongsoo,20110815,20110821,weekly,0.187,,
sbs_baekdongsoo,20110822,20110828,weekly,0.178,,
sbs_besideme,20110815,20110821,weekly,0.145,,
sbs_besideme,20110822,20110828,weekly,0.136,,
sbs_boss,20110815,20110821,weekly,0.159,,
sbs_boss,20110822,20110828,weekly,0.148,,
sbs_dangsin,20110815,20110821,weekly,0.132,,
sbs_dangsin,20110822,20110828,weekly,0.133,,
sbs_happytogether,20110815,20110821,weekly,0.137,,
sbs_happytogether,20110822,20110828,weekly,0.121,,
sbs_newsunday,20110815,20110821,weekly,0.098,,
sbs_newsunday,20110822,20110828,weekly,0.082,,
sbs_scent,20110815,20110821,weekly,0.182,,
sbs_scent,20110822,20110828,weekly,0.166,,
sbs_starking,20110815,20110821,weekly,0.111,,
sbs_starking,20110822,20110828,weekly,0.079,,
sbs_strongheart,20110815,20110821,weekly,0.108,,
