program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_princess	kelleahyejin	POST	pym015a-yfrj4		2011-08-18	으아 오늘 영어학원 tagexclamation 몹쓸 학원때문 tagexclamation 공주 남자 분 보다 생기다 tagexclamation
kbs2_princess	chococat000	POST	pym01ba-_hgmp		2011-08-19	잇힝 방금생각난건데 공주의남자 보다 거슬리던게 다크승유 다크승유의 산발 머리 왜풀어놓은것일까tagquestion 다른사람들보면거의다묶엇던데
kbs2_princess	loveyou9742	POST	pym04w2-shaw		2011-08-19	공주의남자 공주의남자 회 다시보기 고화질
kbs2_princess	nhy0312nhy	POST	pym05nd-_marw		2011-08-18	공주의남자 박시후 문채원의정체알게 미미콩 문채원 문채원의 채 게된 시후 오늘 방송 후편 정말 기대 기대다
kbs2_princess	cofvh	POST	pym06sa-_sldt		2011-08-20	지금 공주 남자 남다 재방하는데 완전 보고싶다아 엄 나 나다 보여주다 않다 tagexclamation 나도 나다 나 보고싶다 내 그런거 관심 많은거 알다 그러지 tagexclamation 엄마 미워 tagexclamation
kbs2_princess	ugkymj	POST	pym07qr-5xh8k		2011-08-18	지금 우리집 공주 남자 남다 보다 tagsmile 우리 오늘 막방인줄알고
kbs2_princess	tnwlswhddjr	POST	pym07rc-y5698		2011-08-18	난 나다 날다 지금 아이스커피 함 공주 남자시청중 tagsmile 흐으 윤디 모하닝
kbs2_princess	yanghm029	POST	pym07_q-btoi		2011-08-18	내 드뎌 이걸 찾았어큰걸로 먹지 tagsmile 크핳핳 크핳핳하 tagsmile 배경 우리집 거실장과티비 tagsmile 난 나다 날다 공주 남자보 남자보는 중 tagsmile
kbs2_princess	qkrwnal94	POST	pym0blq-5tueu		2011-08-18	공주의남자 재밋엉 tagcry 박시후 멋지다 tagcry 인생 낙이생겻네 tagcry tagsmile 동원님 동원님도 어서 돌아오다 tagexclamation tagcry
kbs2_princess	zlekfl0308	POST	pym0bt1-_q9oh		2011-08-19	공주의남자 빨다 보고프닷 닥본사 못 한것 한것이 아쉬울 tagexclamation tagsmile
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	난 나다 날다 씐이 아주 기쁘다 재회 아니다 걍 궁금한거 묻는거 잇힝 근데 이런거 tagsmile ㄷㄷㄷ존 tagsmile 나 나다 tagsmile 무섭 tagexclamation ㄷㄷㄷㄷ이외엿음저러 신면 신면이 또 나타날듯 tagsmile 공주의남자 회 완죤 재미있었어 tagexclamation
kbs2_princess	insos02	POST	pym0cgt-_8lnw		2011-08-19	공주 남자 남다 다시보기 회 공주 남자 남다 다시보기 회
kbs2_princess	liarcity	POST	pym0du5-_3ti4		2011-08-20	그렇다 로맨스 좋아하다 편이 편 아니다 공주 남자 남다 넘 재미 내용 그렇다 제 제대 보다 않다 내용 아련 내 울다 싶다 하다 쉼팜
kbs2_princess	s8411230	POST	pym0el6-yy97r		2011-08-18	야근 이란 여인 향기 가 가다 재방송 되다 tagexclamation 아 공주 남자 남다 가 가다 재방송 되다 tagexclamation
kbs2_princess	ghdudrnfu	POST	pym0fz7-t88k		2011-08-20	공주 남자 남다 정말 잘봤어요 tagexclamation 언니 멋지다 tagexclamation
kbs2_princess	ilsaing79	POST	pym0hmf-_pevq		2011-08-19	공주의남자 회 전회 달달 달달한 승유 승유를 싸악 잊게 잊게하 잊게하는 시후랑 시후랑의 연기 와우 tagsmile 올해 kbs 연기대상 기대 되다 tagsmile 공남승유 화이팅 tagexclamation
kbs2_princess	leeger92	POST	pym0htf-pvzg		2011-08-18	코에오 코로시테 나이타 츠나이타 테노 아 아이 츠메타 츠메타이 나미 나미다 츠타우 아빠 오기 오다 전 무백 재방 재방이 찾아봐야징 진주네 엄마 인이 짐작 하다 하 있다 진짤줄 진짤줄은 몰라써 tagsmile 근데 오늘 엄마 늦다 오다 공주의남자 봐야겠다
kbs2_princess	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남다 보스 지키다 넌 널다 내다 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많다 그것 시쯤 나오다 제일루 tagexclamation
kbs2_princess	didrb1028	POST	pym0inu-yuutd		2011-08-20	광개토대왕 목소리 크다 계백 똥폼 다잡다 백동수 백동수는 시끄럽다 공주 남다 남자 지지다 궁상 다떨고 근데 재밋네잉 tagsmile
kbs2_princess	love-1	POST	pym0iob-5kuih		2011-08-19	공주 남자 남다 박시후 독기 살기 살다 배신감 복수심 극 달 승유 승유의 선택은tagquestion 재경일보 뉴스스크랩
kbs2_princess	gkrry2011	POST	pym0irb-5ewmg		2011-08-18	공주 남자 남다
kbs2_princess	theend1123	POST	pym0jlk-co_d		2011-08-19	공주의남자 박시후 원수 딸 따다 문채원 목졸라 본격 로미오 로미오와 줄리엣
kbs2_princess	bluemint	POST	pym0k2m-bd9p		2011-08-19	아 공주의남자 언제 언제나 내 내다 심금 울리다 울리는구 어뜨카 어뜨카니 김승유 tagcry 점점 비극 치닫고 치닫고있어 그래봤자 결말 해피엔딩tagquestion
kbs2_princess	mcw1113	POST	pym0kcy-_w1f9		2011-08-18	문채원 목 칼 들어오다 눈 누다 부릅뜨다 독기 열연 공 점입가경 mydaily 문채원 세령 공주의남자 세령 세령아 tagcry
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	앜 넌내반 넌내반이 끝나다 끝나다 tagcry 어제 완존 헤어지다 줄 주다 알다 깜놀 아 슬프다 난 나다 날다 이제 멀 보고 보다 보 살지tagquestion 공주 남자 재밌 재밌나 보스 지켜라 지켜라가 재밌나tagquestion
kbs2_princess	yeana30	POST	pym0mcv-500fo		2011-08-19	보스 지키다 화 호다 공주 남자 남다 화 호다 넌 널다 내다 반 마직막회 수목드라마 무료 다시보기
kbs2_princess	lenpod	POST	pym0me0-_hsa4		2011-08-19	공주 남자 남다 화 호다 포스팅
kbs2_princess	theend1123	POST	pym0pfh-co_d		2011-08-19	공주의남자 박시후 원수 딸 따다 문채원 목졸라 본격 로미오 로미오와 줄리엣
kbs2_princess	chococat000	POST	pym0phg-_hgmp		2011-08-19	나방금 잠안와서 공주의남자 메이킹 봣음 tagsmile 멋져잉 taglove tagsmile 아 시임어케함tagquestion tagexclamation
kbs2_princess	tmdfl4775	POST	pym0qbk-5h2jq		2011-08-19	어제 공주 남자 마지막 박시후 박시후가 여자 목 졸라가지 깜놀 ㄷㄷㄷ 눈 무섭다 목 조르다 조 같다 왠지 놀다 놀라다 tagsmile
kbs2_princess	dpwngud	POST	pym0tbb-5izyq		2011-08-19	시티헌터끝나고뭔낙으로사나햇는데넌내게반했어가눈에들어와서열심히시청했지만어제끝났다능 tagcry 하지만공주의남자도슬슬눈에들어오기시작 tagexclamation 푸하하하하하
kbs2_princess	buks2	POST	pym0u4k-_3cex		2011-08-22	공주의남자 공주의남자
kbs2_princess	god911213	POST	pym0uj2-5yu8h		2011-08-19	한국드라마 공주의남자 해외영화 로미오 줄리엣 공통점 심한반대 집안 싸움 싸우다 이루 슬픔 슬프다 금지 사랑 사 그리다 죽음과이 tagcry tagcry
kbs2_princess	seung2801	POST	pym0ykr-_iyvz		2011-08-18	공주의남자 화 보다
kbs2_princess	dlauddms0203	POST	pym0zd4-yz_m5		2011-08-19	공주의남자 김승유 무서운사람 변 tagcry
kbs2_princess	mcw1113	POST	pym0_m7-_w1f9		2011-08-18	공주 남자 남다 이것 바 사랑 힘 tagquestion 죽다 죽음 각오 세령 천진난만 천진난 벗다 강 tagexclamation 원수 운명 속 유령커플 세령 세령의 고군분투 관심집중 tagexclamation mylovekbs 트위터 mylovekbs 트위터 문채원 공주의남자 세령 공 화 호다
kbs2_princess	simbayah	POST	pym11e8-59p2m		2011-08-19	헐 공주의남자 잼있다길래 회 보다 완전 잼 tagsmile 보스를지켜 잼있구 행복 tagsmile 드라마 보다 재미 찾다
kbs2_princess	oh3966	POST	pym12xv-_kklg		2011-08-20	애정만만세 보고 보다 보 tagcry ㅡㄴ데 이모부 광개토대왕봄 수목은공주의남자보면서 뭔사극만봄 tagsmile 그러면서 월화 월화는 계백도안보고동수도안 명월봄 ㅅㅂ나랑너무엇갈림
kbs2_princess	haqqy_boy	POST	pym13bc-_w5gf		2011-08-22	경혜공주 유령커플 수양대군 김승유 세령 공주 남자 남다 회 다시보기
kbs2_princess	vhkejr602	POST	pym13ee-5yyen		2011-08-19	남자 어쩜 이렇게 다 똑같다 직장 결정 잘 내리다 애정관계 감정 문제 앞 겁쟁이 돌변 tagexclamation 넬레 노이하우스  백설공주 죽다 죽음
kbs2_princess	ojamam	POST	pym13q5-5oz6_		2011-08-19	공주의남자ost백지영 오늘 사랑 백지영 오늘 사랑 듣기 듣다 가사 가다
kbs2_princess	mushroom	POST	pym15pa-ezky		2011-08-22	원문 버섯공주남자 칭찬 무조건 손사래 치다 치 당신 이제 고맙다 tagexclamation 를 외치다 때 우리 버섯 마음씨 참 차다 곱다 맞다 난 나다 날다 참 차다 착하다 예쁘다 한데 하다 성격 웹
kbs2_princess	inhyo94	POST	pym16sc-5h2o_		2011-08-20	나 나다 공주의남자 저거 안보는데 지금 tv 하는거 보다 수양대군 저새킈 저새킈는 배운 배운대 생키네 칼들고 어디 드가 드가고 안잤노 ㅡㅡ 솔직 세종대왕 과실임ㄷㄷ 능력 보다 문종 문종이 아니다 아니 수양대군한테 왕위 주다
kbs2_princess	rlacnstlr071	POST	pym18in-5kacj		2011-08-22	흐엉 tagcry 얼마전 넌내게반헀어 끝나다 tagcry tagsmile 난 나다 날다 해피앤딩 해피앤딩이 좋다 tagsmile 이제 본격적 공주의남자 시청 tagexclamation
kbs2_princess	heesunkim99	POST	pym1a6r-xpt2		2011-08-20	공주의남자완전재밋음 tagexclamation 한국판로미오와줄리엣 진짜인기많음 근데내주변애들은드라마같은거얘기할친구가
kbs2_princess	wonjucho	POST	pym1a81-4		2011-08-20	공주 남자 남다 보다 보 김서라 김서라가 문채원 엄마 나오다 김서 김서라 전 나팔꽃 아침드라마 나오다 출연료 문제 중간 하차 여주인공 바뀌다 아마 이승연 걸 기억 새여주인공 대사 서울 가버린 여주인공 대 놓다 이상 애로 애 만들었드랬지 스파이명월 트랜스포머 나 나다 똑같다 유치
kbs2_princess	dkyoon	POST	pym1ahn-km8		2011-08-20	요새 인기 있다 수목드라마 공주 남자 남다 난 나다 날다 드라마 제목 보고 보다 보 공주 난자 라 라는 영화 제목 떠올랐었다 분명 나오다 같다 fb
kbs2_princess	jundool3535	POST	pym1b1j-yww19		2011-08-22	공주의남자 회중 이성 끈 놓고싶 놓고싶은 승유 승유의 애닳 애닳은 심정 마지막얘기 daum블로그
kbs2_princess	gi2448	POST	pym1b7q-bc5s		2011-08-20	염종 tagsmile 백동수 아빠 죽다 공주 남자 건너가다 tagsmile 역시 염종 염종임 tagsmile
kbs2_princess	with_sulli	POST	pym1dm_-1pzx		2011-08-22	사랑 언니 taglove 바쁘다 와중 공주의남자 만 본방 챙기다 잇다 걱정마셔 tagexclamation 앗참 활 잘보았습니다 카리스마다 짱 tagsmile 영원 대한민국 빛 배우 되주셔 되주셔요 tagexclamation 점차 나아지다 연기력 보다 보 뿌듯해 뿌듯해하 한어린팬 한어린팬입니 한어린팬입니다 tagexclamation
kbs2_princess	tjgus2545	POST	pym1eas-5fjfr		2011-08-22	공주 남자 남다 tagcry 승유 승유와 세령 세령이 세령이는
kbs2_princess	cnsekf	POST	pym1f73-55r32		2011-08-22	kbs 공주 남자 남다 화기애애 촬영 현장 공개 tagexclamation
kbs2_princess	rladuswl6967	POST	pym1fbs-_yxho		2011-08-20	공주의남자
kbs2_princess	kami9727	POST	pym1ft5-5z7xh		2011-08-20	공주 남자 남다 ost part bgm
kbs2_princess	simbayah	POST	pym1hl9-59p2m		2011-08-20	퇴근후 퇴근후에 보기 보다 시작 공주의남자 화 화 논스톱 다 보다 진짜 잼 슬프다 눈물 몇년 몇년만 흘렸나봐 질질짜면서 보다 tagcry
kbs2_princess	osw1210	POST	pym1ht4-neeg		2011-08-20	으으 백설공주 될뻔 아니 아 백설남자 tagquestion 낮에잣는데 요즘 하두일 하두일하 피곤 낮잠잣는데 못일어 못일어나 아 일어나야 한번생각 한번생각하 잠들다 또 생각 잠들다 잠 쏟아졍
kbs2_princess	asd599	POST	pym1jtb-5ak6k		2011-08-20	공주의남자 vs 보스를지켜
kbs2_princess	cns2860	POST	pym1pdk-5atbd		2011-08-20	리와인드 공주 남자 남다 회
kbs2_princess	fka707	POST	pym1pfp-yax3b		2011-08-22	공주의남자조앙 taglove
kbs2_princess	spastar7	POST	pym1urc-5x8tg		2011-08-20	공주의남자 문채원 공주 남자 남다 문채원 연기 호평 tagexclamation
kbs2_princess	heesunkim99	POST	pym1ush-xpt2		2011-08-20	아너무귀엽다 년생이래완전어렼 tagsmile 그리고애들아차두리딸아인 너무컷다 이젠성숙해그리고이사진애기는공주의남자에나오는애기 그렇다고안귀운건아니고옛날에너무기여원서귀여움이덜 그렇다고안귀운건아니고옛날에너무기여원서귀여움이덜해
kbs2_princess	jiruhecom	POST	pym308f-_50e_		2011-08-18	공주의남자 회 월 일 토도우
kbs2_princess	shinee_32	POST	pym3155-5oe9e		2011-08-18	김재중 비즈니스라고tagquestion tagsmile 나도 나다 나 아는데 tagquestion어쩌라고tagquestion tagsmile 수목드라마 kbs 시 공주의남자 본방사수 tagsmile 이르다 이 갈고 갈다 있다
kbs2_princess	joo9675	POST	pym31ea-oxe5		2011-08-18	에잉 너무해 다들 공주 남자 갈아타는거야tagquestion 난 나다 날다 지성느님 볼껀데tagquestion 오늘 지성느님 눈 안들어옴 진짜루
kbs2_princess	larcobaleno	POST	pym3203-5gks9		2011-08-20	공주의남자 박시후 옥 안 절규 문채원 찾아오다 목 조다 조르다
kbs2_princess	skaksqhffo54	POST	pym322_-5hcrl		2011-08-20	홍수현 공주 남자 남다 로 연기데뷔 년 만 날다
kbs2_princess	seinle	POST	pym32bu-eccq		2011-08-18	넌내반 마지막회 마지막회랑 내사랑시후님나오 공주의남자 보다 고민중임 고민중 tagsmile
kbs2_princess	larcobaleno	POST	pym32dv-5gks9		2011-08-20	공주 남자 남다 세령 칼 들이대다 베어달라 피로 피 김승유 참형 막다
kbs2_princess	kmoyj55	POST	pym32hi-y0s5q		2011-08-18	공주의남자 머야tagquestion 어제꺼 분 분이 재방 하다 요기두 누 누가 점적 점적해서 방송 차질 차다 차지다 생긴거tagquestion
kbs2_princess	larcobaleno	POST	pym32ke-5gks9		2011-08-20	공주의남자 재방송 논란 논다 분 동안 같다 내용 시청자 분통
kbs2_princess	skagns6984	POST	pym32zk-yeu97		2011-08-18	공주의남자재미있다
kbs2_princess	fraujoo99	POST	pym3303-_81ij		2011-08-18	공주의남자 회 내벗 내벗이 수양 개가 개 되다 되었구
kbs2_princess	p1004ih	POST	pym3388-_9z9w		2011-08-18	식미투 저녁식사 안성휴게소 직원식당표 탕수육 맛나다잉 tagsmile 히끄므리 히끄므리한 영 거시기해 보 맛 끝내준다tagsmile전 먹었던 탕수육 밀가루 꼬다 이 느끼 듀거 였는데 오늘 고기 고다 비율 비율이 뒤바껴서 환상적 tagsmile 언제 꼬다 좋아하다 tagsmile 아 배부르다 손 소다 솔다 닦다 마무리tagsmile오늘 공주 남자 남다 보다 되다 나 시후님 애랑애 애랑애랑 tagsmile 드라마 빠지다 자 자다 알 하다 tagsmile 나 애정하 애정하는 미ᆞ친님들두 맛나다 맛 저녁드시 굿밤 이요tagsmile
kbs2_princess	sajavi	POST	pym3432-y0swx		2011-08-18	kbs 공주 남자 남다 망나니 추천직업 못돼겟네 ㅡㅡ
kbs2_princess	ki7025	POST	pym346r-_i8x8		2011-08-18	공주 남자중 다부지다 공주 세령 의 모습
kbs2_princess	jisiklog	POST	pym34fq-_rcxy		2011-08-18	수양대군에게딸이있나요tagquestion 수양대군
kbs2_princess	sajavi	POST	pym34gy-y0swx		2011-08-18	kbs 공주 남자 남다 칼 좀 조다 무거워 보
kbs2_princess	sch8736	POST	pym3524-5hl69		2011-08-18	공주의남자 다시보기공주의 다시보기공주 남자 남다 회 다시보기 토렌트다운 내용보기
kbs2_princess	mari3355	POST	pym35cq-_ouxj		2011-08-18	공주 남자 남다 핸드폰 배경
kbs2_princess	larcobaleno	POST	pym37am-5gks9		2011-08-20	공주 남자 남다 목숨 건지다 박시후 세령 목 조르다 분노
kbs2_princess	jisiklog	POST	pym37j_-_rcxy		2011-08-18	오늘공주의남자무슨내용tagquestion 공주의남자
kbs2_princess	jisiklog	POST	pym37o6-_rcxy		2011-08-18	이소라다이어트중허벅지운동은하루에몇세트하면허벅지가빠져요tagquestion글고공주의남자몇부작tagquestion 공주의남자
kbs2_princess	larcobaleno	POST	pym37uu-5gks9		2011-08-20	공주 남자 남다 노태엽 수양 굳건하다 군주 로 대적
kbs2_princess	jisiklog	POST	pym37w6-_rcxy		2011-08-18	보스를지켜라공주의남자시청률 공주의남자
kbs2_princess	jisiklog	POST	pym37wv-_rcxy		2011-08-18	월 일 보스를지켜 공주의남자시청률 공주의남자
kbs2_princess	sooojjn0507	POST	pym3800-_ak7_		2011-08-20	공주 남자 남다 재밋나요tagquestion 지금보고 오늘처음봐 tagsmile 친구될분 tagquestion
kbs2_princess	zmfflr010	POST	pym38a5-5deks		2011-08-18	난미투해줄줄알고기다렸는데 tagcry 여튼난공주의남자와여인의향기를보는데tagquestion왠지넌보스볼것같애 tagsmile
kbs2_princess	chws1658	POST	pym38jp-ywnue		2011-08-18	스밤 공주 남자 남다 드디어 박시후 박시후가 tagcry 문채원 문채원의 정체 알아버렸다 tagexclamation 문채원 문채원이 자다 자기 위하다 목숨 바치다 수양대군 반항 하다 것 알아야 알아야할텐데 배신 품다 ㄴ어쩌지tagquestion
kbs2_princess	love_z13	POST	pym3a55-5ddo8		2011-08-18	보스를지켜라vs공주의남자 뭐보지 tagsmile tagcry
kbs2_princess	kim1081501	POST	pym3a5s-2prs		2011-08-18	공주 남자 남다 ost part 아진짜 공 좋다 네이버뮤직 공주 남자 남다 ost part
kbs2_princess	ohinjeang	POST	pym3ac3-y5p4s		2011-08-18	공주 남자 남다 회 김종서 생사 알다 상황 바뀔것 기대 경혜공주
kbs2_princess	ohinjeang	POST	pym3a_y-y5p4s		2011-08-18	공주 남자 남다 회 자신 반기 드 드는 모두 죽이다 수양대군
kbs2_princess	laily1999	POST	pym3baw-yblc8		2011-08-18	공주의남자 본방사슈우 tagexclamation
kbs2_princess	tmddus0713	POST	pym3bw2-hu61		2011-08-18	오늘 경희궁 공주 남자 남다 촬영 봣다능 tagsmile 홍수현님 경혜공주역 이랑 이 이민우님 부마역 이랑 이 단종 수양대군 그리다 나머지 낯 좀 조다 익다 배우분 봣다 tagexclamation 특 홍수현님 이민우님 굉장 가까이서 봣는데 진짜 이쁘다 멋지다 암튼 기분좋앗따 tagexclamation taglove 공주 남자 남다 경희궁
kbs2_princess	nutrilite_sw	POST	pym3cco-5g09y		2011-08-18	공주 남자 남다 회 다시보기
kbs2_princess	tina0327	POST	pym3d5e-rij7		2011-08-17	아짜증 tagcry 공주의남자 못봣으 tagcry 망할영어학원
kbs2_princess	dmstjs5179	POST	pym3dar-_9owr		2011-08-19	공주 남자 남다 재미있는뎀 me book 공주 남자 남다
kbs2_princess	dasoni_	POST	pym3hf9-2gwt		2011-08-18	아무리 생각 요즘 수목 드라마 강세 tagexclamation 지성 마성 마성에 빠져들다 넌 널다 내다 반 tagexclamation 공주 남자 남다 tagexclamation 보스 지키다 tagexclamation
kbs2_princess	mcw1113	POST	pym3i99-_w1f9		2011-08-18	공 문채원 회 거듭할수록 안정 연기력 선보이다 호평 문채원 공주의남자 세령 논란은누가만들었나ㅉㅉ 문배우잘하고있어요화이팅 tagexclamation
kbs2_princess	yoohwan2000	POST	pym3j5s-5xw5m		2011-08-20	공주 남자시청중 잽나당 tagsmile
kbs2_princess	janet1799	POST	pym3jm6-__fwr		2011-08-18	아ㅆㅂ오늘또넌내반못봣음엄마땜 tagcry 공주의남자ㅂㅅ존나빡쳐양보해서공주의남자봣는데존나잔인함ㅆㅂ그딴거어떻게봄 tagquestion오늘죽이는거밖에업써 tagcry ㅂㅅ그미친놈이사람다죽임용화오빠못본지 주째tagquestion아ㅆㅂ개빡치네 공주의남자저주 tagexclamation 잔인한거바케 tagexclamation 씨바
kbs2_princess	nana6850	POST	pym3jyj-_q4nn		2011-08-18	공주의남자 화 호다 공주의남자 화 호다 문채원정체들통
kbs2_princess	bsj9336	POST	pym3kpa-_he8h		2011-08-21	공주 남자ost 박정민 그립다 듣다 중 나 취미 음악감상 음악 듣기 듣다 조다 내 내다 마음 안정 주는tagsmile음악 있다 오늘 행복하다tagsmile
kbs2_princess	itoss	POST	pym3kya-q177		2011-08-18	공주의남자 회 회예 회예고
kbs2_princess	sajavi	POST	pym3lqw-y0swx		2011-08-18	kbs 공주 남자 남다 밉다 또 죽이다 없으시겟네 tagcry
kbs2_princess	sajavi	POST	pym3lrv-y0swx		2011-08-18	kbs 공주 남자 남다 권력 좋다 좋다
kbs2_princess	hyein5341	POST	pym3lx6-beyt		2011-08-18	공주의남자 개슬픈데tagquestion tagcry
kbs2_princess	sajavi	POST	pym3l_b-y0swx		2011-08-18	kbs 공주 남자 남다 유배가면 좀 사약 배달옴 배달옴요
kbs2_princess	asd599	POST	pym3mb5-y76r8		2011-08-21	난 나다 날다 공주 남자 남다 tagsmile 보스 지키다 한번 못봤어 tagsmile tagsmile
kbs2_princess	mcw1113	POST	pym3mnv-_w1f9		2011-08-18	알다 tv 브리핑 공주 남자 남다 비극 위해 위하다 달리다 달리 드라마 문채원 공주의남자 세령공주 핏빛시작달콤상콤안녕 알다
kbs2_princess	nvqa_1tc007	POST	pym3mps-5qu9h		2011-08-18	gggg me book 공주 남자 남다
kbs2_princess	jisiklog	POST	pym3n08-_rcxy		2011-08-18	수양대군이왕위에올라세조가되나요tagquestion 수양대군
kbs2_princess	ssdamsunharu	POST	pym3n5v-5gsae		2011-08-18	공주의남자 보고 갑툭심 갑툭심해 아이러브 문채원데스네
kbs2_princess	jisiklog	POST	pym3ned-_rcxy		2011-08-18	공주의남자시청률알려주세 수양대군은왕이되나요tagquestion 수양대군
kbs2_princess	jisiklog	POST	pym3nen-_rcxy		2011-08-18	공주의남자실화인가요tagquestion 실화 수양대군 왕이되나요tagquestion둘은이루어지나요tagquestion 수양대군
kbs2_princess	kmoyj55	POST	pym3nf3-y0s5q		2011-08-18	공주 남자 남다 오늘 먼미tagquestion 어제꺼 분 회상신두 열다 많다 짜증
kbs2_princess	jisiklog	POST	pym3nq3-_rcxy		2011-08-18	kbs공주의남자 나오다 수양대군 아내 나오다 여자 이름뭔가요tagquestion 김서tagquestion 김서tagquestion같은데 수양대군
kbs2_princess	big1ekffoal	POST	pym3o79-ye6se		2011-08-18	어제 공주의남자 호다 드뎌 피튀기 피튀기는 로맨스 로맨스가 시작된걸까 닉네 닉네임
kbs2_princess	lcl3547	POST	pym3qbw-_g0c6		2011-08-21	공주의남자 움짤 캡쳐
kbs2_princess	maulp	POST	pym3rss-57qg1		2011-08-18	공주의남자 를 보다 참 차다 신기했던게 두번째 두번째로 김승유 김승유는 왜 외다 이렇게 안 알다 죽다 것 tagquestion 칼 세번 세번이 맞다 번다 걸어다니다 승유 승유는 정체 무엇 ㅅ 화 호다 예고 보다 처형 장면 있다 끝 멈추다 하다 하 말다 말 들리다 또 살아남다 듯 첫번째 첫번째로 궁금 건 거다 걸다 세령 세령이 세령이는 왜 외다 이렇게 이쁜걸까tagquestion
