program_id, author_id, type, post_id, comment_id, publish_date, terms
kbs2_happysunday_1bak2il,greenp72,POST,pym00hb-_wulw,,2011-09-20,뉴스 악 안되다 1박2 일 종영이라고라고 아으 승기오빠 가는거 가는거야 네이버블로그 Ihaveapinkdream핑크빛물든아로아 
kbs2_happysunday_1bak2il,korean2070,POST,pym035a-5hmwi,,2011-41-20,1박2 일 결국 종영 나PD 시즌2 가능성 열려 열려있다 네이버블로그 내인생의향기 
kbs2_happysunday_1bak2il,tnwhlovejw,POST,pym03fg-q4er,,2011-01-21,20110820 20110821,1박2 일 밀양여행 고고싱 2탄 네이버블로그 좌충우돌인생 
kbs2_happysunday_1bak2il,2000dmswl,POST,pym0539-_q8bc,,2011-32-20,에흑 .1박2 일 종영이닷 ㅠㅅㅠ 올것 올것이 오다 이제 뭘 봐야 봐야하지 
kbs2_happysunday_1bak2il,aldnguexwuhk,POST,pym053o-g9i2,,2011-03-21,헐 시경 님 진정 웬일 오늘 1박2 일 완전 놀랐삼 ㅋㅋ 근데 재밌더 재밌더라 감다 감 나쁘다 않다 듯 성시경 성시경의 최근 노래 내 좀 조다 별 안 알다 좋아하다 사지 사다 않다 있다 관심 가다 이것 1박2 일 효과 ㅋㅋ 그치 그치만 종영 
kbs2_happysunday_1bak2il,nanhang81,POST,pym053_-5mjyz,,2011-32-20,1박2 일 6개월뒤 종영이네 우째 이런일 ㅠㅜ 간판 예능 좀 조다 많다 아쉽네 아쉽네여 4년 우리 웃다 웃음 주고갑자기 떠나다 것 미다 알려주는게좋은거 같다 ㅠㅜ 보다 맘 아려오겠네 아려오겠네여 ㅠㅜ 모두 유종 미 보여주다 1박 멤버 언제 언제나 응원 사랑 me2mobile 
kbs2_happysunday_1bak2il,tmdfl4907,POST,pym082a-plx5,,2011-22-21,나 나다 위로하쥐뫄 지다 왈 ㅋㅋㅋ 빅뱅 1박2 일 때 ㅋㅋㅋㅋㅋㅋ 
kbs2_happysunday_1bak2il,guevara99,POST,pym0d02-1et9,,2011-32-21,요즘 뭐 보다 성시경 성시경이 알다 보다 막걸리 같다 타입 타입이 그걸 알아보다 강호동의 얘기 사실 이미 다 알려지다 이미지 아니다 성시경 성시경이 럭셔리 이미지 벗어나다 벗어 대체 언제 적 이야기냐 강호동의 호들갑 보기 보다 힘들다 이유 1박 2 2일 
kbs2_happysunday_1bak2il,larcobaleno,POST,pym0dsm-5gks9,,2011-08-20,나영석PD 1박2 일 시즌2 가능성 언급 멤버 그대 화제 네이버블로그 라 르꼬발레노 L'arcobaleno 
kbs2_happysunday_1bak2il,skyt704,POST,pym0dxh-_p42p,,2011-44-21,1박2 일6 개월후 전원하차 me2mobile 
kbs2_happysunday_1bak2il,tnwhlovejw,POST,pym0d_z-q4er,,2011-29-21,20110820 20110821,1박2 일 밀양여행 고고싱 네이버블로그 좌충우돌인생 
kbs2_happysunday_1bak2il,kihawo0911,POST,pym0erk-545bs,,2011-25-21,비진도 갔다오다 피곤 ㅋㅋ 비진도 1박2 일로 일 갔다오다 동양 나폴리라불릴 나폴리라불릴만하더군 나폴리라불릴만하더군요 ㅎㅎ 산 비진도 모습 me2mobile me2video 
kbs2_happysunday_1bak2il,vg0825,POST,pym0gjf-56ht_,,2011-29-22,1박2 일 박찬호 귀요미 두 딸 따다 미모 아내 전격 공개 네이버블로그 달옹 
kbs2_happysunday_1bak2il,qhalsz123,POST,pym0gxs-1dv0,,2011-00-19,엄마 요즘 핸드폰를 주제 이야기 많다 하신다 바꿔줄것도 아니다 1년 후 아주 좋다 스마트폰 스마트폰을 사다 사고 말다 1박2 일로 일 놀러가다 같다 간 가다 갈다 사람 있다 같다 간 가다 갈다 사람 자식 다 스마트폰 스마트폰인데 울 울다 가족 아빠 뺴 뺴고 스마트폰 스마트폰이 아니다 아니 완전 좌절했츰 
kbs2_happysunday_1bak2il,tatalina,POST,pym0hcp-_e0am,,2011-20-22,과외끝 과외끝나 1박2 일 받다 보고 박찬호 박찬호가 쓰다 쓸다 명언 행복 노력순 노력순이 으미 찔리다 ㅜㅜ 빨리끄 빨리끄고 자서 자다 내일아침 노력 
kbs2_happysunday_1bak2il,istore00,POST,pym0het-54328,,2011-12-22,1박2 일 1박2 일 박찬호 재회 네이버블로그 워메이징한여자 
kbs2_happysunday_1bak2il,dsh113,POST,pym0i1j-5ab2w,,2011-11-22,1박2 일 박찬호재회 이승기 이수근 일본 오사카 방문 네이버블로그 다이어트코치 허벌콕 
kbs2_happysunday_1bak2il,commiwon,POST,pym0il8-8tj2,,2011-44-20,강호동 이승기 1박2 일 6개월 시한부 잔류 네이버블로그 이승기팬블로그슈루루카놀이터 
kbs2_happysunday_1bak2il,naver_news,POST,pym0iwf-bj_k,,2011-36-19,연예 1박2 일 과 고다 달다 다르다 강호동 무릎팍도사 남다 네이버 뉴스 news 한국일보 강호동 무릎팍 잔류 
kbs2_happysunday_1bak2il,kjy5397,POST,pym0iye-_fgje,,2011-08-22,원문 Tistory 강호동 테마주 강호동 수혜주 제이콘텐트리 1박2 일 이끌다 있다 강호동씨 1박2 일 하차 하다 소식 방송가 물론 팬 패다 들 충격 주다 그리다 결국 1박 2 2일 웹 
kbs2_happysunday_1bak2il,kongsuni3451,POST,pym0jce-_9t_s,,2011-42-20,1박2 일 종영 1박2 일 결국 엔딩 속사정 들어보다 네이버블로그 콩순 콩순이 
kbs2_happysunday_1bak2il,suna7403-big,POST,pym0jme-56h8x,,2011-41-20,1박 2일 2일이 폐지라 폐지라니 ㅠㅠ 일요일 일요 예능 누 누가 책임지냔말 시즌2 때 오늘내일어떤가욬 ㅋㅋㅋㅋ 
kbs2_happysunday_1bak2il,inrain84,POST,pym0k1s-yt8dk,,2011-27-20,1박2 일 여기다 여기 조개캐기 쏠쏠 장봉 장봉도 me2mobile me2photo 
kbs2_happysunday_1bak2il,sksks88,POST,pym0np1-50k5v,,2011-57-22,1박2 일 친구 주문진 여행 올 친구 잼 놀아썽 ㅋ me2mobile me2photo 
kbs2_happysunday_1bak2il,ihiba,POST,pym0nuv-_84li,,2011-12-22,1박2 일폭포특집 청송1 등맛집 주왕산 서울여관식당 토종닭백숙전문점 네이버블로그 청송맛집 서울여관식당 
kbs2_happysunday_1bak2il,picachoo11,POST,pym0ptz-5oqnl,,2011-58-20,1박2 일 전원하차 6개월 후 종영 소식 네티즌 재미있었어요 네이버뉴스 엑스포츠뉴스 
kbs2_happysunday_1bak2il,bomul7201,POST,pym0qa6-y795l,,2011-00-22,110819 부모님 1박2 일 네이버블로그 보물임다 
kbs2_happysunday_1bak2il,nabislife,POST,pym0r95-ldkz,,2011-16-18,그러고보 나 나다 이번 Gstar 때 1박 2일 2일로 부산 가다 금요일 학교 끝나다 가다 그리다 토요일 토요 저녁 먹고 느긋하다 9시 버스 타고 타다 타 올거에 올거에요 아니다 10시 버스 
kbs2_happysunday_1bak2il,crag13,POST,pym0su_-_14el,,2011-53-22,캐비 캐비와 에버랜드 1박2 일 다녀왓어 다녀왓어요 돈 많다 깨졋지 깨졋지만 잼잇어 잼잇어요 아싸루비아 me2mobile me2photo 
kbs2_happysunday_1bak2il,sanghi09,POST,pym0tmt-5eli4,,2011-04-20,1박 2 2일 시즌2 1박 2 2일 시즌2 가능성 가능성있 네이버블로그 보리가사는세 
kbs2_happysunday_1bak2il,jeasoup,POST,pym0uf9-1p4j,,2011-17-22,1박2 일 전현무 난 나다 날다 아줌마 뽀로 뽀로로 망언 오세훈 주민투표 착한거부 네이버블로그 청학산방이야기 
kbs2_happysunday_1bak2il,xlzjrhdwn,POST,pym0vyt-sqsn,,2011-20-22,1박 2 2일 시청자투어 다시보기 1박2 일 시청자투어 대비캠프 객원 MC 백지영 전현무 성시경 달인 달이다 달 김병 김병만 네이버블로그 호야네의행복한하루 
kbs2_happysunday_1bak2il,caboom911,POST,pym0wnm-5xcck,,2011-41-20,1박 2 2일 전격폐지 6개월 후 멤버 전원 동반하차 결정 http j.mp nZVvkQ 아름답다 마무리 기원 
kbs2_happysunday_1bak2il,87469217,POST,pym0y6n-_wu5g,,2011-47-21,수옥폭포 다녀와서 다녀와서요 ㅋㅋ 1박2 일때문 일때문에 가다 가늘다 사람 있다 볼것 별 없다 ㅠㅠㅠ 근데 주차장 몇분걸어들어가면 바 있다 ㅋㅋㅋㅋㅋㅋ 수옥폭포 me2mobile 
kbs2_happysunday_1bak2il,waber,POST,pym0ykc-u832,,2011-15-20,회사 식구 엠티 엠티를 다녀오다 올 오다 여름 빠듯 놀러가다 못하다 이번 1박2 일 처음 마지막 다녀오다 여름휴가 악착 놀다 덕분 지금 엄청 피곤하답니 하다 하지 엄청 재밌었어요 노곤노곤 ㅠ ㅠ 
kbs2_happysunday_1bak2il,warp,POST,pym0yoc-z36u,,2011-20-18,소셜커머스 쿠팡 쿠팡에 파주 1박2 일 병영 체험캠프 딜 딜이 뜨다 이 딜 딜의 포인트 1 1인 무제한 구매 가능 
kbs2_happysunday_1bak2il,dldlswjd2,POST,pym0yq7-y0m45,,2011-24-20,아 1박2 일 끝나다 난뭘봐야 난뭘봐야해 본방 본방은 잘못봐 잘못봐도 1박2 일 보는재미 사다 아직 결정난건 없다 쭉가죠 1박2 일 하면안 하면안되 하면안되요 종영 
kbs2_happysunday_1bak2il,ghksrm11,POST,pym0_9g-_tmu1,,2011-19-21,올 오다 한해 한하다 국민 패떴 1박2 일 을 TV 케이블 인터넷 통하다 무한 반복시청 하다 하 원더걸스 원더걸스의 노바디 를 입다 입 닳다 흥얼거리다 노래방 이문세 좋아하다 3040세대 빅뱅 빅뱅의 붉다 노을 로 1020세대 입다 입 맞추다 
kbs2_happysunday_1bak2il,sweeething,POST,pym0_ce-5u8nu,,2011-23-21,1박2 일 속초여행 네이버블로그 communicate 
kbs2_happysunday_1bak2il,rlacoghks9,POST,pym0_tt-5vkbo,,2011-58-20,1박 2 2일 폐지 하차 의사 강호동 배신자 몰다 말다 Munhwalibo News 
kbs2_happysunday_1bak2il,hahasm84,POST,pym1011-ywrte,,2011-08-22,경남출발 워터파크여행 마산 창원 김해 매일출발 캐리비안베 캐리비안베이 에버랜드1 박2 일패키지여행 네이버블로그 이야기가있는여행 하하투어 
kbs2_happysunday_1bak2il,loanbay,POST,pym106a-yrp_n,,2011-05-22,1박2 일 이승기 이수근 이수근과 박찬호 박찬호의 짧다 감동적 만남 만나다 네이버블로그 론베이LoanBay 
kbs2_happysunday_1bak2il,tkdcjf7777,POST,pym10ci-szte,,2011-27-20,아 결국 1박2 일 종영결정 종영결정인가 ㅠ 쪕 ㅠ 
kbs2_happysunday_1bak2il,babynews2010,POST,pym10jb-_58o3,,2011-09-22,베이비뉴스 아기 함 하다 하 행복 여행 1박2 일 여행 때 짐 이민 가다 가늘다 가 사람 사다 수준 네이버블로그 대한민국최초육아신문베이비뉴스 
kbs2_happysunday_1bak2il,tldms52,POST,pym10ls-ybra6,,2011-06-19,1박2 일종영 일종영인가 ㅠ 하아 하아하아 ㅡ 일요일은뭐 ㅡ 이야이야오 개학이다가온다뚜벅뚜벅 
kbs2_happysunday_1bak2il,llovoall,POST,pym11u3-_5spb,,2011-21-20,나영석 피다 1박2 일 폐지 시즌 2 가능성 네이버블로그 이지성양딜러블로그 
kbs2_happysunday_1bak2il,scretlife,POST,pym123b-ykirg,,2011-20-20,1박2 일 폐지 되다 웃는이유중 하나 사라지다 되다 
kbs2_happysunday_1bak2il,lorly1108,POST,pym124s-5g3eb,,2011-39-20,ㅠㅠ 내사 1박2 일 1박2 일 끝난데 끝난데요 으아아아아아 안되다 ㅠㅠ 이르다 이 어쩌다 좋다 ㅠㅠ 
