program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_challenge	mynamegk	POST	pym00dg-_3ebp		2011-08-18	지 솔로 솔 대체 언제나옴 ㅠㅠㅠㅠ 빨 나오 좋 저번 무도 박명수 거절 노랗 노래 있길바래 me2mobile 
mbc_challenge	gowls791004	POST	pym01p9-_akvt		2011-08-20	무도 무 오늘 장난 장 아니 재미 ㅋㅋㅋ 박명수 정준 정준하 불장난춤 봐도봐 봐도봐도 웃 웃기 웃기 못생긴팀 얼굴 힘을보여줘 무한도전 불장난춤 me2mobile me2photo 
mbc_challenge	pbr8293	POST	pym01x2-ywa5q		2011-08-18	무한도전 사랑하는나 네이트 베플 먹었는데 어떤사람 내이름가지 썰렁 개그 ㅋㅋㅋㅋㅋ 창밖을보라 창밖을보라를 줄이 박보라래 
mbc_challenge	buks2	POST	pym022l-_3cex		2011-08-22	무한도전 무한도전 네이버블로그 부업으로적당히용돈버는블로그 
mbc_challenge	heoniel	POST	pym031f-yt4ol		2011-08-19	간 간만 배꼽 잡 ㅋㅋ 지난주 무한도전 보 박수 치 치 MC유 테마송 쪼아송 나올때 나올때는 같 춤 추 ㅋ 내 내 웃음코드 이거 였 ㅎㅎ 하여 웃 버리 쇼프 쇼프로 봐주 할 하 듯 하 we no speak americano We no speak americano americano는 지난주 방송 아니 검색 보 보 재미 있어서리 ㅋㅋ me2photo 
mbc_challenge	pllin	POST	pym035j-5ns50		2011-08-21	무한도전 싸 싸 닮은꼴 오마이갓 정말 구하 군 수고 ㅎ 닮은꼴 찾 무한도전닮은꼴 
mbc_challenge	elfthsjpp	POST	pym03ux-_q7e7		2011-08-21	แอร๊กกกกกก แม่ลูกฉลองวันเกิด คิมฮีและคิมคิ กูจะร้องไห้ คิดถึงเมิงมากมายบอมมี่ 무한도전닮은꼴 me2photo 
mbc_challenge	olivajy	POST	pym0427-yta_h		2011-08-21	무한도전 싸 싸 닮은꼴 ㅎㅎㅎㅎ 싸 싸 닮은꼴 닮은꼴이 ㅎㅎ 잼있겠근 잼있겠근여 무한도전닮은꼴 
mbc_challenge	tlsqjadn	POST	pym04af-yg4rf		2011-08-19	무한도전 보는중 재방송 ㅋ 51번 ㅋ me2mobile 
mbc_challenge	bluederry	POST	pym04vl-5b8ws		2011-08-21	무한도전 싸 싸 닮은꼴 찾 진짜하는거 네이버블로그 블루데리의블데월드 
mbc_challenge	dldbwjddd	POST	pym06fc-gosr		2011-08-21	해골바가지입니당 ㅇㅇ 일명 무한도전 해골입니당 무도 무 싸랑해 싸랑해여 me2mobile me2photo 
mbc_challenge	khw242	POST	pym077f-_aix2		2011-08-22	내 싸이보단 좀더 잘생겼다구 생각 ㅋㅋㅋㅋㅋㅋㅋㅋ 전혀 닮 않 근데 주위 닮앗대 OTL ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 무한도전닮은꼴 me2photo 
mbc_challenge	01067113257	POST	pym07e4-cpq6		2011-08-21	무한도전 싸 싸 닮은꼴 뭐 싸이닮은꼴 싸이닮은꼴만 찾는건가 무한도전닮은꼴 
mbc_challenge	a2722742	POST	pym07hb-55zj1		2011-08-21	무한도전 싸 싸 닮은꼴 무한도전닮은꼴 
mbc_challenge	ljh990909	POST	pym08dx-yhj6i		2011-08-20	무한도전 싸 싸 닮은꼴 ㅋㅋㅋㅋ 찾 무한도전닮은꼴 me2photo 
mbc_challenge	tablo130	POST	pym08l8-_aj08		2011-08-20	타이틀곡 따라 따라해 정말 좋았는뎅 ㅎㅎ 무한도전닮은꼴 me2music e 6집 e 
mbc_challenge	tjsal131a	POST	pym08vf-c_96		2011-08-20	무한도전 싸 싸 닮은꼴 우리동네 찾아보 많을듯 ㅋ 무한도전닮은꼴 
mbc_challenge	cyverkiss	POST	pym090n-y24xn		2011-08-20	무도 무 박명수 정준 정준하 지옥 불장난 불장 댄스 스튜디오 초토화 네이버블로그 코코땡과의인연은소중하답니 
mbc_challenge	wkdehdgus03	POST	pym09fa-_0vv7		2011-08-20	무한도전 ㅋㅋㅋㅋㅋ 보는사람 ㅋㅋ 
mbc_challenge	kgj1	POST	pym09l9-7hg		2011-08-20	이거 유치 왜케 웃기 ㅋㅋ 난 나 날 무한도전 왕팬 me2mobile me2photo 
mbc_challenge	wlsgk2413	POST	pym09mk-_igc6		2011-08-20	지금 무한도전 보 
mbc_challenge	dmsgo97	POST	pym09oz-_g6hk		2011-08-20	왕게 왕게임 완전늦엌다 무한도전보느 ㅜㅜㅠㅠ 아 배븧러죽겠네 me2mobile 
mbc_challenge	qsc8765	POST	pym09zy-yqeni		2011-08-20	무한도전 네이버블로그 흰밀크블로그 
mbc_challenge	cci0325	POST	pym0a8z-_1a17		2011-08-20	무한도전 싸 싸 닮은꼴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무한도전닮은꼴 me2photo 
mbc_challenge	als6wl	POST	pym0aj0-5xk_4		2011-08-20	mbc무한도전 에서 싸 싸 닮은꼴 닮은꼴을 찾 
mbc_challenge	colajoa0	POST	pym0b18-yi53z		2011-08-20	찰옥수수 먹으면서 무한도져언 본방사수 쫌따 밥 흡입해줄꺼 캬캬 찰옥수수 무한도전본방사수 me2mobile me2photo 
mbc_challenge	qsx319	POST	pym0bew-x_h6		2011-08-20	무한도전 보 삶 삶 윤탁해진다네 젊은이 허허허 me2mobile 
mbc_challenge	intro316	POST	pym0bsc-aw_e		2011-08-20	무한도전 소녀시대 맴버 이름 이르 10초 안 말 하 휴 나도 나 나 맴버이름 다 모르겠당 ㅋㅋㅋㅋ me2mobile 
