program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_fallinlove	wlsgk2413	POST	pym000w-_igc6		2011-08-20	ㅇ me2music 넌 널 내 반 OST 2 넌 널 내 반 OST Special 
mbc_fallinlove	wlsgk2413	POST	pym003v-_igc6		2011-08-20	ㅇ me2music 넌 널 내 반 OST Part 4 
mbc_fallinlove	wlsgk2413	POST	pym00e_-_igc6		2011-08-20	ㅇ me2music 넌 널 내 반 OST Part 3 
mbc_fallinlove	tldus9641	POST	pym02ky-5l13_		2011-08-18	4444 이신 이신이 이규원 넘어지는거 받치 ㅋㅋ 손목 다치 그것 모르 걍 기타 치 ㅋㅋㅋ 이규원한테 피해 피하 주기 주 싫 ㅋ 
mbc_fallinlove	2656chlwjddm	POST	pym02pk-5pxaw		2011-08-19	으 허엉 드디어 드디어 넌내게반했어가 끝나 ㅠㅠ 저 이제 어떻 사 ㅠㅠ 괝찮아 괝찮아요 어차피 내 봐야 봐야할 드라마 많 있으니까 있으니까요 저 우울증걸린 것 같유 ㅠㅠ 이 드라마 정용화팬 정용화팬인데 그리 어제 박신혜언니 정용화오빠 진 지 짜 멋있어용 
mbc_fallinlove	yelin7578	POST	pym043v-1smz		2011-08-18	30분정도후 넌내게반 마지막방소유 ㅠ 
mbc_fallinlove	yelin7578	POST	pym046j-1smz		2011-08-18	넌내게반했어마지막방송도본 방 사 사 수 합시다넌내반마지막도화이팅 
mbc_fallinlove	dbfls77721	POST	pym046r-y48g		2011-08-19	씨엔블루 정용화 넌 널 내 반 결말 정용화 박신혜 재결합 진심 확인 해피엔딩 네이버블로그 빠율잉 
mbc_fallinlove	goffhthgus	POST	pym04gw-yppqn		2011-08-18	오늘 넌내게반 마지막회 마지막회입니 안보셨던분 꼭보세 꼭보세요 안보면후회해요배우들스탭분 모두 수고 해피엔딩이겟죠 씨엔블루 씨엔블루도 홧팅용 me2mobile me2photo 
mbc_fallinlove	km4082	POST	pym04oy-ya5vk		2011-08-18	ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 어떻 오늘 넌 널 내 반 막방 막방이 나 나 실컷 울 ㅠㅠ 
mbc_fallinlove	jkjk3703	POST	pym04p2-_g02y		2011-08-18	격배 넌내게반 보고내일봐 ㅎ 
mbc_fallinlove	yelin7578	POST	pym04yg-1smz		2011-08-18	넌내게반했어막방 ㅠㅠ 
mbc_fallinlove	ddh06209	POST	pym04_r-ygmcb		2011-08-18	심심 ㅠㅠㅠㅠㅠㅠㅠㅠ 빨 넌내게반했어랑 보스를지켜 봐야 봐야되는데 오늘 넌내게반 막방 막방임 ㅠㅠ 본방사수 
mbc_fallinlove	dornr19	POST	pym0577-5azn8		2011-08-19	오늘넌내게반했어끝 ㅠㅠㅠ 사람들이유치하다고그런걸누가보냐고하지만난그래도뻔한그이야기가재미있었다 ㅋㅋㅋㅋ 정용화의눈물이잊혀지지가않는군 이제보스를지켜 ㅋㅋㅋ 
mbc_fallinlove	grace2465	POST	pym06zd-yxd6y		2011-08-19	ㅠ ㅠ 내사 넌내게 반 가 가 끝나 ㅠ 나이제 뭐 사 
mbc_fallinlove	tjsals526	POST	pym075i-_dhgs		2011-08-18	오늘 넌내게 반 마지막회 마지막회임 
mbc_fallinlove	3120kjh	POST	pym07hg-9i03		2011-08-19	넌내반 정용화 박신혜 Love MV 네이버블로그 진 지 경 보라 보 보 
mbc_fallinlove	cfg452	POST	pym07u8-32l8		2011-08-18	넌내게반 막방 ㅠㅠ 스페셜 16회 하 좋 ㅎㅎㅎㅎ 그동안 시청 감사합니다 문구 뜨 않 ㅠㅠㅠ 
mbc_fallinlove	bona222	POST	pym08bf-_kob2		2011-08-19	여러분 아까탑게 어제 넌내게반했어가 끝이 ㅠㅠ 신이 신이가 손수술 손수술을 하는걸 하는걸을 감치 하 손 소 솔 아픈것 아픈것만 안 알 규원이 규원이가 외국릉 안간다구 해서 하 어제 신 신 정용화 규원 박신혜 가 가 헤어지 규원 외국 가 규원이 규원이가 공연 같이하자고 같이하자 하 거절 하 울 댓글 
mbc_fallinlove	kyuri0322	POST	pym08wo-yxxkt		2011-08-18	오늘 넌내게반 마지막회 ㅠㅠ 
mbc_fallinlove	tjsalsaksla	POST	pym0amb-57se9		2011-08-18	오늘 넌 널 내 반 마지막 회 하 하 날이에 날이에요 
mbc_fallinlove	cho208610	POST	pym0b3a-_gdhg		2011-08-18	오늘 넌내게반 본방사수 있지마세 있지마세요 두둥 
mbc_fallinlove	dnflwla13	POST	pym0cxg-ymej_		2011-08-18	오늘 넌 널 내 반 마지막회 마지막회다 ㅠ ㅠ 제발 세드엔딩 말 해피엔딩 해피엔딩으 끝나 좋 제발 
mbc_fallinlove	ohinjeang	POST	pym0d8g-y5p4s		2011-08-18	넌내반 정용화 박신혜 예측 수 없 둘리커플 마지막 이야기 예고 예 재경일보 뉴스스크랩 
mbc_fallinlove	0203gogo	POST	pym0d9k-yrj65		2011-08-18	ㅠㅠㅠㅠ 넌내게반 최종회끝 ㅜ 
mbc_fallinlove	jena1218	POST	pym0drz-yq4z1		2011-08-18	넌내반 막장기가다분히보이는군 대본하고스토리를좀더늘여서다양한에피소드 자세한상황설명 더불 스토리를좀다듬었다면완성도높고인기가더많은 드라마가됬을텐데 그래도넌내반잘봤어요 이세상의모든이신과이규원 화이팅 그래도넌내반잘봤어욧 me2mobile 
mbc_fallinlove	zaqxsw200	POST	pym0ee9-5e4b5		2011-08-20	넌내게반 OST제목모음 네이버블로그 이것저것잡다구리한삶 
mbc_fallinlove	yna	POST	pym0f8_-z1ou		2011-08-19	연예 MBC 넌 널 내 반 시청률 6.0 로 종영 MBC 수목극 넌 널 내 반 가 가 시청률 6.0 로 막 막 내리 후속 최지우 윤상현 주연 지 지고 못살 가 가 방송 me2photo 
mbc_fallinlove	dudtlf56	POST	pym0fkl-yvk07		2011-08-19	넌 널 내 반 끝나 보스 지키 보 이게 훨신 재밌어 
mbc_fallinlove	indicreep	POST	pym0gyz-uow9		2011-08-20	한드 넌 널 내 반 2011 네이버블로그 Mementomori 
mbc_fallinlove	jya3478	POST	pym0gzv-y9fx0		2011-08-19	실시 급상승 검색창 9위 9위로 넌 널 내 반 결말 오우예 
mbc_fallinlove	kujy	POST	pym0h1o-cm6z		2011-08-18	오늘 밤9 시55 분 넌 널 내 반 최종회 많 기대 기대 바라 둘리커풀 이신 이규원 해피엔딩 해피엔딩으 끝나 제발 이신 이규원 해피엔딩 제발 
mbc_fallinlove	cfg452	POST	pym0ha_-32l8		2011-08-18	넌내게반 제발 해피엔딩 해피엔딩으 끝나 뭐 드라마분위기도그렇고우리랑민혁 감독이랑교수잘됀거보면신혜랑용화사이극복하고해피엔딩으로끝날것 같은나의예감 직감예압 ㅋ 시청률면에서는안타까웠지만달달하고오글거리는드라마 ㅎ 마치미남이시네요시즌2 ㅋㅋ 용화랑신혜랑미남때의못다한사랑을하는듯 
mbc_fallinlove	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남 보스 지키 넌 널 내 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많 그것 10시쯤 나오 제일루 
mbc_fallinlove	love-1	POST	pym0iet-5kuih		2011-08-19	넌 널 내 반 결말 정용화 박신혜 로맨틱 재회 보러가기 맥스무비 맥스뉴스 
mbc_fallinlove	rbf360	POST	pym0iht-2ztv		2011-08-19	15회 우리 이제 그만하 규원 이별통보 하 하 이신 어제 허무 해피엔딩 해피엔딩으 끝나 하 하지 키스 하 것 ㅠㅠ 넌 널 내 반 
mbc_fallinlove	kkyy1411	POST	pym0ii6-5pfpl		2011-08-19	우잉 ㅠ 0 ㅠ 어제 넌내게 반 에서 정용화 정용화랑 박신혜 박신혜랑 키스 어 ㅠㅠ 짜증나삼 정용화 정용화는 서현 서현이 딱 ㅠㅠ 용서부부 화이팅 me2photo 
mbc_fallinlove	jya3478	POST	pym0ij2-y9fx0		2011-08-19	넌 널 내 반 끝났자나나나나나나나나나나나나나나아아아아아아아아악 나 나 넘 슬퍼 슬프 ㅠㅜ 짜잉 짜잉나 3 뿡 넌 널 내 반 내꺼 내꺼임 ㅋㅎㅋㅎ 나 나 꿈 정용화 나왔눈디 ㅎ ㅎ 
mbc_fallinlove	wldus4386	POST	pym0ix9-ri2e		2011-08-19	넌 널 내 반 반 
mbc_fallinlove	dnlalswl0201	POST	pym0jdu-5900u		2011-08-21	드디어방학숙제끝 드디어방학숙제끝내 엠피쓰리 리쓴중 ㅋㅋ 넌 널 내게반 반 허리빠지겠다 ㅠㅠ 
mbc_fallinlove	dus1434	POST	pym0k8d-n_kq		2011-08-21	밥먹는데 넌 널 내 반 노래 나오 꺄핫 근데 나 나 진짜 오타쿠 오타쿠같 오타쿠같아 ㄲㄲ 뇽뇽뇽뇽뇽뇽뇽뇽뇽 me2mobile 
mbc_fallinlove	sujin0506	POST	pym0l42-ifx1		2011-08-19	그동안 넌내게 반했어를 시청 여러분 감사 앞 더욱더 하 하 씨엔블루 강민혁 되 
mbc_fallinlove	yunsoo1231	POST	pym0lhx-5iufd		2011-08-18	넌내반 완전 쵝오 근데 오늘 마지막 회란 거 거 악 슬푸닷 ㅠㅠ 이신 이신하 이규원 연기 짱이었는뎀 ㅠㅠㅠㅠㅠㅠ 넌내반 넌내반이 뭔가 쪼 아쉽 끝난듯 
mbc_fallinlove	tldus9641	POST	pym0lko-5l13_		2011-08-18	HEY 나 나 나간닷 내 보고 보 보 난 나 날 넌내게 반했어를 보 ㅋㅋ 슝 하 하 날라간다 ㅋ 빠빠잉 
mbc_fallinlove	s777_	POST	pym0lze-5yk1k		2011-08-18	으헝 이신 이신하 이규원 이규원하 헤어지 어캐 안대 알 이신기타못치면어캐 안대 알 신 신 으헝헝 ㅜ me2sms 
mbc_fallinlove	smin8739	POST	pym0mlt-yy5e2		2011-08-20	저 지금 이규원 박신혜 이 부르 노래 노랗 따 따르 부르 중임 중 ㅋㅋㅋ 
mbc_fallinlove	emvhs44	POST	pym0mop-6ygg		2011-08-19	넌 널 내 반 me2sms 
mbc_fallinlove	qhqls713	POST	pym0nif-t2hn		2011-08-22	넌 널 내 반 반 me2mobile me2photo 
mbc_fallinlove	nim2992	POST	pym0o1e-5vnr5		2011-08-19	어젯밤 넌 널 내 반 마지막 회 였는데 흥미진짐 했당 개 개 쩔엉 me2mobile me2photo 
mbc_fallinlove	nim2992	POST	pym0oru-5vnr5		2011-08-19	넌 널 내 반 마지막회 하 재미있었다 넌 널 내 반 보신분 손 소 솔 미투 미투하기 댓글두 me2mobile me2photo 
mbc_fallinlove	bluesky8622	POST	pym0pme-_3qp8		2011-08-21	넌 널 내 반 이신 정용화 의 마지막 감사 감 인사 네이버블로그 다시한번제 다시한번제대 
mbc_fallinlove	murch20	POST	pym0q7m-5qn1a		2011-08-18	넌 널 내 반 오늘 마지막 방송 ㅠ ㅠ 이제 뭐 살 ㅠ ㅠ 
mbc_fallinlove	tldus9641	POST	pym0qgq-5l13_		2011-08-18	4444 ㅋㅋㅋ 넌내게반 봐야햇 ㅋㅋㅋ 오늘 마지막회란 말야 ㅋㅋㅋ 
mbc_fallinlove	sky9yeonji	POST	pym0rh6-yfda6		2011-08-18	드라마 영상만화 넌 널 내 반 사고말테 네이버책 넌 널 내 반 1 드라마 영상만화 me2book 
mbc_fallinlove	dnflwla13	POST	pym0s0y-ymej_		2011-08-18	넌 널 내 반 하 시간 얼마 얼 안 알 남 제발 해피엔딩 해피엔딩으 끝나 
mbc_fallinlove	munkeoung01	POST	pym0squ-yl5zh		2011-08-19	제 사진 어떠나 어떠나여 부끄부끄 ㅠ ㅜ 요즘 넌내게반했어를 보 늦 자구 어쩔땐 밤 새 다크써클 다크써클이 줄넘기 하 내려오 있 제발 소원 못생긴거 아니깐 악플달지말 악플달지말아 주세용 O3O 그리궁 이글 이글에 대하 용오빠 신혜언니 민혁오빠 등 여러 스타 분들 분들이 댓글 달 해 감사합니당 장소 저희 친구 집 앞 이에 이에여 저 구질구질한 집 안 알 살아용 
mbc_fallinlove	chewon12	POST	pym0swo-5ogf6		2011-08-19	이신 이신과 이규원 이규원의 19금 19금이 키키키 19키키키키금키키키 
mbc_fallinlove	lyw2680	POST	pym0tbi-ywgvc		2011-08-18	오늘 넌 널 내 내 반 마지막 15회에 15회에요 신오빠 신오빠랑 규원언니 이야기 궁금하실거에 본 보 방 사 사 수 하실거죠 신오빠 신오빠랑 규원언니 헤어지 않 바래 넌 널 내 반 팬 패 분들 분들만 믿 박신혜 me2photo 
mbc_fallinlove	01043225414	POST	pym0tbj-y_fsu		2011-08-20	이건 중증 이신 이신과 정용화 정용화가 구별 안간다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 손목 다치 애가 애 기타 있 수술 좀 조 괜찮 아프 
mbc_fallinlove	tldus9641	POST	pym0u4c-5l13_		2011-08-18	귀욤히꼬꼬냥 마지막 회 예고편 보 이신 이신이 이규원 이규원보 헤어지자고 헤어지자고해 ㅋㅋ 팔 파 다치 기타 못칠수 못칠수도 있 해서 하 ㅋ 
mbc_fallinlove	0031303	POST	pym0u57-5bx30		2011-08-18	이 ㅠㅠ 넌내반오늘끝나는데엄마가못보게 ㅠㅠ 엉엉엉 조기종영너무슬프고다시 좋은모습 배우로찾아왔으면 좋겠어요우리용화오빠 ㅠㅠㅠ 15회에서끝내고마네 ㅠㅠㅠ 그래도멋졌어요 박신혜 정용화 소이현 송창 송창의 우리 강민혁 등등너무수고 ㅠㅠ 더좋은작품기대 하뚜뿅뿅 
mbc_fallinlove	lovesu0114	POST	pym0u80-_8aiy		2011-08-19	어제 넌내게 반 본사람 
mbc_fallinlove	mj5728	POST	pym0ug3-_sa7a		2011-08-18	오늘 넌내게반 하 본방사수 하 어제 못봐서 속상 
mbc_fallinlove	buks2	POST	pym0uxn-_3cex		2011-08-22	넌내게반 넌내게반 네이버블로그 부업으로적당히용돈버는블로그 
mbc_fallinlove	dbfls77721	POST	pym0v4v-y48g		2011-08-19	씨엔블루 정용화 넌내반 박신혜 정용화 소중 값지 시간 종영소감 네이버블로그 빠율잉 
mbc_fallinlove	shlanny	POST	pym0vai-80y1		2011-08-18	뒤늦 좋아지 되 씨엔블루 넌내게반 넌 널 내 반 반 달콤 내사랑 내사랑에 녹아버렸어 
mbc_fallinlove	salondepoom	POST	pym0vf8-5s7bj		2011-08-19	넌 널 내 반 종영 넌 널 내 반 15회 다시보기 넌 널 내 반 결말 화제만발 정용화 박신혜 달콤 키스 해피엔딩 네이버블로그 구월동미용실인천미용실 
mbc_fallinlove	sunlight0914	POST	pym0w4x-811j		2011-08-19	넌내게반 시청률 6.0 6.0으 끝나 엉엉 신 시 규원 어제 못 보 해피엔딩 해피엔딩이지 
mbc_fallinlove	jane5692	POST	pym0wjj-ye0lx		2011-08-19	넌 널 내 내 반 끝나 마지막화 마지막화가 왜이렇게 슬프 이신 이규원 me2mobile 
