#program_id, author_id, type, post_id, comment_id, publish_date, terms
mbc_sundaynight_nagasoo,goyayy,POST,pym009z-hs9f,,2011-11-21,음악 일기인순이 아버지 노래 노랗다 다시한번 가수 가창력 다 아니다 아니 것 생각 나가수 가수 노래 울어줬으면좋겠다 우는것 우는것도 노래 한부분 한부분인데 
mbc_sundaynight_nagasoo,sunji10,POST,pym00c1-y4dr,,2011-14-21,일본 KN 방송사 홈페이지 나가수 반응 보고 보다 보 오다 뭔가 흐뭇하다 
mbc_sundaynight_nagasoo,syuos,POST,pym00km-yulut,,2011-09-21,오늘자 나가수 빨리좀 끝나다 귀신나오는줄 알다 ㅡ ㅡㅋㅋ 순팽이닷컴 
mbc_sundaynight_nagasoo,jkurban,POST,pym0157-5tb2y,,2011-02-19,나가수제작진 보 화환 올리다 근데 멘트 멘트가 쪼다 me2mobile me2photo 
mbc_sundaynight_nagasoo,shineerachel,POST,pym023t-5uoc1,,2011-56-18,옥주현 날개반지 나가수 옥주현 날개큐빅반지 옥주현 반지 나는가수 옥주현 날개반지 wing 반지 wing ring 네이버블로그 반짝반짝빛나 
mbc_sundaynight_nagasoo,kds14211,POST,pym02fi-5ex5p,,2011-15-22,인순 인순이 박명수 하차 시키다 나가수 등장 인순 인순이 나가수 울산생활정보신문뉴스소식벼룩시장 네이버블로그 울산벼룩시장 ㅣ 울산최고생활정보신문 
mbc_sundaynight_nagasoo,klee72kr,POST,pym02hn-eak7,,2011-27-22,인순이님 인순이님의 나가수 노래 나오다 전 절다 속삭 임 서두서 이미 사람 그녀 그녀의 음악 감동 가슴 남다 노랫말 부모님 잘 할 하다 듯 
mbc_sundaynight_nagasoo,insoone,POST,pym02of-fgvx,,2011-19-22,이 포스팅 포스팅을 봤을때부터 언젠가 언젠가는 나가수 나가수에 출연 출연하시겠구 싶다 이제서 출연 하다 당시 박명수씨 인순이님 나오다 하차 라 라고 외치다 인터뷰 ㅋㅋㅋ 
mbc_sundaynight_nagasoo,yju1244,POST,pym0383-6exr,,2011-49-19,BIGBANG FOREVER 언제 언제나 자랑 또 자랑 나 가수님 5주년 축하 여태껏 그래왔듯 앞 기쁜 슬픈 슬픈일 가족 함 나누다 수 있다 좋다 끝 쭊쭊함께 쭊쭊함께해 쭊쭊함께해요 우리가수 5살 me2photo 
mbc_sundaynight_nagasoo,jungmyeng,POST,pym0399-5zj1z,,2011-59-21,나는가수 나가수 선호도 선호 조사 조다 순위 1위 인순 인순이 2위 윤민수 네이버블로그 하나부동산 
mbc_sundaynight_nagasoo,syuos,POST,pym039h-yulut,,2011-59-21,나다 나 가수 7/7 인순 인순이 아버지 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ 동영 有 순팽이닷컴 
mbc_sundaynight_nagasoo,hnj1029,POST,pym03aa-qmx4,,2011-05-21,나다 나 가수 인순이 인순이의 아버지 듣다 네이버블로그 HOIJINI 
mbc_sundaynight_nagasoo,insoone,POST,pym03ur-y9qd9,,2011-05-21,오늘 무대 최고 앞 나가수 좋은공연 기대 
mbc_sundaynight_nagasoo,ansible,POST,pym03_t-wc2l,,2011-56-21,우 노래 사람 감동시키기란 굉장 어렵다는걸 알다 아무리 슬프다 곡 그런가보 하다 하기 하다 하 신나다 신나 곡 취향 안맞을수 안맞을수도 있다 근데 오늘 나가수 인순 인순이 씨 무대보면서 보다 계속 울다 직접 노래 들다 들 청중평가단 분들 분들이 무척 부럽다 임재범 씨 이후 두번째 기록이라네 27.8 라던가 단연 압도적 1위 
mbc_sundaynight_nagasoo,rockwear,POST,pym043j-y8gak,,2011-49-22,뮤직샤워 어제 나가수 보다 보셨 인순이씨 인순이씨의 아버지 임재범 임재범의 여러분 비견 폭풍감동 와우 http j.mp rdXSw6 
mbc_sundaynight_nagasoo,edutcom,POST,pym0453-y1y40,,2011-47-22,나가수인순이아버지 인순이아버지 나가수 네이버블로그 사람과어플과영어이야기 T나무이야기 
mbc_sundaynight_nagasoo,dlejd12,POST,pym04bw-57_ji,,2011-08-21,베니건스배 야구9 단 달다 아이돌나가수 2011-33 시즌 한국시리즈 우승 구단주 아이돌나가수 온라인 온라 야구 시뮬레이션 야구9 단 달다 
mbc_sundaynight_nagasoo,hhw008,POST,pym04c4-5l0kc,,2011-58-22,나가수 순위 인순 인순이 아버지 눈물바 눈물바다 네이버블로그 안녕 
mbc_sundaynight_nagasoo,yunjunara84,POST,pym057f-_jb9i,,2011-14-21,울엄마 겉절 딸기스무디 망고식스 미용실 단발 뼈 닭발 누룽지탕 나가수 아버지 이영현 화답 오늘 키워드 me2mobile 
mbc_sundaynight_nagasoo,chr1127,POST,pym05bb-_sspz,,2011-04-21,나가수 나가수를 보다 음 느낀점 느낀점은 회색머리 신기 
mbc_sundaynight_nagasoo,huve2,POST,pym05d0-bgns,,2011-00-21,좋아하다 분들 다 졸업 나가다 이젠 볼 보다 일 없다 생각 또 나가수 나가수를 보다 만들다 준 주다 줄다 당신 긴장감 감동 무대 정말 좋다 근데 kio님 kio님은 왜케 멋부리 멋부리고 나오다 ㅋㅋ me2photo 
