program_id, author_id, type, post_id, comment_id, publish_date, terms
sbs_besideme,qwe3easd,POST,pym01mi-5k6_w,,2011-03-20,전 절다 사랑 말다 말 중시 해서 하다 말로 말 하다 영원 알았죠 하다 하지 지금 생각 하다 하 안다 차이 없다 사랑 사 역시 변 난 나다 날다 이기다 생각 그런데 문득 거울 보고 보다 보 졌다는걸 깨달았죠 내 가장 아름답다 시절 사랑 사람 곁 없다 시작 좋다 me2mobile 
sbs_besideme,maya720221,POST,pym05q0-_s4pp,,2011-10-21,부디 사랑 말다 말 과거형 하지마십시오 과거형 할 하다 수가 수 없다 슬프다 넌 널다 할 하다 수 있잖 있잖아 이렇게 내 네곁 네곁에 있고싶어 사랑한단 말 말다 이 듣고싶은게 아니다 아니 니 날 나다 사랑하길원하는건 설마 설다 알다 me2mobile 
sbs_besideme,qkrthdus0989,POST,pym05qh-y64a,,2011-01-19,BIGBANG FOREVER 빅뱅사랑 내곁 내곁에 오다 고맙다 BIGBANG 5주년 사랑 me2photo 
sbs_besideme,rkgml756,POST,pym0815-66ud,,2011-13-19,오늘 빅뱅 5주년 되는 되는날 이젠 헤어지지 그렇다 멀리 멀다 떠나지 혼자 생각 말다 절대 혼자 아니다 VIP VIP가 곁 있다 사랑 존경 내 조금 멀리 멀다 떨어지다 있다 난 나다 날다 영원 응원 5주년 정말 축하 
sbs_besideme,zenath,POST,pym0ane-5jk8h,,2011-05-22,내겐 친구지 친구지만 다르다 여자들에겐 남자 넌 널다 마치 꿈 깨어난듯 말 이제 사랑 알다 되다 그녈 사랑 행복 니 앞 축하 하다 하지 자꾸 왜 외다 내맘 내맘이 슬프다 허전한건지 왜 외다 난 나다 날다 자꾸 울다 싶다 친구 말 나도 나다 나 몰다 너르다 사랑했나봐 하다 하지 난 나다 날다 언제까지 언제 곁 함 하고싶어 사랑 또 헤어지다 영원 우린 이별할테 지금 친구 곁 내 함께할거 나도 나다 나 가끔씩 가끔씩은 어깨 아니다 품 안기다 알다 알 그녈 내다 보여주고픈 너에겐 나도 나다 나 소중하단걸 가사댓글 
sbs_besideme,pckim21c,POST,pym0b9q-_mrwh,,2011-37-21,내사랑내곁 보는중 아무 아무도 모를려 모를려나 me2mobile 
sbs_besideme,fic123,POST,pym0h41-i_63,,2011-21-20,110820 토렌트다운 내사 내곁 내곁에 31회 네이버블로그 꿈꾸는자유 
sbs_besideme,fic123,POST,pym0is3-i_63,,2011-42-20,110820 토렌트다운 내사 내곁 내곁에 네이버블로그 꿈꾸는자유 
sbs_besideme,820115,POST,pym0kxd-yw601,,2011-39-20,나다 나 나일 나일뿐인데 나도 나다 나 모르다 주위사람 비교 내 내다 자신 초라하다 느껴지는것 같다 아직 내 내다 마음 내 내다 자신 부족 사람 그런거겠지 내다 주어지다 지금 삶다 삶 내 내다 곁 지키다 남편 세상 제일 제 귀하다 내 내다 아이들 오늘 소중 감사 생각 사랑 즐건 주말 보내다 
sbs_besideme,sherlock47,POST,pym0m01-yvkuk,,2011-41-21,니 힘들때 힘들때나 슬플때 외롭다 할때 할때도 이별 앓다 아파할때 니 눈물 닦아준 닦아준한 남자 있다 널 널다 사랑 한 하다 남자 있다 사랑 말 못하는니 곁 손 소다 솔다 내밀다 닿을거리 자신 아끼다 널 널다 가다 가지다 내 있다 애창곡 계속 나오 나오내 ㅅ 
sbs_besideme,ma2646,POST,pym0mtt-rwog,,2011-16-20,오작교형제 me2mobile 다 내사랑내곁 보고있지로옹 
sbs_besideme,wlduddl998,POST,pym0uja-_h_ia,,2011-14-20,밤하늘 별 따다 주다 내 사랑 소중하니까오직 아니다 안되다 외치다 외 싶어 싶다 내 내다 곁 있다 떠나다 말다 
sbs_besideme,haruzzang-,POST,pym0v00-5s9gd,,2011-22-19,보고싶 보고싶을 땐 늘다 함께해주기 내 기쁘다 땐 같다 웃다 다시다 소리 그렇다 슬퍼 울다 안되다 늘다 내곁 나 바라보다 언제까지 언제 지금 이 내 내다 슬프다 사랑 지금 이 시간 지키다 여인의향기 OST 中 버킷리스트 JK 김동욱 중저음 중저음으 울려퍼지다 JK 김동욱 김동욱의 음색 우울하긴 하다 하지 마지막 싶다 조금 슬프다 사랑 따뜻 감싸주고 감싸주고있는 것 같다 노래 듣다 지금 가슴한켠이 아련해져온다 
sbs_besideme,kimyj6966,POST,pym0w63-fty8,,2011-01-21,아이제드라마를멀봐야 시티헌터는끝나고사서넌내반봤는데끝 아 월 화요일은스파이명월보고수 목요일은보스를지켜라금요일 달고 달고나 토 일요일 오작교형제 내사랑내곁 여인의향기 ㅋㅋㅋㅋ 
sbs_besideme,ancw2000,POST,pym0__0-5cj0,,2011-05-19,빅뱅 5주년 경축 ㅎ 진짜 5년동안 많다 일들 일들이 있다 말로 말 다 표현 못하겟네 ㅎ 우리곁 우리곁에 있다 고맙다 말 못하다 ㅎ 우리에겐 과분 그대들덕 하루하루 살아가다 표현 못하다 아끼다 사랑하는거 알죠 ㅎ 50주년 한번 달리다 ㅋㅋ 내 내다 인생 그대 걸어야 걸어야하는가 ㅋㅋㄱ 아무튼 5주년축하 우리 여신 열다 빂들 빂들도 5년동안 수고햇어 ㅎ 앞 화이팅 me2mobile 
sbs_besideme,fic123,POST,pym157y-i_63,,2011-26-22,110821 토렌트다운 내 내다 사랑 사 내 내다 곁 32회 네이버블로그 꿈꾸는자유 
sbs_besideme,faketoy,POST,pym17as-5jp56,,2011-16-20,내사 내곁 내곁에 110820 토렌트 네이버블로그 FakeToy 
sbs_besideme,junes26,POST,pym1a1l-yxvov,,2011-34-22,내사 내곁 내곁에 32회 8월21 일 방송 보기 보다 http go9.co/4oE 
sbs_besideme,freeherb,POST,pym1a4e-559k5,,2011-42-22,늘다 내곁 내곁에 그렇다 있다 처음 않다 괜찮다 그대 아낄게 아낄게요 눈물 없을만큼 상처 지울 셀수 셀수도 없을만큼 사랑할게 brown eyed soul love ballad 
sbs_besideme,thehei,POST,pym1b6u-8w0t,,2011-17-19,내사랑내곁에vs 천번 천번의 입맞추다 주말 연속극 대결 뭘봐 뭘봐야 하다 고민 네이버블로그 HeeyaHolic 
sbs_besideme,greenp72,POST,pym1eb2-_wulw,,2011-30-22,동영 내사랑내곁 32회 다시보기 네이버블로그 Ihaveapinkdream레몬빛물든아로아 
sbs_besideme,oldone,POST,pym1ew2-y_75n,,2011-42-20,내 정말 사랑 사람 내겐 무엇 소중 사람 언제 언제나 내 내다 곁 영원할것 같다 사람 날 나다 두고가네 두고가네요 내 내다 가슴 죽을 아프다 난 나다 날다 아직 아직도 그대 걱정 나 세상 오직 한사람 사람 날 나다 떠나다 me2mobile 
sbs_besideme,seoarida,POST,pym1hxq-sdz9,,2011-59-20,그리다 샤 샤이 너무사랑 정말 내 내다 바 옆 있는것 있는것은 아니다 내 내다 가슴속 내곁 내곁에 있다 너무너무 고맙다 샤이니자체 나 가장 크다 선물 행복 
sbs_besideme,snowtea2,POST,pym1jzu-yt29j,,2011-55-20,설서린 설서린이 이놈 이놈이 자꾸 깔짝대길래 어린놈 어린놈이 참 차다 겁도없길래 실제 한번 만 싶다 약속 잡다 근데 이놈 이놈이 괜 쫄아서 미투 미투도 언젠가 안들어오 안들어오고 마음고생하는것 같은거 같은거야 내 내다 의도 뭐 해코지하겟다거 그런게 아니다 약속당일 약속당 만나다 만 설서린 설서린은 근래 잠 설치다 말하더 말하더라 도저 도저히 대화 안될것 안될것같아서 며칠사이 며칠사 야위다 설서린 설서린을 달래다 달래 집 돌아오다 마지막 하지못한말 혼자서 되내었엇지 사랑 마음 가질수 사람 있다 나를봐 이렇게 곁에 곁에있어 곁에있어도 널갖지 못하잖 못하잖아 
sbs_besideme,ccya,POST,pym1k4m-hmgu,,2011-35-22,내 내다 사랑 사 내 내다 곁 31회 8월20 일 다시보기 네이버블로그 이과장의사진블로그 
sbs_besideme,ccya,POST,pym1kxq-hmgu,,2011-36-22,내 내다 사랑 사 내 내다 곁 32회 8월21 일 다시보기 네이버블로그 이과장의사진블로그 
