#program_id, author_id, type, post_id, comment_id, publish_date, terms
sbs_newsunday,parkzien,POST,pym00gh-_a9_5,,2011-09-20,아오 ㅋㅋ 런닝맨 쇼크먹음 다음주도 다음주 자연누나 자연누 나오게지하고잇는뎋 ㅎ 
sbs_newsunday,parkzien,POST,pym00jx-_a9_5,,2011-04-20,이 닉넴 지연누나 지연누 생일 트위터 잘 비쥬얼마전 가입했데 음중 잘봄 런닝맨 런닝맨도 ㅎㅎ 밤 사라지는거대박 
sbs_newsunday,tbh06132,POST,pym03im-7zbo,,2011-30-18,할룽 런닝맨 공식팬카페 가입어떻게 어디 어디임 ㅋㅋ 
sbs_newsunday,dudtj8770,POST,pym04wn-5peyc,,2011-56-22,런닝맨 
sbs_newsunday,zai,POST,pym04yd-c97,,2011-30-18,닉쿤이 런닝맨 런닝맨을 찍다 수상시장 노노 ㅋㅋ 동자이 동자이가 가족사진 찍다 수상시장 뉘쿤이 중요 ㅋㅋㅋ me2mobile me2photo 
sbs_newsunday,jihee001004,POST,pym0574-_dw_o,,2011-15-21,런닝맨 VS 키스 크라 크라이 네이버블로그 놀러오다 
sbs_newsunday,sks03070,POST,pym06se-5yhj_,,2011-17-20,홍보 1 네이버블로그 런닝맨 
sbs_newsunday,rlatjwls63,POST,pym06wo-y2gaw,,2011-35-21,야간 3일째 ㅜㅜ 출근하기싫다 런닝맨 재방보느 재방보느라 씻는것 씻는것도 귀찮다 ㅋㅋㅋ 얼른 씻구준비해야겟당 
sbs_newsunday,qkffkfthals,POST,pym07ut-_aix5,,2011-05-22,꺅 런닝맨 런닝맨에 세경언니 나왔따 
sbs_newsunday,ourstory95,POST,pym081f-_84yl,,2011-15-21,흠 아무 아무나 런닝맨 본사람 누가나오 누가나오니 
sbs_newsunday,lbor5359,POST,pym08nx-_sx6j,,2011-23-21,밥먹고 런닝맨 런닝맨보 남자의자격보는중 ㅎㅎㅎㅎ 넘늦게왔 넘늦게왔나 ㅁ 근데 또 졸려지고 졸려지고있음 취침들어가시는분 굿나잇 
sbs_newsunday,wlsdl2796,POST,pym09sx-_aocz,,2011-06-21,루나언니 언니 저번 런닝맨 봤는데요 언니 되다 이쁘다 마음 착하다 걸 알다 앞 더욱더 언니에대 알아갈께 알아갈께요 친구소개 fx luna 
