program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_challenge	mynamegk	POST	pym00dg-_3ebp		2011-08-18	지 솔로 솔 대체 언제나옴 cry 빨 나오 좋 저번 무도 박명수 거절 노랗 노래 있길바래 
mbc_challenge	gowls791004	POST	pym01p9-_akvt		2011-08-20	무도 무 오늘 장난 장 아니 재미 smile 박명수 정준 정준하 불장난춤 봐도봐 봐도봐도 웃 웃기 웃기 못생긴팀 얼굴 힘을보여줘 무한도전 불장난춤 
mbc_challenge	buks2	POST	pym022l-_3cex		2011-08-22	무한도전 무한도전 
mbc_challenge	heoniel	POST	pym031f-yt4ol		2011-08-19	간 간만 배꼽 잡 smile 지난주 무한도전 보 박수 치 치 mc유 테마송 쪼아송 나올때 나올때는 같 춤 추 smile 내 내 웃음코드 이거 였 question smile 하여 웃 버리 쇼프 쇼프로 봐주 할 하 듯 하 we speak americano we speak americano americano는 지난주 방송 아니 검색 보 보 재미 있어서리 smile 
mbc_challenge	pllin	POST	pym035j-5ns50		2011-08-21	무한도전 싸 싸 닮은꼴 오마이갓 exclamation 정말 구하 군 exclamation 수고 exclamation smile 닮은꼴 찾 exclamation 무한도전닮은꼴 
mbc_challenge	elfthsjpp	POST	pym03ux-_q7e7		2011-08-21	แอร กกกกกก แม ล กฉลองว นเก ด ค มฮ และค มค ก จะร องไห ค ดถ งเม งมากมายบอมม 무한도전닮은꼴 
mbc_challenge	olivajy	POST	pym0427-yta_h		2011-08-21	무한도전 싸 싸 닮은꼴 smile 싸 싸 닮은꼴 닮은꼴이 smile 잼있겠근 잼있겠근여 무한도전닮은꼴 
mbc_challenge	tlsqjadn	POST	pym04af-yg4rf		2011-08-19	무한도전 보는중 재방송 smile 번 smile 
mbc_challenge	bluederry	POST	pym04vl-5b8ws		2011-08-21	무한도전 싸 싸 닮은꼴 찾 진짜하는거 question 
mbc_challenge	dldbwjddd	POST	pym06fc-gosr		2011-08-21	해골바가지입니당ㅇㅇ 일명 무한도전 해골입니당 무도 무 싸랑해 싸랑해여 
mbc_challenge	khw242	POST	pym077f-_aix2		2011-08-22	내 싸이보단 좀더 잘생겼다구 생각 smile 전혀 닮 않 근데 주위 닮앗대 otl cry 무한도전닮은꼴 
