program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_gyebaek	bighill008	POST	pym00qv-5edov		2011-08-21	mbc 대하사극 계백 무왕 역 최종환 화 호 명장면 cry 
mbc_gyebaek	minist10	POST	pym01as-_ptp0		2011-08-18	이현우 계백 이현우스타 패션알아보기 마이니스트 
mbc_gyebaek	buks2	POST	pym02tk-_3cex		2011-08-22	계백 계백 
mbc_gyebaek	feei2nd	POST	pym03tg-5xcmx		2011-08-18	회 은고 은고를 떠올리 계백 계백 
mbc_gyebaek	tkdzma2005	POST	pym05jc-onrl		2011-08-18	의자왕이뭐에 question 
mbc_gyebaek	jihongchoi	POST	pym0bnb-_8_1y		2011-08-20	나경원 나경원이 그랬어 오세훈 오세훈을 계백 죽게 죽게하면 백제 한 가 가 망 틀리 오세훈 오세훈이 죽 한나라 한나라가 망하는게 아니 아니 친이계 친이계가 망하는거지 역설적 친이계 친이계가 망 한나라 한나라와 보수 살 사 있는거 있는거야 이게 민심 나의원 나의원의 총선불출마 기대 exclamation 
mbc_gyebaek	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남 보스 지키 넌 널 내 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많 그것 시쯤 나오 제일루 exclamation 
mbc_gyebaek	didrb1028	POST	pym0inu-yuutd		2011-08-20	광개토대왕 목소리 크 계백 계백은 똥폼 다잡 백동수 백동수는 시끄럽 공주 남 남자 지지 궁상 다떨고 근데 재밋네잉 smile 
mbc_gyebaek	namunju0709	POST	pym0ke8-_8jf1		2011-08-19	탁예은 의자왕 짝 한번 특집 재등장 눈길 벌써 기대 
mbc_gyebaek	hello_oasha	POST	pym0wwx-54qm0		2011-08-20	계백 완전 재밌음 그동안 내 왜 외 백동수 백동수를 보 question 어우 계백 계백이 비교 안되 exclamation 역시 마봉춘 exclamation 사극 마봉춘 마봉춘이 대박 exclamation 
mbc_gyebaek	oh3966	POST	pym12xv-_kklg		2011-08-20	애정만만세 보고 보 보 cry ㅡㄴ데 이모부 광개토대왕봄 수목은공주의남자보면서 뭔사극만봄 smile 그러면서 월화 월화는 계백도안보고동수도안 명월봄 ㅅㅂ나랑너무엇갈림 
mbc_gyebaek	loanbay	POST	pym13i0-yrp_n		2011-08-22	계백 이서진 투입 exclamation 계백 시청률 급상승 exclamation 
mbc_gyebaek	je832896	POST	pym17a1-5c9yd		2011-08-22	계백 exclamation 보 보세 smile 정말 짱 재미 smile 월화드라마 계백 시 분 mbc 
mbc_gyebaek	je832896	POST	pym17uc-5c9yd		2011-08-22	오늘 하루 힘들 이렇게 오늘 미투 마칩니 마칩니다 하암 안되 exclamation 계백 보 몽땅두 
mbc_gyebaek	cns2860	POST	pym18ly-5atbd		2011-08-20	드라마 보 보 재밌는 계백 촬영 뒷 이야기 exclamation 
mbc_gyebaek	cns2860	POST	pym18r7-5atbd		2011-08-20	계백 회 다시보기 동영 
mbc_gyebaek	mjmj416	POST	pym19qf-rgkz		2011-08-20	난 나 날 민호란 민호 민호는 거의 거 다 좋아하나바 cry 준표도련느님 샤이니민호 군데 굴 붐 실타 smile 글구 계백 계백인가 question 거기 아역 question 이민호 인가 사람두 실은것가틈 smile smile 이민호쵝오 잘생겼엉 윤성느님 smile smile 시티헌터 exclamation 
