program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_sundaynight_nagasoo	goyayy	POST	pym009z-hs9f		2011-08-21	음악 일기인순이 아버지 노래 노랗(다) 다시한번 가수 가창력 다 아니(다) 아니 것 생각 나가수 가수 노래 울어줬으면좋겠다 우는것 우는것도 노래 한부분 한부분인데
mbc_sundaynight_nagasoo	sunji10	POST	pym00c1-y4dr		2011-08-21	일본 kn 방송사 홈페이지 나가수 반응 보고 보(다) 보 오(다) 뭔가 흐뭇하(다)
mbc_sundaynight_nagasoo	syuos	POST	pym00km-yulut		2011-08-21	오늘자 나가수 빨리좀 끝나(다) 귀신나오는줄 알(다) ㅡ ㅡ smile 순팽이닷컴
mbc_sundaynight_nagasoo	jkurban	POST	pym0157-5tb2y		2011-08-19	나가수제작진 보 화환 올리(다) 근데 멘트 멘트가 쪼(다)
mbc_sundaynight_nagasoo	shineerachel	POST	pym023t-5uoc1		2011-08-18	옥주현 날개반지 나가수 옥주현 날개큐빅반지 옥주현 반지 나는가수 옥주현 날개반지 wing 반지 wing ring
mbc_sundaynight_nagasoo	kds14211	POST	pym02fi-5ex5p		2011-08-22	인순 인순이 박명수 하차 시키(다) 나가수 등장 question 인순 인순이 나가수 울산생활정보신문뉴스소식벼룩시장
mbc_sundaynight_nagasoo	klee72kr	POST	pym02hn-eak7		2011-08-22	인순이님 인순이님의 나가수 노래 나오(다) 전 절(다) 속삭 임 서두서 이미 사람 그녀 그녀의 음악 감동 가슴 남(다) 노랫말 부모님 잘 할 하(다) 듯
mbc_sundaynight_nagasoo	insoone	POST	pym02of-fgvx		2011-08-22	포스팅 포스팅을 봤을때부터 언젠가 언젠가는 나가수 나가수에 출연 출연하시겠구 싶(다) 이제서 출연 하(다) smile 당시 박명수씨 인순이님 나오(다) 하차 라 라고 외치(다) 인터뷰 smile
mbc_sundaynight_nagasoo	yju1244	POST	pym0383-6exr		2011-08-19	bigbang forever 언제 언제나 자랑 또 자랑 나 가수님 주년 축하 여태껏 그래왔듯 앞 기쁜 슬픈 슬픈일 가족 함 나누(다) 있(다) 좋(다) smile 끝 쭊쭊함께 쭊쭊함께해 쭊쭊함께해요 love 우리가수 살 사(다)
mbc_sundaynight_nagasoo	jungmyeng	POST	pym0399-5zj1z		2011-08-21	나는가수 나가수 선호도 선호 조사 조(다) 순위 위 인순 인순이 위 윤민수
mbc_sundaynight_nagasoo	syuos	POST	pym039h-yulut		2011-08-21	나(다) 나 가수 인순 인순이 아버지 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ 동영 순팽이닷컴
mbc_sundaynight_nagasoo	hnj1029	POST	pym03aa-qmx4		2011-08-21	나(다) 나 가수 인순이 인순이의 아버지 듣(다)
mbc_sundaynight_nagasoo	insoone	POST	pym03ur-y9qd9		2011-08-21	오늘 무대 최고 smile 앞 나가수 좋은공연 기대 smile
mbc_sundaynight_nagasoo	ansible	POST	pym03_t-wc2l		2011-08-21	우 노래 사람 감동시키기란 굉장 어렵다는걸 알(다) 아무리 슬프(다) 곡 그런가보 하(다) 하기 하(다) 하 신나(다) 신나 곡 취향 안맞을수 안맞을수도 있(다) 근데 오늘 나가수 인순 인순이 씨 무대보면서 보(다) 계속 울(다) 직접 노래 들(다) 들 청중평가단 분들 분들이 무척 부럽(다) 임재범 씨 이후 두번째 기록이라네 라던가 단연 압도적 위 exclamation
mbc_sundaynight_nagasoo	rockwear	POST	pym043j-y8gak		2011-08-22	뮤직샤워 어제 나가수 보(다) 보셨 question 인순이씨 인순이씨의 아버지 임재범 임재범의 여러분 비견 폭풍감동 와우
mbc_sundaynight_nagasoo	edutcom	POST	pym0453-y1y40		2011-08-22	나가수인순이아버지 인순이아버지 나가수
mbc_sundaynight_nagasoo	dlejd12	POST	pym04bw-57_ji		2011-08-21	베니건스배 야구 단 달(다) 아이돌나가수 시즌 한국시리즈 우승 exclamation 구단주 아이돌나가수 온라인 온라 야구 시뮬레이션 야구 단 달(다)
mbc_sundaynight_nagasoo	hhw008	POST	pym04c4-5l0kc		2011-08-22	나가수 순위 인순 인순이 아버지 눈물바 눈물바다
mbc_sundaynight_nagasoo	yunjunara84	POST	pym057f-_jb9i		2011-08-21	울엄마 겉절 딸기스무디 망고식스 미용실 단발 뼈 닭발 누룽지탕 나가수 아버지 이영현 화답 오늘 키워드
mbc_sundaynight_nagasoo	chr1127	POST	pym05bb-_sspz		2011-08-21	나가수 나가수를 보(다) 음 느낀점 느낀점은 회색머리 신기
mbc_sundaynight_nagasoo	huve2	POST	pym05d0-bgns		2011-08-21	좋아하(다) 분들 다 졸업 나가(다) 이젠 볼 보(다) 일 없(다) 생각 또 나가수 나가수를 보(다) 만들(다) 준 주(다) 줄(다) 당신 긴장감 감동 무대 정말 좋(다) smile 근데 kio님 kio님은 왜케 멋부리 멋부리고 나오(다) smile
mbc_sundaynight_nagasoo	time2free	POST	pym05f7-frlf		2011-08-20	jk 김동욱 조율 명곡이죠 원곡 원곡도 이곡 이곡도 네이버앱 음악검색 jk 김동욱 조율 나(다) 나 가수 서바이벌 나(다) 나 가수 경연 청중평가단 추천곡
mbc_sundaynight_nagasoo	pow3698	POST	pym05jb-_dzvu		2011-08-21	아싸 exclamation 내 좋아하(다) 목소리 exclamation 바 비 키(다) exclamation 역시 목소리 넘 좋(다) exclamation exclamation exclamation 이르(다) 나가수 홀릭해야 홀릭해야하 홀릭해야하나 smile 우 가수 인순이님 까(다) exclamation 나가수 홀릭 exclamation
