program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_besideme	qwe3easd	POST	pym01mi-5k6_w		2011-08-20	전 절 사랑 말 말 중시 해서 하 말로 말 하 영원 알았죠 하 하지 지금 생각 하 하 안 차이 없 사랑 사 역시 변 난 나 날 이기 생각 그런데 문득 거울 보고 보 보 졌다는걸 깨달았죠 내 가장 아름답 시절 사랑 사람 곁 없 시작 좋 
sbs_besideme	maya720221	POST	pym05q0-_s4pp		2011-08-21	부디 사랑 말 말 과거형 하지마십시오 과거형 할 하 수가 수 없 슬프 넌 널 할 하 있잖 있잖아 이렇게 내 네곁 네곁에 있고싶어 사랑한단 말 말 듣고싶은게 아니 아니 니 날 나 사랑하길원하는건 설마 설 알 question 
sbs_besideme	qkrthdus0989	POST	pym05qh-y64a		2011-08-19	bigbang forever 빅뱅사랑 love 내곁 내곁에 오 고맙 smile bigbang 주년 love 사랑 love 
sbs_besideme	rkgml756	POST	pym0815-66ud		2011-08-19	오늘 빅뱅 주년 되는 되는날 love 이젠 헤어지지 그렇 멀리 멀 떠나지 혼자 생각 말 절대 혼자 아니 vip vip가 곁 있 exclamation 사랑 존경 내 조금 멀리 멀 떨어지 있 난 나 날 영원 응원 exclamation 주년 정말 축하 exclamation love 
sbs_besideme	zenath	POST	pym0ane-5jk8h		2011-08-22	내겐 친구지 친구지만 다르 여자들에겐 남자 넌 널 마치 꿈 깨어난듯 말 이제 사랑 알 되 그녈 사랑 행복 니 앞 축하 하 하지 자꾸 왜 외 내맘 내맘이 슬프 허전한건지 왜 외 난 나 날 자꾸 울 싶 친구 말 나도 나 나 몰 너르 사랑했나봐 하 하지 난 나 날 언제까지 언제 곁 함 하고싶어 사랑 또 헤어지 영원 우린 이별할테 지금 친구 곁 내 함께할거 나도 나 나 가끔씩 가끔씩은 어깨 아니 품 안기 알 알 그녈 내 보여주고픈 너에겐 나도 나 나 소중하단걸 가사댓글 
sbs_besideme	pckim21c	POST	pym0b9q-_mrwh		2011-08-21	내사랑내곁 보는중 아무 아무도 모를려 모를려나 question 
sbs_besideme	fic123	POST	pym0h41-i_63		2011-08-20	토렌트다운 내사 내곁 내곁에 회 
sbs_besideme	fic123	POST	pym0is3-i_63		2011-08-20	토렌트다운 내사 내곁 내곁에 
sbs_besideme	820115	POST	pym0kxd-yw601		2011-08-20	나 나 나일 나일뿐인데 나도 나 나 모르 주위사람 비교 내 내 자신 초라하 느껴지는것 같 아직 내 내 마음 내 내 자신 부족 사람 그런거겠지 내 주어지 지금 삶 삶 내 내 곁 지키 남편 세상 제일 제 귀하 내 내 아이들 오늘 소중 감사 생각 사랑 즐건 주말 보내 smile 
sbs_besideme	sherlock47	POST	pym0m01-yvkuk		2011-08-21	니 힘들때 힘들때나 슬플때 외롭 할때 할때도 이별 앓 아파할때 니 눈물 닦아준 닦아준한 남자 있 널 널 사랑 한 하 남자 있 사랑 말 못하는니 곁 손 소 솔 내밀 닿을거리 자신 아끼 널 널 가 가지 내 있 애창곡 계속 나오 나오내 ㅅ 
sbs_besideme	ma2646	POST	pym0mtt-rwog		2011-08-20	오작교형제 다 내사랑내곁 보고있지로옹 
sbs_besideme	wlduddl998	POST	pym0uja-_h_ia		2011-08-20	밤하늘 별 따 주 내 사랑 소중하니까오직 아니 안되 외치 외 싶어 싶 내 내 곁 있 떠나 말 
sbs_besideme	haruzzang-	POST	pym0v00-5s9gd		2011-08-19	보고싶 보고싶을 땐 늘 함께해주기 내 기쁘 땐 같 웃 다시 소리 그렇 슬퍼 울 안되 늘 내곁 나 바라보 언제까지 언제 지금 이 내 내 슬프 사랑 지금 시간 지키 여인의향기 ost 中 버킷리스트 jk 김동욱 중저음 중저음으 울려퍼지 jk 김동욱 김동욱의 음색 우울하긴 하 하지 마지막 싶 조금 슬프 사랑 따뜻 감싸주고 감싸주고있는 같 노래 듣 지금 가슴한켠이 아련해져온다 
sbs_besideme	kimyj6966	POST	pym0w63-fty8		2011-08-21	아이제드라마를멀봐야 question 시티헌터는끝나고사서넌내반봤는데끝 아 월 화요일은스파이명월보고수 목요일은보스를지켜라금요일 달고 달고나 토 일요일 오작교형제 내사랑내곁 여인의향기 smile 
