"glucose","conc","diameter"
1,631000,21.2
1,592000,21.5
1,563000,21.3
1,475000,21
1,461000,21.5
1,416000,21.3
1,385000,20.3
1,321000,22.7
1,302000,21.5
1,199000,22.2
1,195000,22.6
1,165000,22.5
1,137000,23.3
1,130000,23.5
1,90000,23.4
1,66000,23.6
1,55000,23.9
1,52000,23.6
1,46000,23.6
1,41000,24.5
1,38000,24
1,34000,25.4
1,32000,24.6
1,30000,24.9
1,28000,24.9
1,21000,24.4
1,20000,25.9
1,16000,25.5
1,14500,25.7
1,13500,25.9
1,11600,25.7
1,11000,26.3
2,630000,19.2
2,501000,19.5
2,332000,19.8
2,285000,21
2,201000,21
2,175000,21
2,129000,21.3
2,111000,20.5
2,78000,22.6
2,70000,22.7
2,69000,22.2
2,62000,22.7
2,35000,24
2,27000,23.6
2,24000,23.5
2,22000,23.3
2,14000,24.4
2,13000,24.3
2,11000,24.2
