user,create_date,total_tweet_count,positive_tweet_count,negative_tweet_count
aplusk,2011-05-13,9,2,0
aplusk,2011-05-14,5,3,1
aplusk,2011-05-15,6,2,0
aplusk,2011-05-17,3,1,0
aplusk,2011-05-18,1,0,0
aplusk,2011-05-19,1,0,1
aplusk,2011-05-20,1,0,0
aplusk,2011-05-23,1,1,0
aplusk,2011-05-24,15,11,1
aplusk,2011-05-25,6,5,0
aplusk,2011-05-26,5,1,0
aplusk,2011-05-27,4,2,0
aplusk,2011-05-28,2,1,0
aplusk,2011-05-29,1,0,0
aplusk,2011-05-31,2,2,0
aplusk,2011-06-01,1,0,0
aplusk,2011-06-03,1,0,0
aplusk,2011-06-04,5,0,3
aplusk,2011-06-05,3,2,1
aplusk,2011-06-06,5,3,0
aplusk,2011-06-07,3,1,0
aplusk,2011-06-08,4,2,0
aplusk,2011-06-09,2,0,0
aplusk,2011-06-10,4,0,2
aplusk,2011-06-11,1,0,0
aplusk,2011-06-12,1,0,0
aplusk,2011-06-13,3,0,0
aplusk,2011-06-14,1,0,0
aplusk,2011-06-15,5,2,0
aplusk,2011-06-17,1,0,1
aplusk,2011-06-18,2,1,0
aplusk,2011-06-19,5,1,1
aplusk,2011-06-20,2,0,1
aplusk,2011-06-21,3,2,0
aplusk,2011-06-22,2,1,0
aplusk,2011-06-23,2,1,0
aplusk,2011-06-24,5,2,0
aplusk,2011-06-26,12,5,2
aplusk,2011-06-27,8,2,2
aplusk,2011-06-28,2,2,0
aplusk,2011-06-29,3,2,0
aplusk,2011-06-30,13,1,2
aplusk,2011-07-01,9,3,3
aplusk,2011-07-02,11,5,1
aplusk,2011-07-03,4,2,2
aplusk,2011-07-04,7,2,0
aplusk,2011-07-06,2,0,1
aplusk,2011-07-07,1,0,0
aplusk,2011-07-08,6,4,0
BarackObama,2011-05-13,1,0,0
BarackObama,2011-05-15,1,0,0
BarackObama,2011-05-19,1,0,0
BarackObama,2011-05-20,1,0,0
BarackObama,2011-05-21,1,0,0
BarackObama,2011-05-24,1,1,0
BarackObama,2011-05-25,1,0,0
BarackObama,2011-05-28,1,0,0
BarackObama,2011-05-29,1,1,0
BarackObama,2011-05-30,1,0,1
BarackObama,2011-05-31,1,1,0
BarackObama,2011-06-02,2,1,0
BarackObama,2011-06-04,1,0,0
BarackObama,2011-06-05,1,1,0
BarackObama,2011-06-08,1,0,0
BarackObama,2011-06-09,2,0,0
BarackObama,2011-06-12,1,1,0
BarackObama,2011-06-14,1,0,0
BarackObama,2011-06-16,2,1,0
BarackObama,2011-06-18,3,1,1
BarackObama,2011-06-20,2,1,0
BarackObama,2011-06-21,1,0,0
BarackObama,2011-06-24,1,0,0
BarackObama,2011-06-25,3,1,0
BarackObama,2011-06-26,5,3,1
BarackObama,2011-06-27,2,1,0
BarackObama,2011-06-28,1,0,0
BarackObama,2011-06-29,4,0,0
BarackObama,2011-06-30,8,1,2
BarackObama,2011-07-01,8,2,1
BarackObama,2011-07-02,2,0,1
BarackObama,2011-07-03,2,0,1
BarackObama,2011-07-05,3,1,0
BarackObama,2011-07-06,2,0,0
BarackObama,2011-07-07,3,0,1
BarackObama,2011-07-08,1,0,0
BBCBreaking,2011-05-13,10,2,2
BBCBreaking,2011-05-14,7,0,3
BBCBreaking,2011-05-16,6,0,1
BBCBreaking,2011-05-17,7,0,2
BBCBreaking,2011-05-18,7,0,2
BBCBreaking,2011-05-19,13,3,2
BBCBreaking,2011-05-20,20,4,6
BBCBreaking,2011-05-21,4,0,2
BBCBreaking,2011-05-23,8,0,2
BBCBreaking,2011-05-24,27,4,3
BBCBreaking,2011-05-25,9,5,2
BBCBreaking,2011-05-26,11,1,4
BBCBreaking,2011-05-27,8,1,2
BBCBreaking,2011-05-31,4,0,1
BBCBreaking,2011-06-01,7,1,0
BBCBreaking,2011-06-02,4,1,1
BBCBreaking,2011-06-03,15,2,4
BBCBreaking,2011-06-04,2,0,1
BBCBreaking,2011-06-06,6,0,2
BBCBreaking,2011-06-07,2,0,2
BBCBreaking,2011-06-08,6,0,4
BBCBreaking,2011-06-09,5,0,5
BBCBreaking,2011-06-10,5,3,1
BBCBreaking,2011-06-11,1,0,1
BBCBreaking,2011-06-13,1,0,0
BBCBreaking,2011-06-14,7,2,0
BBCBreaking,2011-06-15,2,0,1
BBCBreaking,2011-06-16,4,1,0
BBCBreaking,2011-06-17,5,1,3
BBCBreaking,2011-06-18,1,1,0
BBCBreaking,2011-06-20,3,1,1
BBCBreaking,2011-06-21,4,0,1
BBCBreaking,2011-06-22,3,1,1
BBCBreaking,2011-06-23,1,0,1
BBCBreaking,2011-06-24,6,0,4
BBCBreaking,2011-06-25,3,1,1
BBCBreaking,2011-06-27,2,1,0
BBCBreaking,2011-06-29,7,2,1
BBCBreaking,2011-06-30,3,0,1
BBCBreaking,2011-07-01,7,1,1
BBCBreaking,2011-07-02,5,1,2
BBCBreaking,2011-07-03,2,2,0
BBCBreaking,2011-07-04,3,0,2
BBCBreaking,2011-07-05,3,1,1
BBCBreaking,2011-07-06,5,1,1
BBCBreaking,2011-07-07,3,0,1
BBCBreaking,2011-07-08,5,0,0
BillGates,2011-05-17,2,0,0
BillGates,2011-05-26,2,1,1
BillGates,2011-06-03,1,1,0
BillGates,2011-06-04,1,0,0
BillGates,2011-06-11,3,1,0
BillGates,2011-06-12,1,0,0
BillGates,2011-06-15,1,0,0
BillGates,2011-06-20,1,1,0
BillGates,2011-06-21,1,0,0
BillGates,2011-07-01,2,1,0
BillGates,2011-07-07,2,1,0
britneyspears,2011-05-13,3,3,0
britneyspears,2011-05-14,2,1,0
britneyspears,2011-05-15,1,0,0
britneyspears,2011-05-17,2,0,0
britneyspears,2011-05-18,1,1,0
britneyspears,2011-05-19,1,0,0
britneyspears,2011-05-20,1,1,0
britneyspears,2011-05-21,2,2,0
britneyspears,2011-05-22,3,1,0
britneyspears,2011-05-23,2,0,1
britneyspears,2011-05-25,2,1,0
britneyspears,2011-05-26,1,1,0
britneyspears,2011-05-27,2,2,0
britneyspears,2011-05-30,1,0,0
britneyspears,2011-06-01,1,0,0
britneyspears,2011-06-02,1,1,0
britneyspears,2011-06-04,1,1,0
britneyspears,2011-06-07,3,1,0
britneyspears,2011-06-08,1,0,0
britneyspears,2011-06-10,1,1,0
britneyspears,2011-06-11,1,1,0
britneyspears,2011-06-15,1,0,0
britneyspears,2011-06-16,2,1,0
britneyspears,2011-06-17,3,1,1
britneyspears,2011-06-18,1,0,1
britneyspears,2011-06-19,5,4,0
britneyspears,2011-06-20,6,5,0
britneyspears,2011-06-21,3,2,1
britneyspears,2011-06-22,4,4,0
britneyspears,2011-06-23,1,1,0
britneyspears,2011-06-24,1,1,0
britneyspears,2011-06-25,3,2,0
britneyspears,2011-06-28,4,1,1
britneyspears,2011-06-29,4,3,1
britneyspears,2011-06-30,3,2,0
britneyspears,2011-07-01,2,2,0
britneyspears,2011-07-02,8,7,0
britneyspears,2011-07-03,1,1,0
britneyspears,2011-07-05,5,5,0
britneyspears,2011-07-06,1,1,0
britneyspears,2011-07-07,7,6,0
cnnbrk,2011-05-13,18,2,6
cnnbrk,2011-05-14,17,2,3
cnnbrk,2011-05-15,14,2,3
cnnbrk,2011-05-16,15,0,1
cnnbrk,2011-05-17,14,0,4
cnnbrk,2011-05-18,24,2,7
cnnbrk,2011-05-19,22,5,10
cnnbrk,2011-05-20,13,1,4
cnnbrk,2011-05-21,14,1,3
cnnbrk,2011-05-22,9,2,1
cnnbrk,2011-05-23,14,1,4
cnnbrk,2011-05-24,23,1,4
cnnbrk,2011-05-25,40,7,11
cnnbrk,2011-05-26,23,2,4
cnnbrk,2011-05-27,19,3,7
cnnbrk,2011-05-28,13,1,1
cnnbrk,2011-05-29,5,1,3
cnnbrk,2011-05-30,12,1,5
cnnbrk,2011-05-31,13,4,3
cnnbrk,2011-06-01,26,6,6
cnnbrk,2011-06-02,21,1,7
cnnbrk,2011-06-03,17,1,5
cnnbrk,2011-06-04,19,5,5
cnnbrk,2011-06-05,6,0,1
cnnbrk,2011-06-06,11,3,5
cnnbrk,2011-06-07,22,2,9
cnnbrk,2011-06-08,20,2,2
cnnbrk,2011-06-09,22,2,7
cnnbrk,2011-06-10,19,0,7
cnnbrk,2011-06-11,16,2,6
cnnbrk,2011-06-12,11,2,4
cnnbrk,2011-06-13,7,3,0
cnnbrk,2011-06-14,39,5,5
cnnbrk,2011-06-15,10,0,5
cnnbrk,2011-06-16,16,0,5
cnnbrk,2011-06-17,11,1,7
cnnbrk,2011-06-18,12,2,5
cnnbrk,2011-06-19,10,2,2
cnnbrk,2011-06-20,15,4,3
cnnbrk,2011-06-21,20,1,6
cnnbrk,2011-06-22,20,2,5
cnnbrk,2011-06-23,27,2,10
cnnbrk,2011-06-24,18,1,4
cnnbrk,2011-06-25,15,0,4
cnnbrk,2011-06-26,10,1,2
cnnbrk,2011-06-27,10,1,2
cnnbrk,2011-06-28,13,2,3
cnnbrk,2011-06-29,20,1,3
cnnbrk,2011-06-30,15,3,1
cnnbrk,2011-07-01,14,1,5
cnnbrk,2011-07-02,20,4,7
cnnbrk,2011-07-03,11,0,4
cnnbrk,2011-07-04,8,2,2
cnnbrk,2011-07-05,13,1,4
cnnbrk,2011-07-06,27,0,8
cnnbrk,2011-07-07,29,2,3
cnnbrk,2011-07-08,21,2,3
DalaiLama,2011-05-13,1,1,0
DalaiLama,2011-05-14,1,1,0
DalaiLama,2011-05-16,1,1,0
DalaiLama,2011-05-17,1,0,1
DalaiLama,2011-05-18,1,1,0
DalaiLama,2011-05-19,1,0,0
DalaiLama,2011-05-20,1,1,0
DalaiLama,2011-05-21,1,1,0
DalaiLama,2011-05-22,1,0,0
DalaiLama,2011-05-23,1,1,0
DalaiLama,2011-05-24,1,1,0
DalaiLama,2011-05-25,1,1,0
DalaiLama,2011-05-27,1,1,0
DalaiLama,2011-05-28,1,0,0
DalaiLama,2011-05-30,1,1,0
DalaiLama,2011-05-31,1,1,0
DalaiLama,2011-06-01,1,0,0
DalaiLama,2011-06-03,1,0,1
DalaiLama,2011-06-04,1,1,0
DalaiLama,2011-06-05,1,0,0
DalaiLama,2011-06-06,1,0,0
DalaiLama,2011-06-07,1,1,0
DalaiLama,2011-06-08,2,0,0
DalaiLama,2011-06-09,1,0,0
DalaiLama,2011-06-10,1,1,0
DalaiLama,2011-06-11,1,0,0
DalaiLama,2011-06-13,1,1,0
DalaiLama,2011-06-14,1,1,0
DalaiLama,2011-06-15,1,0,1
DalaiLama,2011-06-16,1,1,0
DalaiLama,2011-06-17,1,1,0
DalaiLama,2011-06-18,1,1,0
