target_user,create_date,total_tweet_count,total_user_count,positive_tweet_count,positive_user_count,negative_tweet_count,negative_user_count
aplusk,2011-05-13,11405,10028,3363,3156,775,740
aplusk,2011-05-14,14652,12900,6081,5669,1046,987
aplusk,2011-05-15,5382,4617,2392,2176,364,355
aplusk,2011-05-16,1977,1704,835,764,136,128
aplusk,2011-05-17,4366,3590,1288,1140,552,470
aplusk,2011-05-18,1780,1439,596,533,153,138
aplusk,2011-05-19,2130,1827,692,623,284,273
aplusk,2011-05-20,1588,1370,489,436,160,154
aplusk,2011-05-21,1328,1172,350,319,104,98
aplusk,2011-05-22,863,747,240,222,69,64
aplusk,2011-05-23,1355,1038,486,327,86,79
aplusk,2011-05-24,4582,3336,1635,1193,290,272
aplusk,2011-05-25,1975,1615,568,486,161,147
aplusk,2011-05-26,3470,3078,871,813,255,210
aplusk,2011-05-27,4143,3679,1217,1089,1088,1065
aplusk,2011-05-28,1770,1412,502,440,308,296
aplusk,2011-05-29,1176,990,352,303,139,136
aplusk,2011-05-30,716,613,186,173,74,72
aplusk,2011-05-31,1277,1034,450,391,104,93
aplusk,2011-06-01,1588,1368,287,263,198,185
aplusk,2011-06-02,1013,784,353,277,95,89
aplusk,2011-06-03,1014,795,261,238,79,69
aplusk,2011-06-04,1589,1209,465,388,229,213
aplusk,2011-06-05,1425,1035,545,407,114,106
aplusk,2011-06-06,3445,2887,1206,1072,231,220
aplusk,2011-06-07,2309,2007,746,675,196,186
aplusk,2011-06-08,1524,1199,497,405,164,153
aplusk,2011-06-09,1237,1058,341,316,159,150
aplusk,2011-06-10,1920,1601,533,461,284,273
aplusk,2011-06-11,1716,1576,360,344,106,95
aplusk,2011-06-12,1534,1304,601,543,167,159
aplusk,2011-06-13,3371,2746,592,499,164,150
aplusk,2011-06-14,2486,1918,493,434,151,112
aplusk,2011-06-15,1919,1442,642,495,113,104
aplusk,2011-06-16,1444,1106,195,176,87,81
aplusk,2011-06-17,1457,1175,281,243,131,123
aplusk,2011-06-18,1469,1244,367,311,175,166
aplusk,2011-06-19,1365,1147,412,373,155,150
aplusk,2011-06-20,2131,1726,456,422,236,229
aplusk,2011-06-21,1545,1209,485,418,205,186
aplusk,2011-06-22,1243,912,423,282,124,111
aplusk,2011-06-23,1276,994,480,344,122,120
aplusk,2011-06-24,1543,1275,463,365,121,115
aplusk,2011-06-25,961,819,248,212,197,189
aplusk,2011-06-26,3984,3374,1589,1450,483,462
aplusk,2011-06-27,2396,2011,768,669,263,247
aplusk,2011-06-28,2291,1933,1334,1197,174,168
aplusk,2011-06-29,1321,1098,572,506,94,87
aplusk,2011-06-30,3415,2729,1018,884,654,611
aplusk,2011-07-01,3284,2444,870,717,919,796
aplusk,2011-07-02,2932,2183,888,757,590,514
aplusk,2011-07-03,7049,5239,1310,1079,914,716
aplusk,2011-07-04,4547,3434,865,704,449,376
aplusk,2011-07-05,2922,2415,543,481,148,137
aplusk,2011-07-06,3412,2859,838,749,327,309
aplusk,2011-07-07,2116,1458,601,425,192,148
aplusk,2011-07-08,1723,1306,544,483,195,119
BarackObama,2011-05-13,9550,8425,5859,5653,734,647
BarackObama,2011-05-14,4184,3032,1387,1219,640,514
BarackObama,2011-05-15,4663,3704,1347,1156,872,727
BarackObama,2011-05-16,2885,2329,777,677,503,449
BarackObama,2011-05-17,5357,4281,1452,1268,749,659
BarackObama,2011-05-18,3729,2801,939,801,702,555
BarackObama,2011-05-19,5018,3710,1256,1091,890,692
BarackObama,2011-05-20,9148,6129,2754,2165,1667,1201
BarackObama,2011-05-21,6164,4249,1677,1273,1028,758
BarackObama,2011-05-22,4485,3087,1243,1019,804,620
BarackObama,2011-05-23,5405,3903,1691,1406,800,640
BarackObama,2011-05-24,9682,7317,3070,2662,1050,909
BarackObama,2011-05-25,8241,6076,2349,2008,1087,835
BarackObama,2011-05-26,6432,5059,1570,1370,891,741
BarackObama,2011-05-27,6241,4931,1270,1099,2196,1953
BarackObama,2011-05-28,4799,3821,1089,914,927,788
BarackObama,2011-05-29,3554,2913,771,678,486,406
BarackObama,2011-05-30,4989,3858,1283,985,1107,983
BarackObama,2011-05-31,4480,3644,1631,1451,676,607
BarackObama,2011-06-01,3392,2396,960,768,718,567
BarackObama,2011-06-02,4632,3397,1422,1206,815,606
BarackObama,2011-06-03,3229,2283,862,701,718,497
BarackObama,2011-06-04,4447,3150,1071,854,699,533
BarackObama,2011-06-05,4105,3348,1327,1190,445,366
BarackObama,2011-06-06,2404,1787,601,502,407,337
BarackObama,2011-06-07,3047,2191,756,635,465,366
BarackObama,2011-06-08,5407,4405,1260,1112,645,535
BarackObama,2011-06-09,5413,4088,1360,1125,850,705
BarackObama,2011-06-10,4017,3268,1459,1374,492,433
BarackObama,2011-06-11,3136,2397,806,724,495,364
BarackObama,2011-06-12,3531,2615,985,852,618,471
BarackObama,2011-06-13,3399,2537,851,723,419,338
BarackObama,2011-06-14,6041,4318,1632,1369,967,786
BarackObama,2011-06-15,6359,4489,2055,1825,727,578
BarackObama,2011-06-16,3959,3229,1622,1460,519,469
BarackObama,2011-06-17,6062,5046,2100,1896,587,510
BarackObama,2011-06-18,8165,6864,2578,2332,656,551
BarackObama,2011-06-19,4570,3738,1521,1396,420,355
BarackObama,2011-06-20,6600,5430,3072,2836,525,411
BarackObama,2011-06-21,6321,4984,1762,1584,880,728
BarackObama,2011-06-22,5019,3706,1531,1325,974,785
BarackObama,2011-06-23,6026,4437,2073,1775,1055,864
BarackObama,2011-06-24,5585,3964,1680,1395,980,799
BarackObama,2011-06-25,5995,4637,1960,1757,919,738
BarackObama,2011-06-26,6815,5553,2112,1862,940,826
BarackObama,2011-06-27,3358,2462,809,658,556,443
BarackObama,2011-06-28,5410,3842,1666,1377,929,752
BarackObama,2011-06-29,9439,7636,5505,4819,711,570
BarackObama,2011-06-30,10600,8547,5044,4638,1228,996
BarackObama,2011-07-01,6950,5458,2173,1907,1122,937
BarackObama,2011-07-02,3094,2426,1057,944,616,531
BarackObama,2011-07-03,3209,2258,970,773,590,446
BarackObama,2011-07-04,8062,6032,1738,1493,3871,3231
BarackObama,2011-07-05,5268,4075,1681,1433,912,741
BarackObama,2011-07-06,5630,4293,1351,1132,933,797
BarackObama,2011-07-07,10171,7318,2802,2319,1781,1415
BarackObama,2011-07-08,9195,6216,3731,2986,1823,1270
BBCBreaking,2011-05-13,357,267,46,41,81,75
BBCBreaking,2011-05-14,665,588,49,46,190,182
BBCBreaking,2011-05-15,110,46,17,12,11,7
BBCBreaking,2011-05-16,381,306,47,42,42,33
BBCBreaking,2011-05-17,409,321,48,39,89,81
BBCBreaking,2011-05-18,472,369,51,47,74,58
BBCBreaking,2011-05-19,728,568,187,171,85,70
BBCBreaking,2011-05-20,1073,928,278,262,359,345
BBCBreaking,2011-05-21,529,429,87,79,155,144
BBCBreaking,2011-05-22,166,95,24,17,49,40
BBCBreaking,2011-05-23,596,507,61,53,124,115
BBCBreaking,2011-05-24,1130,957,298,284,148,138
BBCBreaking,2011-05-25,437,340,101,94,81,72
BBCBreaking,2011-05-26,359,283,65,57,60,49
BBCBreaking,2011-05-27,495,410,72,66,84,74
BBCBreaking,2011-05-28,206,114,21,18,33,17
BBCBreaking,2011-05-29,108,47,17,10,16,9
BBCBreaking,2011-05-30,125,53,13,5,9,4
BBCBreaking,2011-05-31,254,175,26,23,56,50
BBCBreaking,2011-06-01,482,386,72,63,113,100
BBCBreaking,2011-06-02,447,359,231,225,76,58
BBCBreaking,2011-06-03,342,243,52,49,68,60
BBCBreaking,2011-06-04,166,118,26,21,34,22
BBCBreaking,2011-06-05,70,47,9,9,9,9
BBCBreaking,2011-06-06,128,123,10,10,38,36
BBCBreaking,2011-06-07,129,80,17,17,34,34
BBCBreaking,2011-06-08,243,163,31,25,66,64
BBCBreaking,2011-06-09,366,214,36,24,133,103
BBCBreaking,2011-06-10,461,416,177,175,100,96
BBCBreaking,2011-06-11,153,128,34,28,69,61
BBCBreaking,2011-06-12,157,79,20,20,29,29
BBCBreaking,2011-06-13,176,82,30,24,28,22
BBCBreaking,2011-06-14,200,151,33,32,16,14
BBCBreaking,2011-06-15,97,69,14,14,17,17
BBCBreaking,2011-06-16,63,59,17,16,5,4
BBCBreaking,2011-06-17,287,278,28,28,135,133
BBCBreaking,2011-06-18,76,73,36,35,9,9
BBCBreaking,2011-06-19,33,22,6,5,10,6
BBCBreaking,2011-06-20,117,110,19,18,62,62
BBCBreaking,2011-06-21,181,170,23,23,44,44
BBCBreaking,2011-06-22,157,149,46,46,42,41
BBCBreaking,2011-06-23,160,146,74,73,43,42
BBCBreaking,2011-06-24,134,126,28,27,25,25
BBCBreaking,2011-06-25,523,504,287,284,116,115
BBCBreaking,2011-06-26,36,35,13,13,7,7
BBCBreaking,2011-06-27,281,265,45,43,34,34
BBCBreaking,2011-06-28,59,49,16,15,9,7
BBCBreaking,2011-06-29,262,241,58,57,52,51
BBCBreaking,2011-06-30,46,44,8,8,7,7
BBCBreaking,2011-07-01,223,215,40,39,32,30
BBCBreaking,2011-07-02,125,115,29,28,61,60
BBCBreaking,2011-07-03,144,136,99,97,17,15
BBCBreaking,2011-07-04,151,147,20,20,23,23
BBCBreaking,2011-07-05,70,69,17,17,19,19
BBCBreaking,2011-07-06,380,354,124,123,50,49
BBCBreaking,2011-07-07,245,236,22,22,65,64
BBCBreaking,2011-07-08,645,619,100,97,89,87
BillGates,2011-05-13,299,264,69,65,61,59
BillGates,2011-05-14,226,200,55,45,22,20
BillGates,2011-05-15,188,168,60,57,15,14
BillGates,2011-05-16,230,208,61,58,24,23
BillGates,2011-05-17,791,623,257,227,45,44
BillGates,2011-05-18,762,677,199,188,143,130
BillGates,2011-05-19,383,315,116,108,53,47
