date,gallup_approve,gallup_disapprove,total_tweet_count,total_user_count,positive_tweet_count,negative_tweet_count,positive_user_count,negative_user_count,postive_tweet_rate,negative_tweet_rate,postive_user_rate,negative_user_rate
May 13-15,0.46,0.44,6132,5054,2864,749,2676,629,0.4113,0.1389,0.4617,0.1475
May 14-16,0.48,0.43,3911,3022,1170,672,1017,563,0.2966,0.1714,0.3349,0.1862
May 15-17,0.48,0.43,4302,3438,1192,708,1034,612,0.2764,0.1671,0.2997,0.1810
May 16-18,0.50,0.43,3990,3137,1056,651,915,554,0.2641,0.1675,0.2909,0.1816
May 17-19,0.49,0.43,4701,3597,1216,780,1053,635,0.2577,0.1685,0.2921,0.1795
May 18-20,0.49,0.43,5965,4213,1650,1086,1352,816,0.2677,0.1826,0.3111,0.1935
May 19-21,0.49,0.43,6777,4696,1896,1195,1510,884,0.2745,0.1755,0.3156,0.1870
May 20-22,0.50,0.42,6599,4488,1891,1166,1486,860,0.2834,0.1761,0.3276,0.1917
May 21-23,0.51,0.42,5351,3746,1537,877,1233,673,0.2874,0.1647,0.3300,0.1811
May 22-24,0.53,0.41,6524,4769,2001,885,1696,723,0.3024,0.1452,0.3514,0.1630
May 23-25,0.52,0.42,7776,5765,2370,979,2025,795,0.3050,0.1295,0.3515,0.1419
May 24-26,0.51,0.41,8118,6151,2330,1009,2013,828,0.2821,0.1263,0.3217,0.1360
May 25-27,0.49,0.43,6971,5355,1730,1391,1492,1176,0.2442,0.2074,0.2747,0.2267
May 26-28,0.46,0.45,5824,4604,1310,1338,1128,1161,0.2248,0.2279,0.2443,0.2496
May 27-29,0.47,0.44,4865,3888,1043,1203,897,1049,0.2158,0.2273,0.2316,0.2472
May 28-31,0.49,0.42,4278,3459,1164,696,1014,600,0.2693,0.1603,0.2900,0.1707
May 29-Jun 1,0.53,0.39,3809,2984,1121,627,966,527,0.2880,0.1664,0.3172,0.1809
May 31-Jun 2,0.51,0.42,4168,3146,1338,736,1142,593,0.3180,0.1795,0.3579,0.1939
Jun 1-3,0.48,0.44,3751,2692,1081,750,892,557,0.2857,0.2033,0.3275,0.2109
June 2-4,0.47,0.45,4103,2943,1118,744,920,545,0.2716,0.1852,0.3111,0.1884
Jun 3-5,0.49,0.43,3927,2927,1087,621,915,465,0.2770,0.1626,0.3112,0.1654
Jun 4-6,0.50,0.40,3652,2762,1000,517,849,412,0.2714,0.1450,0.3025,0.1557
Jun 5-7,0.49,0.41,3185,2442,895,439,776,356,0.2738,0.1434,0.3087,0.1550
Jun 6-8,0.46,0.44,3619,2794,872,506,750,413,0.2437,0.1471,0.2744,0.1590
Jun 7-9,0.45,0.46,4622,3561,1125,653,957,535,0.2441,0.1430,0.2725,0.1537
Jun 8-10,0.46,0.45,4946,3920,1360,662,1204,558,0.2825,0.1329,0.3160,0.1421
Jun 9-11,0.46,0.44,4189,3251,1208,612,1074,501,0.2905,0.1458,0.3326,0.1523
Jun 10-12,0.47,0.45,3561,2760,1083,535,983,423,0.2997,0.1518,0.3494,0.1548
Jun 11-13,0.47,0.46,3355,2516,881,511,766,391,0.2621,0.1520,0.3043,0.1551
Jun 12-14,0.47,0.47,4324,3157,1156,668,981,532,0.2665,0.1528,0.3093,0.1651
Jun 13-15,0.46,0.46,5266,3781,1513,704,1306,567,0.2812,0.1326,0.3362,0.1480
Jun 14-16,0.45,0.47,5453,4012,1770,738,1551,611,0.3343,0.1352,0.3919,0.1520
Jun 15-17,0.46,0.46,5460,4255,1926,611,1727,519,0.3598,0.1141,0.4115,0.1250
Jun 16-18,0.49,0.44,6062,5046,2100,587,1896,510,0.3573,0.1028,0.3892,0.1089
Jun 17-19,0.49,0.43,6266,5216,2066,554,1875,472,0.3317,0.0897,0.3630,0.0921
Jun 18-20,0.45,0.48,6445,5344,2390,534,2188,439,0.3713,0.0839,0.4118,0.0836
Jun 19-21,0.43,0.49,5830,4717,2118,608,1939,498,0.3590,0.1036,0.4045,0.1056
Jun 20-22,0.43,0.50,5980,4707,2122,793,1915,641,0.3497,0.1376,0.3992,0.1445
Jun 21-23,0.45,0.47,5789,4376,1789,970,1561,792,0.3093,0.1695,0.3585,0.1842
Jun 22-24,0.45,0.48,5543,4036,1761,1003,1498,816,0.3166,0.1815,0.3698,0.2027
Jun 23-25,0.44,0.49,5869,4346,1904,985,1642,800,0.3239,0.1679,0.3770,0.1851
Jun 24-26,0.43,0.49,6132,4718,1917,946,1671,788,0.3125,0.1556,0.3554,0.1698
Jun 25-27,0.44,0.48,5389,4217,1627,805,1426,669,0.2926,0.1523,0.3272,0.1626
Jun 26-28,0.45,0.46,5194,3952,1529,808,1299,674,0.2863,0.1584,0.3203,0.1748
Jun 27-29,0.46,0.46,6069,4647,2660,732,2285,588,0.3774,0.1375,0.4189,0.1501
Jun 28-30,0.44,0.47,8483,6675,4072,956,3611,773,0.4557,0.1210,0.5107,0.1290
Jun 29-Jul 1,0.45,0.47,8996,7214,4241,1020,3788,834,0.4572,0.1175,0.5077,0.1210
Jun 30-Jul 2,0.45,0.47,6881,5477,2758,989,2496,821,0.3767,0.1588,0.4271,0.1690
Jul 1-3,0.47,0.46,4418,3381,1400,776,1208,638,0.3189,0.1815,0.3603,0.1960
Jul 2-5,0.45,0.47,3857,2920,1236,706,1050,573,0.3210,0.1854,0.3610,0.1994
Jul 3-6,0.46,0.47,4702,3542,1334,812,1113,661,0.2871,0.1742,0.3192,0.1883
Jul 5-7,0.47,0.44,7023,5229,1945,1209,1628,984,0.2782,0.1713,0.3107,0.1870
Jul 6-8,0.46,0.45,8332,5942,2628,1512,2146,1161,0.3071,0.1797,0.3536,0.1944
