"","tf"
"이벤트",56
"8월",50
"2011년",48
"26",48
"26일",48
"그날",48
"스타",48
"스타일",48
"패셔니스타킹",48
"패션킹",48
"패션킹이",48
"19일",47
"19",47
"1탄",47
"9월",47
"item",47
"국민",47
"드리다",47
"지원",47
"패셔니스타",47
"선착순",43
"1만원",41
"5천원",40
"구매",40
"네이버",40
"이상",40
"상당",39
"선착순으",39
"나누다",38
"고객",32
"주다",27
"체크아웃패션상품",27
"샤이",22
"패션상품",22
"체크아웃",19
"놓지마",12
"정신줄",12
"1만원이",11
"5천원상당",11
"191화",10
"네이버만화",10
"웹툰",10
"다시보기",8
"특집",8
"구매고객",7
"샤이니",7
"귀엽다",6
"닥본사",6
"샤이니가",6
"샤이니특집",6
"받다",5
"좋다",5
"진짜",5
