program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_happysunday_men	ardobi2	POST	pyc0haq-gjt3		2011-09-08	남자 자격 에서 화제 모으다 이경규 이경규의 꼬꼬면 출시 배경 숨기다 이야기 공개
kbs2_happysunday_men	iys9086	POST	pyc0ojk-_0sxw		2011-09-08	남격2 윤학원님 부드러움의미학
kbs2_happysunday_men	ehddldus5	POST	pyc35bt-5k8wi		2011-09-08	이게 남격 남격의 이경규 이경규가 만들다 라면 라면이구
kbs2_happysunday_men	buby2boy	POST	pyc39ub-yvdhv		2011-09-08	남자 남다 의 자격 멤버
kbs2_happysunday_men	jiwksi	POST	pyc3on6-91ny		2011-09-08	tagsmile 남격 아이돌 히트곡 메들리 메들리에 아돈케 있따 tagexclamation tagexclamation 되다 tagexclamation 이적 패러디랄까
kbs2_happysunday_men	ester3807	POST	pyc50qc-_qq9i		2011-09-06	박칼린씨 젊었을때 생머리였죠 tagquestion 그때 틀수 없다 박칼린씨 발굴 제가 제 했죠 머리 짧다 하다 하 남자 자격 노래 노랗다 곡목
kbs2_happysunday_men	spastar7	POST	pyc578g-5x8tg		2011-09-05	남자 자격 김태원 남자 자격 김태원 네티즌 무섭다 실력 아니다 구설수
kbs2_happysunday_men	liongod	POST	pyc5k53-skgj		2011-09-06	남자 자격 남자 남다 11만4 천원 입다 마킹값 10파운드 18000원 여기 가져오다 친구놈 저녁비 운송료 제외
kbs2_happysunday_men	jts5933	POST	pyc5qv2-52_ej		2011-09-05	꿀포츠김성록 남자의자격김성록
kbs2_happysunday_men	rockship	POST	pyc5wu2-yemy		2011-09-06	39 남격 39 김태원 김태원이 받다 39 내시경 위암 절제술 39 중단 왜 외다 tagquestion 2cm 미만 esd 보험적용 그럼 2.5cm 면 개복수술 tagquestion 보건복지부 운영 잘못 보건재정 빵구 빵구난걸 왜 외다 환자들한테 덮어씌우다 ㅗ joinsmsn
kbs2_happysunday_men	icemocca	POST	pyc5zn8-mbrp		2011-09-05	금오공대 평생교육원 실시 우쿨렐레 강의 신청했당 tagexclamation 기타 손가락 아파서 포기 하다 손가락 덜아파보 덜아파보이 덜아파보이는 우쿨렐레 어서어서 배우다 배우 싶당 tagsmile 때마침 오늘 남격 우쿨렐레 우쿨렐레로 연주 노래 노랗다 하찌 하찌와 tj tj의 별총총 별총총이 별총총이라 노래 배경음악 깔리다 tagsmile 2030 미투광장 내동생 내동생이 십만원 지원해줬당 tagexclamation tagsmile 생유베리감사
kbs2_happysunday_men	insos02	POST	pyc61s5-_8lnw		2011-09-07	해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04 해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04
kbs2_happysunday_men	dnf_media	POST	pyc68rq-ye7r1		2011-09-07	추석아바타 사도 후예 공개 와우 전 절다 이제 새 키우다 남격한테 입히다 아니다 도적한테 입히다 고민이에 tagexclamation 디스 본캐 본캐인 여거너 입히다 tagquestion 고민 tagcry
kbs2_happysunday_men	rnjs0526	POST	pyc69s1-5l3no		2011-09-06	여격 남격한테 수플렉스 tagexclamation 백드롭 tagexclamation
kbs2_happysunday_men	ksjlike00	POST	pyc6g79-yztjq		2011-09-07	1박2 일 시청자투어 참여 사람 참 차다 행복해보 남자의자격 청춘합창단 참여 사람 행복해보 감동 뭉클해 나도행복하게살고싶다
kbs2_happysunday_men	lma9019	POST	pyc6m5n-y6ucx		2011-09-07	꼬꼬면후기남자 자격 경규 옹 대작 꼬꼬면 맛 어떠 tagquestion
kbs2_happysunday_men	insos02	POST	pyc6sx4-_8lnw		2011-09-07	해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04 해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04
kbs2_happysunday_men	yogb99	POST	pyc6_t5-ygf0e		2011-09-07	남양주시동부노인복지관 발도장 tagexclamation 요즘 남자 자격에서실버합창단 하면서큰 인기 얻고있잖아 얻고있잖아요 저희 저희도 실버합창단 개설해서운영하고있답니 tagsmile 다들잘 다들잘하시는데 소리 저장할수없다는게아쉽네요 tagsmile via 아임in
kbs2_happysunday_men	insos02	POST	pycd49b-_8lnw		2011-09-05	해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04 해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04
kbs2_happysunday_men	ga4180	POST	pycdm0g-_dwlf		2011-09-09	꼬꼬면 tagexclamation 이경규 이경규가 남격 라면대회편 만든건데 오늘 처음 먹네 먹네요 담백 맛있다 tagexclamation
kbs2_happysunday_men	dbxhvi2	POST	pycdq60-_w3wz		2011-09-05	해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04 해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04
kbs2_happysunday_men	wait1031	POST	pycdsye-yn0br		2011-09-08	남자의자격을보니다시호주로휭떠나고싶다
kbs2_happysunday_men	rlxo7692	POST	pycdtdw-y80hk		2011-09-07	보다 보 사촌형 나 남자 자격 잃다
kbs2_happysunday_men	barunmadi	POST	pycdv76-_i4s2		2011-09-05	어깨통증 남격 청춘합창단 김태원 어깨통증 호소 호다 tagexclamation
kbs2_happysunday_men	nkokon	POST	pycdxxx-kwd		2011-09-05	남격 남격이 좀 조다 재미 탓 있다 같다 더보기 런닝맨 예 daum미디어다음
kbs2_happysunday_men	dyogomanan	POST	pyce9c3-y18r4		2011-09-08	남자 자격 청춘합창단 재방 보다 보다 내 참 차다 부끄럽다 아직 20대 20대인 나다 나 이렇게 바보 신세한탄 집 뒹굴뒹굴 뒹굴뒹굴하 있다 50대 50대를 넘다 60,70,80세 60,70,80세가 되다 노래 대한 대하다 열정 간절 20대 못다 않다 것 보는내 보는내내 반성 나중 나이먹고 후회 말다 지금 주어지다 시간 최선 다하다 tagexclamation
kbs2_happysunday_men	amano1004	POST	pycerux-y15d5		2011-09-08	한국야쿠르트 팔도라면 남자 자격 라면대회 인정 바 라면 이경규 꼬꼬면 tagexclamation
kbs2_happysunday_men	dnf_media	POST	pyckpxf-ye7r1		2011-09-08	남격 패키지 패키지를 사다 오즈마 칭호 나오다 헐 제기다 고민 본캐 여거너 패키지 패키지도 사다 우아 tagexclamation 디레지 디레지에 칭호에 칭호에요 tagexclamation 하나 하다 하 받다 칭호 디레지에플래티넘이에 디레지에플래티넘이에요 돈 굳다 디스 이거슨 자랑 자
kbs2_happysunday_men	minirei333	POST	pycy_jb-yfmel		2011-09-05	청춘합창단 보다 남자의자격 이러기 있다 tagquestion 박완규 낫다 나 머리 긴거 긴거야 뭐 내 짧다 자르다 그럴수 있다 치다 치 머리결 낫다 나 좋다 tagquestion 이건 아니자 tagcry 나도 나다 나 찰랑찰랑찰랑찰랑 긴생머리 언제쯤 해볼라 해볼라나
kbs2_happysunday_men	redna0	POST	pyc_7fx-_bvwm		2011-09-05	공덕역 5,6호선 발도장 tagexclamation 선선 아주 기분좋게 잠들 있다 같다 저녁 tagsmile 나가수 나가수랑 남자 자격 청춘 합창단 보다 보 다음추석연휴 일욜 일욜이 기다리다 그날 오후근무 예정되어 좋다 일주 뒤면 볼 보다 있다 꺄아 tagsmile via 아임in
kbs2_happysunday_men	insos02	POST	pyc_d2j-_8lnw		2011-09-06	해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04 해피선데 해피선데이 남자의자격 무료다시보기 2011-09-04
kbs2_happysunday_men	wlsgk2413	POST	pyc_m2m-_igc6		2011-09-09	나정말 그여자로써 그여자로써의 남자친구 자격 충분 tagquestion
kbs2_happysunday_men	ykm010621	POST	pyc_vcj-x7dv		2011-09-05	남자의자격 넬라판타지아 동요메들리 우리 학예회때 할꺼 tagcry 싫다
kbs2_happysunday_men	hdh9923	POST	pyc__ea-yyahl		2011-09-05	축하 사랑 이르다 이름 더하다 더하 kbs 남자의자격 합창단 본선진출
kbs2_happysunday_men	julietta1225	POST	pym2z9m-w2o7		2011-09-05	남격보면서 우 중 tagcry 윤학원쌤 김태원아쟈씨 청춘합창단 쵝오 tagexclamation 남격 윤학원 김태원 청춘합창단 tagexclamation 캐감동
