program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_princess	eratoskin	POST	pyc0_2c-ybst1		2011-09-09	공 몸종 미다 문채원 문채원과 친분과시 아가씨 바보 등극
kbs2_princess	mcw1113	POST	pyc10gi-_w1f9		2011-09-09	핫존 공주 남자 남다 문채원 악플 악플이 약 되다 문채원 공주의남자 뽕빠손이약손
kbs2_princess	mcw1113	POST	pyc10z5-_w1f9		2011-09-09	인터뷰문채원 활 공 모두 제게 행운 같다 일 문채원 공주의남자 세령이짜응
kbs2_princess	mcw1113	POST	pyc1e5l-_w1f9		2011-09-09	사극퀸 문채원 추석 연휴 공 과 고다 함 인터뷰 문채원 공주의남자 문배우도메리추석촬영 이데일리
kbs2_princess	mcw1113	POST	pyc1e9d-_w1f9		2011-09-09	문채원 강인 강 애절 연기 공주 남자 남다 이끌다 흥행 1등공신 문채원 공주의남자 세령이가살린다 tagexclamation
kbs2_princess	stylisthanul	POST	pyc1st9-_w5s7		2011-09-10	사극퀸 문채원 추석 연휴 공 과 고다 함 인터뷰
kbs2_princess	mcw1113	POST	pyc36hm-_w1f9		2011-09-07	사극 공 영상미 왜 외다 그렇다 빼어나다 하다 osen 문채원 박시후 공주의남자 사랑해요레드원
kbs2_princess	lyw322	POST	pyc373h-5u8zk		2011-09-09	공주 남자 남다 시청률 20퍼센트 넘다 헉 나도 나다 나 보다 tagquestion tagquestion tagsmile
kbs2_princess	haeun528	POST	pyc3f39-779c		2011-09-07	ㅇ 머 tagexclamation 어머어머어머 tagexclamation 오늘 수요일 tagquestion 흐흐흐흐흐흐흐 공부 해서 하다 빨다 집 온다음 tv tv를 키다 키 kbs2 kbs2로 채널고정 하다 하 날이구 날이구만 흐흐흐흐 공 뺭야뺭야뺭야 우이씨 기분 좋아지다 꺄르르르르 꺄르르르르를 tagexclamation
kbs2_princess	30park_01	POST	pyc592n-_flle		2011-09-09	공주 남자 남다 수양대군 이중생활
kbs2_princess	hdmehdme	POST	pyc5fnx-_8l0b		2011-09-09	패션 김영선의원 사극퀸 문채원 추석 연휴 공 과 고다 함 인터뷰 의류
kbs2_princess	tbworld_tv	POST	pyc5puo-_clkj		2011-09-09	공 박시후 문채원 문채원과 도망 가나 가다 가 눈빛 흔들 tbworld
kbs2_princess	kdu9113	POST	pyc5qpy-58dj_		2011-09-09	공주 남자 남다 완전 잘시청 잘시청하 잘시청하는 1인이에 1인이에요 친구소개 ghdudrnfu
kbs2_princess	shjsl0110	POST	pyc5rbb-_hvq6		2011-09-10	여러분 정말 오랜만이에 네일 모래 추석이죠 tagquestion 행복 한가위 되다 이유 공주 남자 남다 출연진 한가위 인사 올리다 즐겁다 한가위 되다
kbs2_princess	ljy9644	POST	pyc5uz7-msv4		2011-09-09	공주 남자 남다 15화 16화 토렌트 입니당 tagsmile
