program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs_homewomen	lovelycong00	POST	pyc08_9-5uo57		2011-09-08	유소영 티셔츠 스커트 우리집여자들80 회 유소영 이세 옷 패션 스트라이프티셔츠 캉캉숏츠 의상정보
kbs_homewomen	6a0d7172	POST	pyc0eny-ygq6p		2011-09-09	우리집 여자 o.s.t
kbs_homewomen	jiruhecom	POST	pyc0jq4-_50e_		2011-09-07	우리집여자 83회 9월7 일 토도우
kbs_homewomen	sch8736	POST	pyc0_oc-5hl69		2011-09-07	우리집여자 다시보기우리집 여자 83회 토렌트다운 다시보기 줄거리
kbs_homewomen	lovelycong00	POST	pyc196z-5uo57		2011-09-09	정은채 패션 우리집여자들84 회 85회 정은채 고은님 옷 의상정보 케이프블라우스 리스트
kbs_homewomen	nutrilite_sw	POST	pyc1hw1-5g09y		2011-09-10	우리집 여자 우리집 여자 85회 다시보기
kbs_homewomen	jiruhecom	POST	pyc1oy0-_50e_		2011-09-10	우리집여자 85회 9월9 일 토도우
kbs_homewomen	lovelycong00	POST	pyc39u5-5uo57		2011-09-07	정은채 블라우스 우리집여자들80 회 정은채 고은님 옷 패션스타일 패션스타 큐빅카 큐빅카라 블라우스 의상정보
kbs_homewomen	insos02	POST	pyc3ai0-_8lnw		2011-09-09	우리집여자 무료 다시보기 84회 2011-09-08 우리집여자 무료 다시보기 84회 2011-09-08
kbs_homewomen	hhymhs	POST	pyc51_y-_9kdl		2011-09-06	향꿩 향꿩이 러브레터 2 우리 커플 존중 배려 멋지다 커플 오빠 많다 추억 떠오르다 어떠 요소 우리 막다 못하다 이번 이번에 서울집 정리 하다 얼마 행복 몰다 여자 한번쯤 꿈꾸다 동화 삶 사랑 삶 실현 고맙다 내 꿈꾸다 사람 사다 그런사람 세상 없을거란 생각 하다 하 살다 그런사람 내 내다 옆 나타나다 난 나다 날다 정말 축복 사람 tagsmile 내 내다 전부 걸다 죽을때 오빠 옆 있다 평생 함께하자 사랑 권재황 taglove
kbs_homewomen	kmediabox	POST	pyc5epo-_1l70		2011-09-08	토도우 우리집 여자 84회 9월8 일 다시보기
kbs_homewomen	adonislo	POST	pyc5o0r-yf_mj		2011-09-09	걸스데 걸스데이 girl s day honey honey inst 네이버앱 음악검색 우리집 여자 ost part 1
kbs_homewomen	guntaeng2	POST	pyc5qwv-y2295		2011-09-09	방금 사무실 방송 어떤 여자분 목소리 나오다 사람 표정 다 저 똑같다 표정 똑같다 생각 tagsmile 간절 단축근무 tagsmile 근데 다르다 방송 tagcry 사장님 집 가죠 우리 tagcry 단축근무 말 거다 빨다 말 tagcry 괜 밀당하지 tagsmile
kbs_homewomen	junes26	POST	pyc60f3-yxvov		2011-09-10	우리집 여자 84회 9월8 일 방송 보기 보다
kbs_homewomen	junes26	POST	pyc60q5-yxvov		2011-09-10	우리집 여자 85회 9월9 일 방송 보기 보다
kbs_homewomen	insos02	POST	pyc69su-_8lnw		2011-09-07	우리집여자 무료 다시보기 82회 2011-09-06 우리집여자 무료 다시보기 82회 2011-09-06
kbs_homewomen	socialxe	POST	pyc6cr7-yn3o3		2011-09-10	우리집 여자 e79.110901.hdtv.h264.720p with.mp4 감사 torretkorea.kr
kbs_homewomen	seo-hanalife	POST	pyc6n1i-_0k2s		2011-09-06	평소 동생 전 절다 연인 자주 오해 받다 하죠 늘다 사람 이야기하죠 남자친구 참 차다 훤칠하다 예쁘다 아가씨 좋다 오늘 그랬죠 tagcry 오늘 동생 웃다 저 누나 다닐때 여자친구 참 차다 예쁘다 학생 좋겠다는말 들어보고싶다 얼굴 문제 인줄알았는데 집 전화오길래 받다 우리엄마왈 누나바꿔봐 전 절다 어떻다 해야 해야하 해야하나 해야하나요 tagquestion tagcry tagcry tagcry tagcry tagcry
kbs_homewomen	o-dana	POST	pyc6s3c-ll78		2011-09-07	아 tagsmile 우리집여자 스토리 눈 보 tagsmile 분명 진 백혈병이겟지 은님이 은님이가 골수이식 하다 아 근데설마이렇게 tagsmile tagquestion
kbs_homewomen	insos02	POST	pyc6st0-_8lnw		2011-09-07	우리집여자 무료 다시보기 82회 2011-09-06 우리집여자 무료 다시보기 82회 2011-09-06
kbs_homewomen	jiruhecom	POST	pycbbd8-_50e_		2011-09-09	우리집여자 84회 9월8 일 토도우
kbs_homewomen	zmfflr010	POST	pycbflq-5deks		2011-09-10	이런써니텐에만반응하는여자 tagsmile 우리집앞세븐일레븐에서득탬
kbs_homewomen	nutrilite_sw	POST	pycb__z-5g09y		2011-09-09	우리집 여자 우리집 여자 84회 다시보기
kbs_homewomen	junes26	POST	pycd2m2-yxvov		2011-09-08	우리집 여자 83회 9월7 일 방송 보기 보다
kbs_homewomen	junes26	POST	pycd2ol-yxvov		2011-09-08	우리집 여자 82회 9월6 일 방송 보기 보다
kbs_homewomen	mople	POST	pycd4w0-ybyr8		2011-09-08	우리집여자 84회 e84닥본사  닥  치다 치  본  방  사  닥치고본방사수 닥본사 별점 오늘 우리집여자 84회 e84
kbs_homewomen	kmediabox	POST	pycdvih-_1l70		2011-09-07	토도우 우리집 여자 83회 9월7 일 다시보기
kbs_homewomen	lovelycong00	POST	pyce9wm-5uo57		2011-09-08	윤아정 블라우스 우리집여자들82 회 83회 윤아정 홍주미 옷 패션 별프린트 블라우스 의상정보
kbs_homewomen	dbxhvi2	POST	pyceemy-_w3wz		2011-09-10	우리집여자 무료 다시보기 85회 2011-09-09 우리집여자 무료 다시보기 85회 2011-09-09
kbs_homewomen	sch8736	POST	pycegq9-5hl69		2011-09-08	우리집여자 다시보기우리집 여자 84회 토렌트다운 다시보기 줄거리
kbs_homewomen	dbxhvi2	POST	pycei57-_w3wz		2011-09-10	우리집여자 무료 다시보기 85회 2011-09-09 우리집여자 무료 다시보기 85회 2011-09-09
kbs_homewomen	sch8736	POST	pyckc2r-5hl69		2011-09-06	우리집여자 다시보기우리집 여자 82회 토렌트다운 다시보기 줄거리
kbs_homewomen	kmediabox	POST	pyckfb9-_1l70		2011-09-10	토도우 우리집 여자 85회 9월9 일 다시보기
kbs_homewomen	insos02	POST	pyckjns-_8lnw		2011-09-08	우리집여자 무료 다시보기 83회 2011-09-07 우리집여자 무료 다시보기 83회 2011-09-07
kbs_homewomen	insos02	POST	pyckp20-_8lnw		2011-09-08	우리집여자 무료 다시보기 83회 2011-09-07 우리집여자 무료 다시보기 83회 2011-09-07
kbs_homewomen	wingsad	POST	pyckppc-_r563		2011-09-08	우리집여자 무료 다시보기 83회 2011-09-07 우리집여자 무료 다시보기 83회 2011-09-07
kbs_homewomen	jiruhecom	POST	pyckuoi-_50e_		2011-09-07	우리집여자 82회 9월6 일 토도우
kbs_homewomen	qhgus222	POST	pyckz0d-2hbe		2011-09-06	집에왔는데 나 남동생님 내 준 주다 줄다 팩을하고있었다 그걸 그걸보 우리엄마 왈 우리집 딸 아들 바꿔서태어났어야 라 라며 tagsmile 우리집남자 여자 여자들보 관리도잘 섬세 은근 내욕 내욕을 결론 내욕 tagexclamation
kbs_homewomen	c2blue	POST	pycy6dz-yaosq		2011-09-05	어제 친정에 친정에있는데 또다시 베란다밖 나다 나 담배냄새 후딱 일어나다 일어 베란다창 베란다창을 열다 아래 내다 내리다 보다 보 역시 역시나 tagexclamation 딱걸렸어 우리집 아래아래층 어떤 남자 남다 ㅅㄲ 가 가다 머리내밀고 담배피고 담배피고있더군 다른때 다른때도 이사람인게 분명 위로 위 물 끼얹다 싶다 흠 어떡 관리실얘기해봤자 통할꺼같지도않구요 엄마말 그집여자 싸가지없다던데 얃시 바 물 부어버릴껄그랬 공모 의견 의견내주세
kbs_homewomen	insos02	POST	pyc_4cr-_8lnw		2011-09-07	우리집여자 무료 다시보기 82회 2011-09-06 우리집여자 무료 다시보기 82회 2011-09-06
kbs_homewomen	insos02	POST	pyc_4dt-_8lnw		2011-09-07	우리집여자 무료 다시보기 82회 2011-09-06 우리집여자 무료 다시보기 82회 2011-09-06
kbs_homewomen	lomoin	POST	pyc_qdo-y__z_		2011-09-10	내일 영동 큰집 가다 갈다 큰집 어른 다 돌아가시다 아들 있다 그리다 저희 시아버님 있으신건데 문제 큰집 형제 모두 결혼 안하다 자식 없다 태건 태건이 태어난게 몇십년 몇십년만 아기 울음소리 예쁘다 참 차다 많다 받을텐데 크다 걱정 있다 의도치 않다 장손노릇 해야하는건 아니다 나다 나 집안 여자 없다 제사 준비한다지 우리집 큰집 아니다 제사 물려받는것 물려받는것도 웃기는거 만약 이번 이번에 태건이 태건이보 장손 앞 제사 얘기 나오다 개거품 물고 얘기해야할꺼 같다
kbs_homewomen	insos02	POST	pyc_yat-_8lnw		2011-09-06	우리집여자 무료 다시보기 81회 2011-09-05 우리집여자 무료 다시보기 81회 2011-09-05
kbs_homewomen	eorkdtkfdk	POST	pym24c5-yv1yz		2011-09-05	우리집 상추재배지 고추 기르다 tagsmile 저고추 저고추는 지가 지 걍잔디밭가서 자다 자라다 씨저기 씨저기다 뿌린적 아침 한개 따다 먹으면 하루 개운 tagsmile 난저놈 난저놈이 고추 만들어낸게 젤맛 젤맛남 tagsmile 한입비어먹으면 확올라오는데 하 하나 안매움 저런여자는 tagquestion 내 길러버리게
kbs_homewomen	alcutepdl	POST	pym2s5v-_hlsb		2011-09-05	아니다 친구 둘이서 우리집 갇히다 상상 하지 하다 우리집 좋다 손전등 안밝 안밝은 손전등 있다 난 나다 날다 친구한테 좋은손전 주다 주 나다 나 안좋은걸 가지다 친구 망치 주다 주 난 나다 날다 칼을들지 계단 통하다 일단 밖 나가다 하지 하다 좀비 좀비들이 몰려오다 아니다 좀비 좀비가 그리 많다 않다 있다 한 하다 5마리 5마리있는 숲 여자 긷다 길 잃다 오예 tagexclamation 여자 좋다 손전등 주다 주 난 나다 날다 안좋 안좋은 손전등 들다 탈출 하려 하려하지 오다 재밌닼 tagsmile
kbs_homewomen	holldin	POST	pym74d3-_mnfs		2011-09-07	유소영 사진 사다 우리집 여자 유소영 사진 사다 셀카 모음 모으다
kbs_homewomen	mople	POST	pym7gjp-ybyr8		2011-09-07	우리집여자 82회 e82닥본사  닥  치다 치  본  방  사  닥치고본방사수 닥본사 별점 오늘 우리집여자 82회 e82
kbs_homewomen	carmaster000	POST	pym7nin-ydfu8		2011-09-07	kbs드라마우리집여자들71 72회
kbs_homewomen	kmediabox	POST	pym7r1t-_1l70		2011-09-06	토도우 우리집 여자 82회 9월6 일 다시보기
kbs_homewomen	mople	POST	pym7xx6-ybyr8		2011-09-07	우리집여자 83회 e83닥본사  닥  치다 치  본  방  사  닥치고본방사수 닥본사 별점 오늘 우리집여자 83회 e83
kbs_homewomen	junes26	POST	pymx55c-yxvov		2011-09-06	우리집 여자 81회 9월5 일 방송 보기 보다
