program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_gyebaek	cwkms1144	POST	pyc0988-y4sh8		2011-09-09	계백장군 이서진 선배님 선배님이 팀복 팀복을 마련 tagexclamation 맛나다 맛 떡도준비 tagexclamation 계백팀복
mbc_gyebaek	spastar7	POST	pyc3y3z-5x8tg		2011-09-07	계백 조재현 계백 조재현 한지우 한지우와 결혼성사
mbc_gyebaek	spastar7	POST	pyc3yia-5x8tg		2011-09-07	계백 이서진 계백 이서진 오연수대신 활 맞다 tagexclamation
mbc_gyebaek	jisiklog	POST	pyc55at-_rcxy		2011-09-05	월화에하는드라마 계백주인공이진태현씨아닌가 tagquestion 그리고베라왕은무슨디자이너에 tagquestion 계백
mbc_gyebaek	ezimartbiz	POST	pyc5dmf-sdu5		2011-09-05	계백역 이서진 의자왕역 조재현 사택비역 오연수 은고역 송지효 무진역 차인표 교기역 진태현
mbc_gyebaek	gkgus450	POST	pyc657x-5s59r		2011-09-05	팬여러분 tagexclamation 안녕 tagsmile 인사늦게드려서죄송 tagexclamation mbc계백 드라마 많이시청해주세 taglove
mbc_gyebaek	stylisthanul	POST	pyc6c6i-_w5s7		2011-09-06	계백 송지효 인질 잡히다 조재현 구하다 적군 투입
mbc_gyebaek	spastar7	POST	pyc6m0e-5x8tg		2011-09-06	계백 송지효 계빽 송지효 연 등 이용 언론플레이 tagquestion
mbc_gyebaek	spastar7	POST	pyc6m6m-5x8tg		2011-09-06	계백 송지효 이서진 계백 송지효 이서진 본격 로맨스 결성 tagquestion tagexclamation
mbc_gyebaek	an72536	POST	pycbu8b-5ym0s		2011-09-09	2011년 드라마ost 모음 모으다 보스를지켜 지고는못살 공주의남자 무사백동수 스파이명월 계백 듣기 듣다
mbc_gyebaek	tg_226	POST	pycd9kd-5h72w		2011-09-09	오늘 백동수 1편 정주행 정주행하는데 계백 계백보 훨 나은거 같다 계백 계백의 허접 연출 생각 사극 mbc라는건 정말 옛말 계백 계백은 연기자빨
mbc_gyebaek	vy0203	POST	pycylqr-_rein		2011-09-05	아 계백 계백같 계백같은 머리쓰 머리쓰는 드라마 어렵다
mbc_gyebaek	8589lkh	POST	pyc_cjv-yk1_r		2011-09-06	계백 계백보 우오오 tagexclamation 아 tagexclamation 고구려 tagexclamation 이태곤 이태곤의 연기 보다 보 광개토대왕 재밌네 재밌네요 tagsmile 아 진짜 mbc mbc여 전쟁관련 사극 드라마 찍다 말다
mbc_gyebaek	my_andlove	POST	pym4pru-_sjgb		2011-09-06	계백 계백은 참 차다 이상 드라마 연출 연기자 어쩜 하나 저렇다 죄다 죄 어색헐까 진짜 볼게 틀어 틀어는 논다 아빨리 내일 오다 승유님 승유님을 만나뵙고파
mbc_gyebaek	dudbqls94	POST	pym4thc-_9vm0		2011-09-07	드디어 스파이 명월 명월이 끝나다 에릭때문 에릭때문에 재미 드라마 끝 본 보다 나 토닥토닥 이젠 계백 봐야짓 taglove 스명 막장 계백 포세이돈시청금지
