program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_urpretty	bonggui8502	POST	pyc0853-_pwar		2011-09-09	엔유씨원액기 당신참예쁘다115 회 엔유씨전자 엔유씨
mbc_urpretty	insos02	POST	pyc3amw-_8lnw		2011-09-09	당신참예쁘 당신참예쁘다 무료 다시보기 114회 2011-09-08 당신참예쁘 당신참예쁘다 무료 다시보기 114회 2011-09-08
mbc_urpretty	insos02	POST	pyc3ztm-_8lnw		2011-09-09	당신참예쁘 당신참예쁘다 무료 다시보기 114회 2011-09-08 당신참예쁘 당신참예쁘다 무료 다시보기 114회 2011-09-08
mbc_urpretty	insos02	POST	pyc5c7w-_8lnw		2011-09-06	당신참예쁘 당신참예쁘다 무료 다시보기 111회 2011-09-05 당신참예쁘 당신참예쁘다 무료 다시보기 111회 2011-09-05
mbc_urpretty	kmediabox	POST	pyc5e3t-_1l70		2011-09-08	토도우 당신 참 차다 예쁘다 114회 9월8 일 다시보기
mbc_urpretty	insos02	POST	pyc5fbr-_8lnw		2011-09-06	당신참예쁘 당신참예쁘다 무료 다시보기 111회 2011-09-05 당신참예쁘 당신참예쁘다 무료 다시보기 111회 2011-09-05
mbc_urpretty	insos02	POST	pyc5fif-_8lnw		2011-09-06	당신참예쁘 당신참예쁘다 무료 다시보기 111회 2011-09-05 당신참예쁘 당신참예쁘다 무료 다시보기 111회 2011-09-05
mbc_urpretty	junes26	POST	pyc60bz-yxvov		2011-09-10	당신 참 차다 예쁘다 114회 9월8 일 방송 보기 보다
mbc_urpretty	junes26	POST	pyc60cu-yxvov		2011-09-10	당신 참 차다 예쁘다 115회 9월9 일 방송 보기 보다
mbc_urpretty	bonggui8502	POST	pyc66i9-_pwar		2011-09-07	엔유씨원액기를찾 엔유씨원액기를찾아 당신참예쁘다113 회 엔유씨전자제작지원 엔유씨
mbc_urpretty	insos02	POST	pyc69a4-_8lnw		2011-09-07	당신참예쁘 당신참예쁘다 무료 다시보기 112회 2011-09-06 당신참예쁘 당신참예쁘다 무료 다시보기 112회 2011-09-06
mbc_urpretty	insos02	POST	pyc6shp-_8lnw		2011-09-07	당신참예쁘 당신참예쁘다 무료 다시보기 112회 2011-09-06 당신참예쁘 당신참예쁘다 무료 다시보기 112회 2011-09-06
mbc_urpretty	jiruhecom	POST	pyc6_ed-_50e_		2011-09-05	당신참예쁘 당신참예쁘다 111회 9월5 일 토도우
mbc_urpretty	jiruhecom	POST	pycb4hy-_50e_		2011-09-09	당신참예쁘 당신참예쁘다 115회 9월9 일 토도우
mbc_urpretty	junes26	POST	pycd2mj-yxvov		2011-09-08	당신 참 차다 예쁘다 113회 9월7 일 방송 보기 보다
mbc_urpretty	junes26	POST	pycd2oq-yxvov		2011-09-08	당신 참 차다 예쁘다 112회 9월5 일 방송 보기 보다
mbc_urpretty	insos02	POST	pycd4kx-_8lnw		2011-09-05	당신참예쁘 당신참예쁘다 무료 다시보기 110회 2011-09-02 당신참예쁘 당신참예쁘다 무료 다시보기 110회 2011-09-02
mbc_urpretty	kmediabox	POST	pycdv1m-_1l70		2011-09-07	토도우 당신 참 차다 예쁘다 113회 9월7 일 다시보기
mbc_urpretty	dbxhvi2	POST	pyceem1-_w3wz		2011-09-10	당신참예쁘 당신참예쁘다 무료 다시보기 115회 2011-09-09 당신참예쁘 당신참예쁘다 무료 다시보기 115회 2011-09-09
